id,guid,hero,name,gameplay_ability_asset,enabled_in_game,category,damage_school,attack_range,offensive,description,dynamic_description,cost_effect,global_cooldown_effect,icon_id,icon_kind,icon_width,icon_height,provenance_origin,provenance_dev_name,provenance_source
GA_Bowguy_AoeProjectileDamage_C,305f651e-7a7d-5be8-8934-bcba82fc4068,Bowguy,Multishot,GA_Bowguy_AoeProjectileDamage_C,true,Core,Physical,,true,,"Fire multiple arrows at your enemies, each dealing <rt.warning>{Multishot}</> physical damage to them.

When your <rt.absorb>Highwind Arrow</> <rt.effect>Ricochets</> to at least <rt.bold>3 enemies</>, you gain <rt.bold>1 charge</> of <rt.absorb>Multishot</>.",GE_Bowguy_AoeProjectileDamage_Cost,GE_GlobalCooldown,Bowguy_Multishot,AbilityIcon,512,512,datamine,,
GA_Bowguy_CastedBouncyProjectileDamage_C,227ef7b8-2409-541c-a469-3cb9b7b11041,Bowguy,Deadly Shot (old),GA_Bowguy_CastedBouncyProjectileDamage_C,true,Power,Physical,Ranged,true,"Deals 275% Agility damage to target.

Deadly Shot riccochets to all targets with ""Marked"".

Deals 100% increased damage against targets that have ""Exposed Weakness"".

Riccochets include damage bonus if the initial target had ""Exposed Weakness"".",,GE_Bowguy_CastedBouncyProjectileDamage_Cost,GE_GlobalCooldown,Tex_SpellBook05_98,AbilityIcon,256,256,datamine,,
GA_Bowguy_CastedProjectileDamage_C,fa1867c5-5ce8-55b8-85ee-8967b86404f7,Bowguy,Focused Shot,GA_Bowguy_CastedProjectileDamage_C,true,Basic,Physical,Ranged,true,,"Fire a well-aimed arrow at target enemy, dealing <rt.warning>{FocusedShot}</> physical damage.

<rt.mana>Generates 20 Focus</>

<rt.mana>FOCUS</>
<rt.mana>Focus</> is a resource shown on the UI under your hero as a bar of celestial energy. Many of your abilities require <rt.mana>Focus</> to use. <rt.mana>Focus</> is passively generated over time. The generation rate is affected by your haste.",,GE_GlobalCooldown,Bowguy_FocusShot,AbilityIcon,256,256,datamine,,
GA_Bowguy_CastedProjectileHeavyDamage_C,9d88b83d-8563-5ce5-8d49-cc294802c5ae,Bowguy,Highwind Arrow,GA_Bowguy_CastedProjectileHeavyDamage_C,true,Power,Physical,Ranged,true,,"Fire a <rt.absorb>Highwind Arrow</>, dealing <rt.warning>{Highwind}</> physical damage to target enemy. <rt.absorb>Highwind Arrow</> <rt.effect>Ricochets</> to up to <rt.bold>2 additional enemies</> near your target, dealing <rt.warning>{HighwindBounceDmg}</> physical damage to them.

<rt.absorb>Highwind Arrow</> gains <rt.meikoability2>Cooldown Acceleration</> equal to your Haste.",GE_Bowguy_CastedProjectileHeavyDamage_Cost,GE_GlobalCooldown,Bowguy_Ricochet,AbilityIcon,256,256,datamine,,
GA_Bowguy_ChanneledMultiProjectileDebuff_C,9dd1baae-1db8-54e6-8f47-24bfc0549831,Bowguy,Heartseeker Barrage,GA_Bowguy_ChanneledMultiProjectileDebuff_C,true,Power,Physical,Ranged,true,,"Let loose a barrage of arrows in quick succession at your target, dealing <rt.warning>{HeartSeekDmg}</> physical damage <rt.bold>every</> <rt.warning>{HeartSeekPeriod}</> <rt.bold>seconds for 2 seconds while channeling</>.

Damage dealt by <rt.absorb>Heartseeker Barrage</> that triggers a <rt.effect>Lunarlight Salvo</> has a <rt.bold>25% chance</> to cause it to <rt.effect>Erupt</>, dealing <rt.warning>{AoeLunarLightDmg}</> magic damage to enemies near the target.

<rt.meikoability2>Can not be used while rolling</>",GE_Bowguy_ChanneledMultiProjectileDebuff_Cost,GE_GlobalCooldown,Bowguy_Spray,AbilityIcon,256,256,datamine,,
GA_Bowguy_ChargedMoveWithDirection_C,77e4127a-3654-5ed0-a9ac-999a0b8e5033,Bowguy,Roll,GA_Bowguy_ChargedMoveWithDirection_C,true,Movement,,,,"Swiftly <rt.absorb>Roll</> in the direction you are moving. <rt.absorb>Roll</> does not cancel casting or channeling abilities.

<rt.meikoability2>Can be used during Global Cooldown and while Casting</>",,,,Bowguy_Abilityicon_Roll,AbilityIcon,512,512,datamine,,
GA_Bowguy_DurationalAoeDamage_C,4a4382ff-8b41-54b2-ac6a-3e114f327e77,Bowguy,Event Horizon (old),GA_Bowguy_DurationalAoeDamage_C,true,Spirit,Magic.Arcane,,true,"The wrath of the stars rains down on your enemies for 12 seconds, causing <rt.absorb>Lunarlight Salvo's</> to hit up to 5 enemies in combat with you every 2 seconds, each dealing <rt.warning>211% Agility</> arcane damage.

<rt.absorb>SPIRIT ABILITY</>
<rt.greyitalic>When you activate your Spirit ability you gain </><rt.absorb> Spirit of Heroism</><rt.greyitalic>, granting +30% Haste for 20 sec.</>",,GE_Bowguy_DurationalAoeDamage_Cost,,Bowguy_Spirit,AbilityIcon,512,512,datamine,,
GA_Bowguy_InstantMarkTarget_C,b08c5811-7bcc-5d2c-af18-9a5d9740f98e,Bowguy,Lunarlight Mark,GA_Bowguy_InstantMarkTarget_C,true,Major,Magic.Arcane,,,,"Instantly apply <rt.bold>3 stacks</> of <rt.absorb>Lunarlight Mark</> to target enemy and up to <rt.bold>11 additional enemies</> near your target.

Ability damage you deal to enemies with <rt.absorb>Lunarlight Mark</> has a <rt.bold>25% chance</> to trigger <rt.effect>Lunarlight Salvo</>, causing a beam of celestial energy to strike them from above, dealing <rt.warning>{LunarSalvoDmg}</> magic damage.

<rt.bold>Critical Strikes</> have a <rt.bold>50% chance</> to trigger <rt.effect>Lunarlight Salvo</>.

<rt.meikoability2>Can be used during Global Cooldown</>",,,Bowguy_Mark,AbilityIcon,512,512,datamine,,
GA_Bowguy_InstantSingleInterrupt_C,30b1b369-a60f-59f1-8a25-11eab88cda22,Bowguy,Disrupt,GA_Bowguy_InstantSingleInterrupt_C,true,Utility,,Ranged,,"Instantly <rt.absorb>Interrupt</> target casting enemy and prevent them from casting for 4 seconds. Must interrupt a spell, or it will have no effect.

<rt.meikoability2>Can be used during Global Cooldown</>",,,,Bowguy_Interrupt,AbilityIcon,512,512,datamine,,
GA_Bowguy_Passive_InstantMarkTarget_Monitor_C,59536753-6228-5884-8000-417e0ee75b78,Bowguy,Lunarlight Salvo,GA_Bowguy_Passive_InstantMarkTarget_Monitor_C,true,,,,,Lunarlight Mark triggered.,,,,Bowguy_Mark,AbilityIcon,512,512,datamine,,
