id,ordinal,value
GA_Bowguy_AoeProjectileDamage_C,0,AbilityPrio.Default
GA_Bowguy_AoeProjectileDamage_C,1,AbilityType.Skill.Offensive
GA_Bowguy_AoeProjectileDamage_C,2,AbilityType.Physical
GA_Bowguy_AoeProjectileDamage_C,3,AbilityType.Aoe
GA_Bowguy_AoeProjectileDamage_C,4,AbilityType.Targeted
GA_Bowguy_AoeProjectileDamage_C,5,CustomAssetTags.Bowguy.AoeProjectileDamage.Ability
GA_Bowguy_AoeProjectileDamage_C,6,AbilityType.Core
GA_Bowguy_CastedBouncyProjectileDamage_C,0,AbilityType.Ranged
GA_Bowguy_CastedBouncyProjectileDamage_C,1,AbilityPrio.Default
GA_Bowguy_CastedBouncyProjectileDamage_C,2,AbilityType.Skill.Offensive
GA_Bowguy_CastedBouncyProjectileDamage_C,3,AbilityType.Physical
GA_Bowguy_CastedBouncyProjectileDamage_C,4,AbilityType.Targeted
GA_Bowguy_CastedBouncyProjectileDamage_C,5,AbilityType.Casted
GA_Bowguy_CastedBouncyProjectileDamage_C,6,AbilityType.Power
GA_Bowguy_CastedProjectileDamage_C,0,AbilityType.Casted
GA_Bowguy_CastedProjectileDamage_C,1,AbilityType.Ranged
GA_Bowguy_CastedProjectileDamage_C,2,AbilityPrio.Default
GA_Bowguy_CastedProjectileDamage_C,3,AbilityType.Skill.Offensive
GA_Bowguy_CastedProjectileDamage_C,4,AbilityType.Physical
GA_Bowguy_CastedProjectileDamage_C,5,AbilityType.Targeted
GA_Bowguy_CastedProjectileDamage_C,6,CustomAssetTags.Bowguy.CastedProjectileDamage.Ability
GA_Bowguy_CastedProjectileDamage_C,7,AbilityType.Basic
GA_Bowguy_CastedProjectileHeavyDamage_C,0,AbilityType.Casted
GA_Bowguy_CastedProjectileHeavyDamage_C,1,AbilityType.Ranged
GA_Bowguy_CastedProjectileHeavyDamage_C,2,AbilityPrio.Default
GA_Bowguy_CastedProjectileHeavyDamage_C,3,AbilityType.Skill.Offensive
GA_Bowguy_CastedProjectileHeavyDamage_C,4,AbilityType.Physical
GA_Bowguy_CastedProjectileHeavyDamage_C,5,AbilityType.Targeted
GA_Bowguy_CastedProjectileHeavyDamage_C,6,CustomAssetTags.Bowguy.CastedProjectileHeavyDamage.Ability
GA_Bowguy_CastedProjectileHeavyDamage_C,7,AbilityType.Power
GA_Bowguy_ChanneledMultiProjectileDebuff_C,0,AbilityType.Ranged
GA_Bowguy_ChanneledMultiProjectileDebuff_C,1,AbilityType.Skill.Offensive
GA_Bowguy_ChanneledMultiProjectileDebuff_C,2,AbilityType.Physical
GA_Bowguy_ChanneledMultiProjectileDebuff_C,3,AbilityType.Targeted
GA_Bowguy_ChanneledMultiProjectileDebuff_C,4,AbilityType.Channeled
GA_Bowguy_ChanneledMultiProjectileDebuff_C,5,CustomAssetTags.Bowguy.ChanneledMultiProjectileDebuff.Ability
GA_Bowguy_ChanneledMultiProjectileDebuff_C,6,AbilityPrio.Low
GA_Bowguy_ChanneledMultiProjectileDebuff_C,7,AbilityType.Power
GA_Bowguy_ChargedMoveWithDirection_C,0,AbilityType.Skill
GA_Bowguy_ChargedMoveWithDirection_C,1,AbilityLogic.AtomicExecution
GA_Bowguy_ChargedMoveWithDirection_C,2,AbilityPrio.High
GA_Bowguy_ChargedMoveWithDirection_C,3,AbilityType.Movement
GA_Bowguy_DurationalAoeDamage_C,0,AbilityPrio.Default
GA_Bowguy_DurationalAoeDamage_C,1,AbilityType.Aoe
GA_Bowguy_DurationalAoeDamage_C,2,AbilityType.Magic.Arcane
GA_Bowguy_DurationalAoeDamage_C,3,AbilityType.Skill.Offensive
GA_Bowguy_DurationalAoeDamage_C,4,AbilityType.Targeted
GA_Bowguy_DurationalAoeDamage_C,5,AbilityType.Spirit
GA_Bowguy_InstantMarkTarget_C,0,AbilityType.Buff
GA_Bowguy_InstantMarkTarget_C,1,AbilityType.Skill
GA_Bowguy_InstantMarkTarget_C,2,AbilityType.Magic.Arcane
GA_Bowguy_InstantMarkTarget_C,3,AbilityPrio.Default
GA_Bowguy_InstantMarkTarget_C,4,CustomAssetTags.Bowguy.InstantMarkTarget.Ability
GA_Bowguy_InstantMarkTarget_C,5,AbilityType.Major
GA_Bowguy_InstantSingleInterrupt_C,0,AbilityType.Ranged
GA_Bowguy_InstantSingleInterrupt_C,1,AbilityType.Interrupt
GA_Bowguy_InstantSingleInterrupt_C,2,AbilityPrio.High
GA_Bowguy_InstantSingleInterrupt_C,3,AbilityType.Skill
GA_Bowguy_InstantSingleInterrupt_C,4,AbilityType.Utility
GA_Bowguy_ProcHasteBuff_C,0,AbilityType.Buff
GA_Bowguy_ProcHasteBuff_C,1,AbilityType.Skill
GA_Bowguy_ProcHasteBuff_C,2,AbilityPrio.AnyTime
GA_Bowguy_ProcHasteBuff_C,3,AbilityType.Major
GA_Bowguy_RangedAutoAttack_C,0,AbilityType.AutoAttack
GA_Bowguy_RangedAutoAttack_C,1,AbilityPrio.Low
GA_Bowguy_RangedAutoAttack_C,2,AbilityType.Physical
GA_Bowguy_RangedAutoAttack_C,3,AbilityType.Skill.Offensive
GA_Bowguy_RangedAutoAttack_C,4,AbilityType.Ranged
GA_Bowguy_ReducedCostCooldownRecoveryBuff_C,0,AbilityPrio.Default
GA_Bowguy_ReducedCostCooldownRecoveryBuff_C,1,AbilityType.Magic.Arcane
GA_Bowguy_ReducedCostCooldownRecoveryBuff_C,2,AbilityType.Skill.Offensive
GA_Bowguy_ReducedCostCooldownRecoveryBuff_C,3,AbilityType.Targeted
GA_Bowguy_ReducedCostCooldownRecoveryBuff_C,4,AbilityType.Spirit
GA_Bowguy_SelfBuffForAoeProjectile_C,0,AbilityType.Buff
GA_Bowguy_SelfBuffForAoeProjectile_C,1,AbilityType.Skill
GA_Bowguy_SelfBuffForAoeProjectile_C,2,AbilityPrio.Default
GA_Bowguy_SelfBuffForAoeProjectile_C,3,AbilityType.Major
GA_Bowguy_SelfDefenceBuff_C,0,AbilityType.Buff
GA_Bowguy_SelfDefenceBuff_C,1,AbilityType.Skill
GA_Bowguy_SelfDefenceBuff_C,2,AbilityType.TrackCooldown
GA_Bowguy_SelfDefenceBuff_C,3,AbilityPrio.High
GA_Bowguy_SelfDefenceBuff_C,4,CustomAssetTags.Bowguy.SelfDefenceBuff.Ability
GA_Bowguy_SelfDefenceBuff_C,5,AbilityType.Defensive
GA_Bowguy_SingleProjectileDamage_C,0,AbilityType.Ranged
GA_Bowguy_SingleProjectileDamage_C,1,AbilityPrio.Default
GA_Bowguy_SingleProjectileDamage_C,2,AbilityType.Skill.Offensive
GA_Bowguy_SingleProjectileDamage_C,3,AbilityType.Targeted
GA_Bowguy_SingleProjectileDamage_C,4,AbilityType.Magic.Arcane
GA_Bowguy_SingleProjectileDamage_C,5,CustomAssetTags.Bowguy.SingleProjectileDamage.Ability
GA_Bowguy_SingleProjectileDamage_C,6,AbilityType.Basic
GA_Bowguy_TargetedAoeDamage_C,0,AbilityPrio.Default
GA_Bowguy_TargetedAoeDamage_C,1,AbilityType.Aoe
GA_Bowguy_TargetedAoeDamage_C,2,AbilityType.Magic.Arcane
GA_Bowguy_TargetedAoeDamage_C,3,AbilityType.Skill.Offensive
GA_Bowguy_TargetedAoeDamage_C,4,AbilityType.Targeted
GA_Bowguy_TargetedAoeDamage_C,5,CustomAssetTags.Bowguy.TargetedAoeDamage.Ability
GA_Bowguy_TargetedAoeDamage_C,6,AbilityType.Power
GA_Bowguy_TargetedAoePull_C,0,AbilityType.Aoe
GA_Bowguy_TargetedAoePull_C,1,AbilityType.Skill
GA_Bowguy_TargetedAoePull_C,2,AbilityType.TrackCooldown
GA_Bowguy_TargetedAoePull_C,3,AbilityPrio.High
GA_Bowguy_TargetedAoePull_C,4,AbilityType.Control
GA_Firemage_CastedDotBoostProjectile,0,AbilityType.Casted
GA_Firemage_CastedDotBoostProjectile,1,AbilityType.Magic.Fire
GA_Firemage_CastedDotBoostProjectile,2,AbilityType.Ranged
GA_Firemage_CastedDotBoostProjectile,3,AbilityPrio.Default
GA_Firemage_CastedDotBoostProjectile,4,AbilityType.Skill.Offensive
GA_Firemage_CastedDotBoostProjectile,5,AbilityType.Targeted
GA_Firemage_CastedDotBoostProjectile,6,CustomAssetTags.Firemage.CastedDotBoostProjectile.Ability
GA_Firemage_CastedDotBoostProjectile,7,AbilityType.Basic
GA_Firemage_CastedDotDetonate,0,AbilityType.Casted
GA_Firemage_CastedDotDetonate,1,AbilityType.Magic.Fire
GA_Firemage_CastedDotDetonate,2,AbilityType.Ranged
GA_Firemage_CastedDotDetonate,3,AbilityPrio.Default
GA_Firemage_CastedDotDetonate,4,AbilityType.Skill.Offensive
GA_Firemage_CastedDotDetonate,5,CustomAssetTags.Firemage.CastedDotDetonate.Ability
GA_Firemage_CastedDotDetonate,6,AbilityType.Power
GA_Firemage_CastedPlacedAoe,0,AbilityType.Aoe
GA_Firemage_CastedPlacedAoe,1,AbilityType.Casted
GA_Firemage_CastedPlacedAoe,2,AbilityType.Magic.Fire
GA_Firemage_CastedPlacedAoe,3,AbilityType.Ranged
