id,constants_ordinal,name,curve_ref,value_known,value_curve_ref,value_default,value_unresolved_reason
GA_Bowguy_AoeProjectileDamage_C,0,CastedProjectileDamage_AoeProjectileDamageEmpowered MinProjectiles,Bowguy.CastedProjectileDamage.Talent.AoeProjectileDamageEmpowered.MinNumOfProjectiles,3.0,,,
GA_Bowguy_AoeProjectileDamage_C,1,Cleave Angle,Bowguy.AoeProjectileDamage.CleaveAngel,100.0,,,
GA_Bowguy_AoeProjectileDamage_C,2,Cylinder Radius,Bowguy.AoeProjectileDamage.MaxRadius,600.0,,,
GA_Bowguy_AoeProjectileDamage_C,3,MaxRangeRef,Bowguy.RangedRange,3000.0,,,
GA_Bowguy_AoeProjectileDamage_C,4,Min Targets For Cooldown Reduction,Bowguy.AoeProjectileDamage.DamageBounceSelfBuff.MinTargetsForCooldownReduction,3.0,,,
GA_Bowguy_AoeProjectileDamage_C,5,Multishot Proc Damage Scaler Ref,Bowguy.AoeProjectileDamage.Proc.DamageMultiplier,2.0,,,
GA_Bowguy_AoeProjectileDamage_C,6,Target Count Threshold Ref,Bowguy.AoeProjectileDamage.TargetCountThreshold,12.0,,,
GA_Bowguy_CastedBouncyProjectileDamage_C,0,Additional Delay After Roll,Bowguy.ChargedMoveWithDirection.AdditionalCastDelayAtEnd,0.3,,,
GA_Bowguy_CastedBouncyProjectileDamage_C,1,CastingDuration,Bowguy.CastedBouncyProjectileDamage.CastDuration,2.0,,,
GA_Bowguy_CastedBouncyProjectileDamage_C,2,Debuff Damage Multiplier,Bowguy.IncreasedDamageDebuff.DamageMultiplier,2.0,,,
GA_Bowguy_CastedBouncyProjectileDamage_C,3,Max Radius Between Targets,Bowguy.CastedBouncyProjectileDamage.MaxSearchRadius,8000.0,,,
GA_Bowguy_CastedBouncyProjectileDamage_C,4,MaxRangeRef,Bowguy.RangedRange,3000.0,,,
GA_Bowguy_CastedBouncyProjectileDamage_C,5,Projectile Max Speed,Bowguy.CastedBouncyProjectileDamage.ProjectileMaxSpeed,4000.0,,,
GA_Bowguy_CastedProjectileDamage_C,0,Additional Delay After Roll,Bowguy.ChargedMoveWithDirection.AdditionalCastDelayAtEnd,0.3,,,
GA_Bowguy_CastedProjectileDamage_C,1,CastingDuration,Bowguy.CastedProjectileDamage.CastDuration,1.5,,,
GA_Bowguy_CastedProjectileDamage_C,2,Focus Gain,Bowguy.CastedProjectileDamage.FocusGain,20.0,,,
GA_Bowguy_CastedProjectileDamage_C,3,MaxRangeRef,Bowguy.RangedRange,3000.0,,,
GA_Bowguy_CastedProjectileDamage_C,4,Proc Chance,Bowguy.RangedAutoAttack.Proc.Chance,2.0,,,
GA_Bowguy_CastedProjectileDamage_C,5,Talent Enhanced ResourceGenerationScaler Ref,Bowguy.CastedProjectileDamage.Talent.Enhanced.ResourceGenerationScaler,0.5,,,
GA_Bowguy_CastedProjectileHeavyDamage_C,0,Additional Delay After Roll,Bowguy.ChargedMoveWithDirection.AdditionalCastDelayAtEnd,0.3,,,
GA_Bowguy_CastedProjectileHeavyDamage_C,1,Bounce Damage Multiplier after First Hit,Bowguy.CastedProjectileHeavyDamage.BounceDamageMultiplierAfterFirstHit,0.5,,,
GA_Bowguy_CastedProjectileHeavyDamage_C,2,Bounce Max Targets,Bowguy.DamageBounceSelfBuff.Bounce.MaxTargets,3.0,,,
GA_Bowguy_CastedProjectileHeavyDamage_C,3,CastingDuration,Bowguy.CastedProjectileHeavyDamage.CastDuration,2.0,,,
GA_Bowguy_CastedProjectileHeavyDamage_C,4,ChanceToHaveIncreasedCritChance AddedCrit,Bowguy.CastedProjectileHeavyDamage.Talent.ChanceToHaveIncreasedCritChance.AddedCritChance,1.0,,,
GA_Bowguy_CastedProjectileHeavyDamage_C,5,ChanceToHaveIncreasedCritChance ProcChance,Bowguy.CastedProjectileHeavyDamage.Talent.ChanceToHaveIncreasedCritChance.ProcChance,0.4,,,
GA_Bowguy_CastedProjectileHeavyDamage_C,6,CooldownDuration,Bowguy.CastedProjectileHeavyDamage.Cooldown,15.0,,,
GA_Bowguy_CastedProjectileHeavyDamage_C,7,DamageAgilityCoefficientRef,Bowguy.CastedProjectileHeavyDamage.AgilityCoefficient,13.6673,,,
