id,ordinal,value
GA_Bowguy_AoeProjectileDamage_C,0,Cooldown.Bowguy.AoeProjectileDamage
GA_Bowguy_CastedProjectileHeavyDamage_C,0,Cooldown.Bowguy.CastedProjectileHeavyDamage.Charge
GA_Bowguy_ChanneledMultiProjectileDebuff_C,0,Cooldown.Bowguy.ChanneledMultiProjectileDebuff
GA_Bowguy_ChargedMoveWithDirection_C,0,Cooldown.Bowguy.ChargedMoveWithDirection
GA_Bowguy_InstantMarkTarget_C,0,Cooldown.Bowguy.DamageBounceSelfBuff
GA_Bowguy_InstantSingleInterrupt_C,0,Cooldown.Bowguy.InstantSingleInterrupt
GA_Bowguy_ProcHasteBuff_C,0,Cooldown.Bowguy.ProcHasteBuff
GA_Bowguy_SelfBuffForAoeProjectile_C,0,Cooldown.Bowguy.SelfBuffForAoeProjectile
GA_Bowguy_SelfDefenceBuff_C,0,Cooldown.Bowguy.SelfDefenceBuff
GA_Bowguy_TargetedAoeDamage_C,0,Cooldown.Bowguy.TargetedAoeDamage
GA_Bowguy_TargetedAoePull_C,0,Cooldown.Bowguy.TargetedAoePull
GA_Firemage_CastedPlacedAoe,0,Cooldown.Firemage.CastedPlacedAoe
GA_Firemage_CastedSingleHeavyDot_C,0,Cooldown.Firemage.CastedSingleHeavyDot
GA_Firemage_DashForward,0,Cooldown.FireMage.DashForward
GA_Firemage_Firefrogs,0,Cooldown.Firemage.FireFrogs
GA_Firemage_InstantDotSpread,0,Cooldown.Firemage.InstantDotSpread
GA_Firemage_InstantMultiTargetDot_C,0,Cooldown.Firemage.InstantMultiTargetDot
GA_Firemage_InstantSingleDisorient,0,Cooldown.Firemage.InstantSingleDisorient
GA_Firemage_InstantSingleInterrupt,0,Cooldown.Firemage.InstantSingleInterrupt
GA_Firemage_PlacedProjectileAoe,0,Cooldown.Firemage.PlacedProjectileAoe
GA_Firemage_SelfDefenceBuff,0,Cooldown.Firemage.SelfDefenceBuff
GA_Gunde_DamageReductionSelfBuff,0,Cooldown.Gunde.DamageReductionSelfBuff
GA_Gunde_DashAttack,0,Cooldown.Gunde.DashAttack
GA_Gunde_DotTransfer,0,Cooldown.Gunde.DotTransfer
GA_Gunde_ExtraDotDamageBuff,0,Cooldown.Gunde.ExtraDotDamageBuff
GA_Gunde_HeavyMeleeDotBased,0,Cooldown.Gunde.HeavyMeleeDotBased
