id,effects_ordinal,asset,duration_policy,activation
GA_Bowguy_AoeProjectileDamage_C,0,GE_GlobalCooldown,HasDuration,unresolved
GA_Bowguy_AoeProjectileDamage_C,1,GE_Hero_Shared_PaddingCooldown,HasDuration,unresolved
GA_Bowguy_AoeProjectileDamage_C,2,GE_Bowguy_AoeProjectileDamage_Cost,,unresolved
GA_Bowguy_AoeProjectileDamage_C,3,GE_Bowguy_AoeProjectileDamage_Cost,,unresolved
GA_Bowguy_CastedBouncyProjectileDamage_C,0,GE_Bowguy_AimSlow,HasDuration,unresolved
GA_Bowguy_CastedBouncyProjectileDamage_C,1,GE_GlobalCooldown,HasDuration,unresolved
GA_Bowguy_CastedBouncyProjectileDamage_C,2,GE_Bowguy_CastedBouncyProjectileDamage_Cost,,unresolved
GA_Bowguy_CastedBouncyProjectileDamage_C,3,GE_Bowguy_CastedBouncyProjectileDamage_Cost,,unresolved
GA_Bowguy_CastedProjectileDamage_C,0,GE_Bowguy_AimSlow,HasDuration,unresolved
GA_Bowguy_CastedProjectileDamage_C,1,GE_Bowguy_CastedProjectileDamage_Buff,Infinite,unresolved
GA_Bowguy_CastedProjectileDamage_C,2,GE_Bowguy_RangedAutoAttack_Proc,HasDuration,unresolved
GA_Bowguy_CastedProjectileDamage_C,3,GE_GlobalCooldown,HasDuration,unresolved
GA_Bowguy_CastedProjectileDamage_C,4,GE_Bowguy_CastedProjectileDamage_Buff,Infinite,unresolved
GA_Bowguy_CastedProjectileHeavyDamage_C,0,GE_Bowguy_AimSlow,HasDuration,unresolved
GA_Bowguy_CastedProjectileHeavyDamage_C,1,GE_GlobalCooldown,HasDuration,unresolved
GA_Bowguy_CastedProjectileHeavyDamage_C,2,GE_Hero_Shared_PaddingCooldown,HasDuration,unresolved
GA_Bowguy_CastedProjectileHeavyDamage_C,3,GE_Bowguy_CastedProjectileHeavyDamage_Cost,,unresolved
GA_Bowguy_CastedProjectileHeavyDamage_C,4,GE_Bowguy_CastedProjectileHeavyDamage_Cost,,unresolved
GA_Bowguy_ChanneledMultiProjectileDebuff_C,0,GE_Bowguy_AimSlow,HasDuration,unresolved
GA_Bowguy_ChanneledMultiProjectileDebuff_C,1,GE_GlobalCooldown,HasDuration,unresolved
GA_Bowguy_ChanneledMultiProjectileDebuff_C,2,GE_Shared_Cooldown_DefaultScale,HasDuration,unresolved
GA_Bowguy_ChanneledMultiProjectileDebuff_C,3,GE_Hero_Shared_PaddingCooldown,HasDuration,unresolved
GA_Bowguy_ChanneledMultiProjectileDebuff_C,4,GE_Bowguy_ChanneledMultiProjectileDebuff_Cost,,unresolved
GA_Bowguy_ChanneledMultiProjectileDebuff_C,5,GE_Bowguy_ChanneledMultiProjectileDebuff_Cost,,unresolved
GA_Bowguy_ChargedMoveWithDirection_C,0,GE_Hero_Shared_PaddingCooldown,HasDuration,unresolved
GA_Bowguy_DurationalAoeDamage_C,0,GE_Bowguy_DurationalAoeDamage_Buff,HasDuration,unresolved
GA_Bowguy_DurationalAoeDamage_C,1,GE_Bowguy_AimSlow,HasDuration,unresolved
GA_Bowguy_DurationalAoeDamage_C,2,GE_Hero_Shared_PaddingCooldown,HasDuration,unresolved
GA_Bowguy_DurationalAoeDamage_C,3,GE_Bowguy_DurationalAoeDamage_Cost,,unresolved
GA_Bowguy_DurationalAoeDamage_C,4,GE_Bowguy_DurationalAoeDamage_Buff,HasDuration,unresolved
GA_Bowguy_DurationalAoeDamage_C,5,GE_Bowguy_DurationalAoeDamage_Cost,,unresolved
GA_Bowguy_InstantMarkTarget_C,0,GE_Bowguy_InstantMarkTarget_Debuff,HasDuration,unresolved
GA_Bowguy_InstantMarkTarget_C,1,GE_Shared_Cooldown_DefaultScale,HasDuration,unresolved
GA_Bowguy_InstantMarkTarget_C,2,GE_Hero_Shared_PaddingCooldown,HasDuration,unresolved
GA_Bowguy_InstantMarkTarget_C,3,GE_Bowguy_InstantMarkTarget_Debuff,HasDuration,unresolved
GA_Bowguy_InstantSingleInterrupt_C,0,GE_Shared_Cooldown_Static,HasDuration,unresolved
GA_Bowguy_InstantSingleInterrupt_C,1,GE_Hero_Shared_PaddingCooldown,HasDuration,unresolved
GA_Bowguy_InstantSingleInterrupt_C,2,GE_Bowguy_InstantSingleInterrupt_Lockout,,unresolved
GA_Bowguy_Passive_InstantMarkTarget_Monitor_C,0,GE_Bowguy_InstantMarkTarget_Debuff,HasDuration,unresolved
GA_Bowguy_ProcHasteBuff_C,0,GE_Bowguy_ProcHasteBuff_Buff,HasDuration,unresolved
GA_Bowguy_ProcHasteBuff_C,1,GE_Shared_Cooldown_DefaultScale,HasDuration,unresolved
GA_Bowguy_ProcHasteBuff_C,2,GE_Hero_Shared_PaddingCooldown,HasDuration,unresolved
GA_Bowguy_ProcHasteBuff_C,3,GE_Bowguy_ProcHasteBuff_Buff,HasDuration,unresolved
GA_Bowguy_RangedAutoAttack_C,0,GE_Bowguy_RangedAutoAttack_Proc,HasDuration,unresolved
GA_Bowguy_ReducedCostCooldownRecoveryBuff_C,0,GE_Bowguy_ReducedCostCooldownRecoveryBuff_SelfBuff,HasDuration,unresolved
GA_Bowguy_ReducedCostCooldownRecoveryBuff_C,1,GE_Bowguy_AimSlow,HasDuration,unresolved
GA_Bowguy_ReducedCostCooldownRecoveryBuff_C,2,GE_Hero_Shared_PaddingCooldown,HasDuration,unresolved
GA_Bowguy_ReducedCostCooldownRecoveryBuff_C,3,GE_Bowguy_ReducedCostCooldownRecoveryBuff_Cost,,unresolved
GA_Bowguy_ReducedCostCooldownRecoveryBuff_C,4,GE_Bowguy_ReducedCostCooldownRecoveryBuff_CooldownRecoveryBuff,Infinite,unresolved
GA_Bowguy_ReducedCostCooldownRecoveryBuff_C,5,GE_Bowguy_ReducedCostCooldownRecoveryBuff_Cost,,unresolved
GA_Bowguy_ReducedCostCooldownRecoveryBuff_C,6,GE_Bowguy_ReducedCostCooldownRecoveryBuff_SelfBuff,HasDuration,unresolved
GA_Bowguy_SelfBuffForAoeProjectile_C,0,GE_Bowguy_SelfBuffForAoeProjectile_SelfBuff,HasDuration,unresolved
GA_Bowguy_SelfBuffForAoeProjectile_C,1,GE_Shared_Cooldown_DefaultScale,HasDuration,unresolved
GA_Bowguy_SelfBuffForAoeProjectile_C,2,GE_Hero_Shared_PaddingCooldown,HasDuration,unresolved
GA_Bowguy_SelfBuffForAoeProjectile_C,3,GE_Bowguy_SelfBuffForAoeProjectile_SelfBuff,HasDuration,unresolved
GA_Bowguy_SelfDefenceBuff_C,0,GE_Bowguy_SelfDefenceBuff_SelfBuff,HasDuration,unresolved
GA_Bowguy_SelfDefenceBuff_C,1,GE_Shared_Cooldown_DefaultScale,HasDuration,unresolved
GA_Bowguy_SelfDefenceBuff_C,2,GE_Hero_Shared_PaddingCooldown,HasDuration,unresolved
GA_Bowguy_SelfDefenceBuff_C,3,GE_Bowguy_SelfDefenceBuff_SelfBuff,HasDuration,unresolved
