id,effects_ordinal,ordinal,value
GA_Bowguy_AoeProjectileDamage_C,0,0,Cooldown.Global
GA_Bowguy_CastedBouncyProjectileDamage_C,0,0,CustomGrantedTags.Bowguy.AimSlow
GA_Bowguy_CastedBouncyProjectileDamage_C,1,0,Cooldown.Global
GA_Bowguy_CastedProjectileDamage_C,0,0,CustomGrantedTags.Bowguy.AimSlow
GA_Bowguy_CastedProjectileDamage_C,1,0,CustomGrantedTags.Bowguy.CastedProjectileDamage.Buff
GA_Bowguy_CastedProjectileDamage_C,2,0,CustomGrantedTags.Bowguy.RangedAutoAttack.Proc
GA_Bowguy_CastedProjectileDamage_C,3,0,Cooldown.Global
GA_Bowguy_CastedProjectileDamage_C,4,0,CustomGrantedTags.Bowguy.CastedProjectileDamage.Buff
GA_Bowguy_CastedProjectileHeavyDamage_C,0,0,CustomGrantedTags.Bowguy.AimSlow
GA_Bowguy_CastedProjectileHeavyDamage_C,1,0,Cooldown.Global
GA_Bowguy_ChanneledMultiProjectileDebuff_C,0,0,CustomGrantedTags.Bowguy.AimSlow
GA_Bowguy_ChanneledMultiProjectileDebuff_C,1,0,Cooldown.Global
GA_Bowguy_DurationalAoeDamage_C,1,0,CustomGrantedTags.Bowguy.AimSlow
GA_Bowguy_InstantMarkTarget_C,0,0,CustomGrantedTags.Bowguy.InstantMarkTarget.Debuff
GA_Bowguy_InstantMarkTarget_C,3,0,CustomGrantedTags.Bowguy.InstantMarkTarget.Debuff
GA_Bowguy_InstantSingleInterrupt_C,2,0,Status.Silenced
GA_Bowguy_InstantSingleInterrupt_C,2,1,CharacterStatus.Silenced
GA_Bowguy_Passive_InstantMarkTarget_Monitor_C,0,0,CustomGrantedTags.Bowguy.InstantMarkTarget.Debuff
GA_Bowguy_ProcHasteBuff_C,0,0,CustomGrantedTags.Bowguy.ProcHasteBuff
GA_Bowguy_ProcHasteBuff_C,3,0,CustomGrantedTags.Bowguy.ProcHasteBuff
GA_Bowguy_RangedAutoAttack_C,0,0,CustomGrantedTags.Bowguy.RangedAutoAttack.Proc
GA_Bowguy_ReducedCostCooldownRecoveryBuff_C,0,0,CustomGrantedTags.Bowguy.ReducedCostCooldownRecoveryBuff.Buff
GA_Bowguy_ReducedCostCooldownRecoveryBuff_C,1,0,CustomGrantedTags.Bowguy.AimSlow
GA_Bowguy_ReducedCostCooldownRecoveryBuff_C,6,0,CustomGrantedTags.Bowguy.ReducedCostCooldownRecoveryBuff.Buff
GA_Bowguy_SelfBuffForAoeProjectile_C,0,0,CustomGrantedTags.Bowguy.SelfBuffForAoeProjectile
GA_Bowguy_SelfBuffForAoeProjectile_C,3,0,CustomGrantedTags.Bowguy.SelfBuffForAoeProjectile
GA_Bowguy_SingleProjectileDamage_C,0,0,CustomGrantedTags.Bowguy.InstantMarkTarget.Debuff
GA_Bowguy_SingleProjectileDamage_C,1,0,Cooldown.Global
GA_Bowguy_TargetedAoeDamage_C,0,0,Cooldown.Global
GA_Bowguy_TargetedAoePull_C,3,0,CharacterStatus.BlockAllSkills
GA_Bowguy_TargetedAoePull_C,3,1,CharacterStatus.IgnoreActionInput
GA_Bowguy_TargetedAoePull_C,3,2,CharacterStatus.IgnoreMoveInput
GA_Bowguy_TargetedAoePull_C,3,3,CharacterStatus.IgnoreRotationInput
GA_Bowguy_TargetedAoePull_C,3,4,CharacterStatus.IgnorePush
GA_Bowguy_TargetedAoePull_C,3,5,CharacterStatus.IgnoreFallDamage
GA_Firemage_CastedDotBoostProjectile,0,0,CustomGrantedTags.Firemage.Talent.CastedDotDetonate.InstantCastedSingleDot.Proc
GA_Firemage_CastedDotBoostProjectile,1,0,Cooldown.Global
GA_Firemage_CastedDotDetonate,0,0,Cooldown.Global
GA_Firemage_CastedDotDetonate,1,0,Cooldown.Global
GA_Firemage_CastedPlacedAoe,0,0,CharacterStatus.IgnoreActionInput
GA_Firemage_CastedPlacedAoe,0,1,CharacterStatus.IgnoreMoveInput
GA_Firemage_CastedPlacedAoe,0,2,CharacterStatus.BlockAllSkills
GA_Firemage_CastedPlacedAoe,0,3,CharacterStatus.IgnoreRotationInput
GA_Firemage_CastedPlacedAoe,1,0,Cooldown.Global
GA_Firemage_CastedSingleDot2_C,0,0,Cooldown.Global
GA_Firemage_CastedSingleHeavyDot_C,0,0,CustomGrantedTags.Firemage.Dot.Duplicatable
GA_Firemage_CastedSingleHeavyDot_C,1,0,CustomGrantedTags.Firemage.Dot
GA_Firemage_CastedSingleHeavyDot_C,3,0,Cooldown.Global
GA_Firemage_CastedSingleHeavyDot_C,5,0,CustomGrantedTags.Firemage.Dot.Duplicatable
GA_Firemage_ChanneledForwardAoeDamage,0,0,CustomGrantedTags.Firemage.Dot
GA_Firemage_ChanneledForwardAoeDamage,4,0,CustomGrantedTags.Firemage.Dot
GA_Firemage_Firefrogs,0,0,Cooldown.Global
GA_Firemage_Firefrogs,2,0,CustomGrantedTags.Firemage.Dot
GA_Firemage_InstantMultiTargetDot_C,0,0,CustomGrantedTags.Firemage.Dot.Duplicatable
GA_Firemage_InstantSingleInterrupt,1,0,Status.Silenced
GA_Firemage_InstantSingleInterrupt,1,1,CharacterStatus.Silenced
GA_Firemage_Passive_FrogDamageMonitor,0,0,CustomGrantedTags.Firemage.Dot
GA_Firemage_Passive_PlacedProjectileAoeDamageMonitor_Dot,0,0,CustomGrantedTags.Firemage.Dot
GA_Firemage_PlacedProjectileAoe,0,0,CustomGrantedTags.Firemage.Dot
GA_Firemage_PlacedProjectileAoe,1,0,Cooldown.Global
GA_Firemage_PlacedProjectileAoe,3,0,CustomGrantedTags.Firemage.Dot
GA_Gunde_BasicSingleTargetAttack,0,0,Cooldown.Global
GA_Gunde_DotTransfer,0,0,CustomGrantedTags.Gunde.SavedDotDamage.SelfBuff
GA_Gunde_DotTransfer,3,0,CustomGrantedTags.Gunde.SavedDotDamage.SelfBuff
GA_Gunde_DurationalAoeDotAndBuff,0,0,CustomGrantedTags.Gunde.DurationalAoeDotAndBuff.SelfBuff
GA_Gunde_DurationalAoeDotAndBuff,1,0,Cooldown.Global
GA_Gunde_DurationalAoeDotAndBuff,4,0,CustomGrantedTags.Gunde.DurationalAoeDotAndBuff.SelfBuff
GA_Gunde_HeavyMeleeDotBased,0,0,Cooldown.Global
GA_Gunde_HeavyMeleeDotBoost,0,0,CustomGrantedTags.Gunde.BoostedDotDamage
GA_Gunde_HeavyMeleeDotBoost,1,0,Cooldown.Global
GA_Gunde_InstantAoeWithBuff,1,0,Cooldown.Global
GA_Gunde_InstantWhirlwindAoe,0,0,Cooldown.Global
GA_Gunde_Passive_PerTargetAccumulatedBleed_DotManager,0,0,CustomGrantedTags.Gunde.PerTargetAccumulatedBleed
GA_Gunde_Talent_DotTransfer_Aoe,0,0,CustomGrantedTags.Gunde.SavedDotDamage.SelfBuff
GA_Gunde_Talent_DotTransfer_Aoe,1,0,Cooldown.Global
GA_Gunde_TargetedAoeProjectile,0,0,Cooldown.Global
GA_Ink_AoeAttack_C,0,0,CustomGrantedTags.Ink.AoeAttack.Active
GA_Ink_AoeAttack_C,1,0,Cooldown.Global
GA_Ink_AoeAttack_C,3,0,CustomGrantedTags.Ink.AoeAttack.Active
GA_Ink_AoeFear_C,0,0,CustomGrantedTags.Ink.AoeFear.Active
GA_Ink_AoeFear_C,3,0,CustomGrantedTags.Ink.AoeFear.Active
GA_Ink_AutoAttackBuff_InstantAttack_C,1,0,Cooldown.Global
GA_Ink_BouncyProjectile_C,0,0,Cooldown.Global
GA_Ink_ChargedBuff_C,0,0,CustomGrantedTags.Ink.ChargedBuff
GA_Ink_ChargedBuff_C,3,0,CustomGrantedTags.Ink.ChargedBuff
GA_Ink_CleaveAttack_C,0,0,Cooldown.Global
GA_Ink_CostReductionBuff_C,0,0,CustomGrantedTags.Ink.CostReductionBuff.SelfBuff
GA_Ink_CostReductionBuff_C,3,0,CustomGrantedTags.Ink.CostReductionBuff.SelfBuff
GA_Ink_EnhancedChargedBuff,0,0,CustomGrantedTags.Ink.ChargedBuff
GA_Ink_EnhancedChargedBuff,0,1,CustomGrantedTags.Ink.EnhancedChargedBuff
GA_Ink_EnhancedChargedBuff,4,0,CustomGrantedTags.Ink.ChargedBuff
GA_Ink_EnhancedChargedBuff,4,1,CustomGrantedTags.Ink.EnhancedChargedBuff
GA_Ink_MeleeInterrupt_C,2,0,Status.Silenced
GA_Ink_MeleeInterrupt_C,2,1,CharacterStatus.Silenced
GA_Ink_SecondChanceSingleTargetAttack_C,0,0,Cooldown.Global
GA_Ink_SecondChanceSingleTargetAttack_C,5,0,CustomGrantedTags.Ink.SecondChanceSingleTargetAttack
GA_Ink_SingleTargetHeavyNonSpender_C,0,0,Cooldown.Global
GA_Lisa_AoeStaggerRemovalSpender_C,0,0,Cooldown.Global
GA_Lisa_CastedHeal_C,0,0,Cooldown.Global
GA_Lisa_CastedHeal_C,2,0,CustomGrantedTags.Lisa.Talent.CastedSingleTargetProjectile.CastedHealFromPreviousDamageProc.Proc
GA_Lisa_CastedProjectileDamageIncreaseDebuff_C,0,0,Cooldown.Global
GA_Lisa_CastedSingleTargetDamage_C,0,0,CustomGrantedTags.Lisa.InstantSingleTargetDamageAndDot.Dot
GA_Lisa_CastedSingleTargetDamage_C,1,0,Cooldown.Global
GA_Lisa_ChanneledHealOrDamageProjectiles_C,0,0,Cooldown.Global
GA_Lisa_InstantDamageSpender_C,0,0,Cooldown.Global
GA_Lisa_InstantSelfBuff_C,0,0,CustomGrantedTags.Lisa.InstantSelfBuff.SelfBuff
GA_Lisa_InstantSelfBuff_C,4,0,CustomGrantedTags.Lisa.InstantSelfBuff.SelfBuff
GA_Lisa_InstantSingleTargetDamageAndDot_C,0,0,Cooldown.Global
GA_Lisa_InstantSingleTargetDamageAndDot_C,4,0,CustomGrantedTags.Lisa.InstantSingleTargetDamageAndDot.Dot
GA_Lisa_PauseResourcesAndPartyHealth_C,1,0,CustomGrantedTags.Lisa.PauseResourcesAndPartyHealth.SelfBuff
GA_Lisa_PauseResourcesAndPartyHealth_C,2,0,Cooldown.Global
GA_Lisa_PauseResourcesAndPartyHealth_C,7,0,CustomGrantedTags.Lisa.PauseResourcesAndPartyHealth.SelfBuff
GA_Lisa_SingleAllyDispel_C,0,0,Cooldown.Global
GA_Lisa_SingleTargetDamageImmunityBuff_C,1,0,Cooldown.Global
GA_Lisa_SingleTargetDot_C,1,0,Cooldown.Global
