id,effects_ordinal,ordinal,value
GA_Bowguy_AoeProjectileDamage_C,0,0,EffectLogic.System
GA_Bowguy_AoeProjectileDamage_C,1,0,EffectLogic.System
GA_Bowguy_CastedBouncyProjectileDamage_C,0,0,EffectLogic.System
GA_Bowguy_CastedBouncyProjectileDamage_C,0,1,EffectLogic.RemoveOnDeath
GA_Bowguy_CastedBouncyProjectileDamage_C,1,0,EffectLogic.System
GA_Bowguy_CastedProjectileDamage_C,0,0,EffectLogic.System
GA_Bowguy_CastedProjectileDamage_C,0,1,EffectLogic.RemoveOnDeath
GA_Bowguy_CastedProjectileDamage_C,1,0,EffectVisualization.Icon
GA_Bowguy_CastedProjectileDamage_C,1,1,EffectType.Beneficial
GA_Bowguy_CastedProjectileDamage_C,1,2,EffectLogic.RemoveOnDeath
GA_Bowguy_CastedProjectileDamage_C,1,3,EffectVisualization.IconOnPartyUnitFrame
GA_Bowguy_CastedProjectileDamage_C,2,0,EffectLogic.System
GA_Bowguy_CastedProjectileDamage_C,2,1,EffectLogic.RemoveOnDeath
GA_Bowguy_CastedProjectileDamage_C,2,2,EffectType.Beneficial
GA_Bowguy_CastedProjectileDamage_C,2,3,EffectVisualization.Icon
GA_Bowguy_CastedProjectileDamage_C,2,4,EffectVisualization.HeroSuperBuffbar
GA_Bowguy_CastedProjectileDamage_C,3,0,EffectLogic.System
GA_Bowguy_CastedProjectileDamage_C,4,0,EffectVisualization.Icon
GA_Bowguy_CastedProjectileDamage_C,4,1,EffectType.Beneficial
GA_Bowguy_CastedProjectileDamage_C,4,2,EffectLogic.RemoveOnDeath
GA_Bowguy_CastedProjectileDamage_C,4,3,EffectVisualization.IconOnPartyUnitFrame
GA_Bowguy_CastedProjectileHeavyDamage_C,0,0,EffectLogic.System
GA_Bowguy_CastedProjectileHeavyDamage_C,0,1,EffectLogic.RemoveOnDeath
GA_Bowguy_CastedProjectileHeavyDamage_C,1,0,EffectLogic.System
GA_Bowguy_CastedProjectileHeavyDamage_C,2,0,EffectLogic.System
GA_Bowguy_ChanneledMultiProjectileDebuff_C,0,0,EffectLogic.System
GA_Bowguy_ChanneledMultiProjectileDebuff_C,0,1,EffectLogic.RemoveOnDeath
GA_Bowguy_ChanneledMultiProjectileDebuff_C,1,0,EffectLogic.System
GA_Bowguy_ChanneledMultiProjectileDebuff_C,2,0,EffectLogic.System
GA_Bowguy_ChanneledMultiProjectileDebuff_C,2,1,EffectLogic.TimeRateInfluencedByCooldownRecovery
GA_Bowguy_ChanneledMultiProjectileDebuff_C,3,0,EffectLogic.System
GA_Bowguy_ChargedMoveWithDirection_C,0,0,EffectLogic.System
GA_Bowguy_DurationalAoeDamage_C,0,0,EffectType.Beneficial
GA_Bowguy_DurationalAoeDamage_C,0,1,EffectLogic.RemoveOnDeath
GA_Bowguy_DurationalAoeDamage_C,0,2,EffectVisualization.Icon
GA_Bowguy_DurationalAoeDamage_C,0,3,EffectVisualization.IconOnPartyUnitFrame
GA_Bowguy_DurationalAoeDamage_C,0,4,EffectLogic.AlwaysApply
GA_Bowguy_DurationalAoeDamage_C,0,5,EffectLogic.NotDispellable
GA_Bowguy_DurationalAoeDamage_C,0,6,EffectType.Magic.Arcane
GA_Bowguy_DurationalAoeDamage_C,1,0,EffectLogic.System
GA_Bowguy_DurationalAoeDamage_C,1,1,EffectLogic.RemoveOnDeath
GA_Bowguy_DurationalAoeDamage_C,2,0,EffectLogic.System
GA_Bowguy_DurationalAoeDamage_C,4,0,EffectType.Beneficial
GA_Bowguy_DurationalAoeDamage_C,4,1,EffectLogic.RemoveOnDeath
GA_Bowguy_DurationalAoeDamage_C,4,2,EffectVisualization.Icon
GA_Bowguy_DurationalAoeDamage_C,4,3,EffectVisualization.IconOnPartyUnitFrame
GA_Bowguy_DurationalAoeDamage_C,4,4,EffectLogic.AlwaysApply
GA_Bowguy_DurationalAoeDamage_C,4,5,EffectLogic.NotDispellable
GA_Bowguy_DurationalAoeDamage_C,4,6,EffectType.Magic.Arcane
GA_Bowguy_InstantMarkTarget_C,0,0,EffectVisualization.Icon
GA_Bowguy_InstantMarkTarget_C,0,1,EffectLogic.RemoveOnDeath
GA_Bowguy_InstantMarkTarget_C,0,2,EffectType.Debuff
GA_Bowguy_InstantMarkTarget_C,0,3,EffectType.Harmful
GA_Bowguy_InstantMarkTarget_C,0,4,EffectType.Magic.Arcane
GA_Bowguy_InstantMarkTarget_C,0,5,CustomAssetTags.Bowguy.InstantMarkTarget.RelevantDebuff
GA_Bowguy_InstantMarkTarget_C,1,0,EffectLogic.System
GA_Bowguy_InstantMarkTarget_C,1,1,EffectLogic.TimeRateInfluencedByCooldownRecovery
GA_Bowguy_InstantMarkTarget_C,2,0,EffectLogic.System
GA_Bowguy_InstantMarkTarget_C,3,0,EffectVisualization.Icon
GA_Bowguy_InstantMarkTarget_C,3,1,EffectLogic.RemoveOnDeath
GA_Bowguy_InstantMarkTarget_C,3,2,EffectType.Debuff
GA_Bowguy_InstantMarkTarget_C,3,3,EffectType.Harmful
GA_Bowguy_InstantMarkTarget_C,3,4,EffectType.Magic.Arcane
GA_Bowguy_InstantMarkTarget_C,3,5,CustomAssetTags.Bowguy.InstantMarkTarget.RelevantDebuff
GA_Bowguy_InstantSingleInterrupt_C,0,0,EffectLogic.System
GA_Bowguy_InstantSingleInterrupt_C,1,0,EffectLogic.System
GA_Bowguy_Passive_InstantMarkTarget_Monitor_C,0,0,EffectVisualization.Icon
GA_Bowguy_Passive_InstantMarkTarget_Monitor_C,0,1,EffectLogic.RemoveOnDeath
GA_Bowguy_Passive_InstantMarkTarget_Monitor_C,0,2,EffectType.Debuff
GA_Bowguy_Passive_InstantMarkTarget_Monitor_C,0,3,EffectType.Harmful
GA_Bowguy_Passive_InstantMarkTarget_Monitor_C,0,4,EffectType.Magic.Arcane
GA_Bowguy_Passive_InstantMarkTarget_Monitor_C,0,5,CustomAssetTags.Bowguy.InstantMarkTarget.RelevantDebuff
GA_Bowguy_ProcHasteBuff_C,0,0,EffectVisualization.Icon
GA_Bowguy_ProcHasteBuff_C,0,1,EffectType.Beneficial
GA_Bowguy_ProcHasteBuff_C,0,2,EffectLogic.RemoveOnDeath
GA_Bowguy_ProcHasteBuff_C,0,3,CustomAssetTags.Bowguy.ProcHasteBuff
GA_Bowguy_ProcHasteBuff_C,0,4,EffectVisualization.HeroSuperBuffbar
GA_Bowguy_ProcHasteBuff_C,1,0,EffectLogic.System
GA_Bowguy_ProcHasteBuff_C,1,1,EffectLogic.TimeRateInfluencedByCooldownRecovery
GA_Bowguy_ProcHasteBuff_C,2,0,EffectLogic.System
GA_Bowguy_ProcHasteBuff_C,3,0,EffectVisualization.Icon
GA_Bowguy_ProcHasteBuff_C,3,1,EffectType.Beneficial
GA_Bowguy_ProcHasteBuff_C,3,2,EffectLogic.RemoveOnDeath
GA_Bowguy_ProcHasteBuff_C,3,3,CustomAssetTags.Bowguy.ProcHasteBuff
GA_Bowguy_ProcHasteBuff_C,3,4,EffectVisualization.HeroSuperBuffbar
GA_Bowguy_RangedAutoAttack_C,0,0,EffectLogic.System
GA_Bowguy_RangedAutoAttack_C,0,1,EffectLogic.RemoveOnDeath
GA_Bowguy_RangedAutoAttack_C,0,2,EffectType.Beneficial
GA_Bowguy_RangedAutoAttack_C,0,3,EffectVisualization.Icon
GA_Bowguy_RangedAutoAttack_C,0,4,EffectVisualization.HeroSuperBuffbar
GA_Bowguy_ReducedCostCooldownRecoveryBuff_C,0,0,EffectType.Beneficial
GA_Bowguy_ReducedCostCooldownRecoveryBuff_C,0,1,EffectLogic.RemoveOnDeath
GA_Bowguy_ReducedCostCooldownRecoveryBuff_C,0,2,EffectVisualization.Icon
GA_Bowguy_ReducedCostCooldownRecoveryBuff_C,0,3,EffectLogic.AlwaysApply
GA_Bowguy_ReducedCostCooldownRecoveryBuff_C,0,4,EffectLogic.NotDispellable
GA_Bowguy_ReducedCostCooldownRecoveryBuff_C,0,5,EffectType.Magic.Arcane
GA_Bowguy_ReducedCostCooldownRecoveryBuff_C,0,6,EffectVisualization.HeroSuperBuffbar
GA_Bowguy_ReducedCostCooldownRecoveryBuff_C,1,0,EffectLogic.System
GA_Bowguy_ReducedCostCooldownRecoveryBuff_C,1,1,EffectLogic.RemoveOnDeath
GA_Bowguy_ReducedCostCooldownRecoveryBuff_C,2,0,EffectLogic.System
GA_Bowguy_ReducedCostCooldownRecoveryBuff_C,4,0,EffectLogic.System
GA_Bowguy_ReducedCostCooldownRecoveryBuff_C,6,0,EffectType.Beneficial
GA_Bowguy_ReducedCostCooldownRecoveryBuff_C,6,1,EffectLogic.RemoveOnDeath
GA_Bowguy_ReducedCostCooldownRecoveryBuff_C,6,2,EffectVisualization.Icon
GA_Bowguy_ReducedCostCooldownRecoveryBuff_C,6,3,EffectLogic.AlwaysApply
GA_Bowguy_ReducedCostCooldownRecoveryBuff_C,6,4,EffectLogic.NotDispellable
GA_Bowguy_ReducedCostCooldownRecoveryBuff_C,6,5,EffectType.Magic.Arcane
GA_Bowguy_ReducedCostCooldownRecoveryBuff_C,6,6,EffectVisualization.HeroSuperBuffbar
GA_Bowguy_SelfBuffForAoeProjectile_C,0,0,EffectVisualization.Icon
GA_Bowguy_SelfBuffForAoeProjectile_C,0,1,EffectType.Beneficial
GA_Bowguy_SelfBuffForAoeProjectile_C,0,2,EffectLogic.RemoveOnDeath
GA_Bowguy_SelfBuffForAoeProjectile_C,0,3,EffectVisualization.HeroSuperBuffbar
GA_Bowguy_SelfBuffForAoeProjectile_C,1,0,EffectLogic.System
GA_Bowguy_SelfBuffForAoeProjectile_C,1,1,EffectLogic.TimeRateInfluencedByCooldownRecovery
GA_Bowguy_SelfBuffForAoeProjectile_C,2,0,EffectLogic.System
GA_Bowguy_SelfBuffForAoeProjectile_C,3,0,EffectVisualization.Icon
GA_Bowguy_SelfBuffForAoeProjectile_C,3,1,EffectType.Beneficial
GA_Bowguy_SelfBuffForAoeProjectile_C,3,2,EffectLogic.RemoveOnDeath
GA_Bowguy_SelfBuffForAoeProjectile_C,3,3,EffectVisualization.HeroSuperBuffbar
GA_Bowguy_SelfDefenceBuff_C,0,0,EffectLogic.RemoveOnDeath
GA_Bowguy_SelfDefenceBuff_C,0,1,EffectType.Beneficial
GA_Bowguy_SelfDefenceBuff_C,0,2,EffectType.GeneratesThreat
GA_Bowguy_SelfDefenceBuff_C,0,3,EffectVisualization.Icon
