id,mechanics_effects_ordinal,role,effect,activation
GA_Bowguy_AoeProjectileDamage_C,0,Damage Effect Magical,GE_Bowguy_AoeProjectileDamage_Damage_Magical,baseline_candidate
GA_Bowguy_AoeProjectileDamage_C,1,Damage Effect Physical,GE_Bowguy_AoeProjectileDamage_Damage,baseline_candidate
GA_Bowguy_AoeProjectileDamage_C,2,EffectForShowingStacksAsCharges,GE_Bowguy_AoeProjectileDamage_Proc,baseline_candidate
GA_Bowguy_AoeProjectileDamage_C,3,PaddingCooldownEffectBaseClass,GE_Hero_Shared_PaddingCooldown,baseline_candidate
GA_Bowguy_CastedBouncyProjectileDamage_C,0,DamageEffectRef,GE_Bowguy_CastedBouncyProjectileDamage_Damage,baseline_candidate
GA_Bowguy_CastedBouncyProjectileDamage_C,1,Slow Effect,GE_Bowguy_AimSlow,baseline_candidate
GA_Bowguy_CastedProjectileDamage_C,0,Buff Effect,GE_Bowguy_CastedProjectileDamage_Buff,baseline_candidate
GA_Bowguy_CastedProjectileDamage_C,1,DamageEffectRef,GE_Bowguy_CastedProjectileDamage_Damage,baseline_candidate
GA_Bowguy_CastedProjectileDamage_C,2,ProcEffect,GE_Bowguy_RangedAutoAttack_Proc,baseline_candidate
GA_Bowguy_CastedProjectileDamage_C,3,Slow Effect,GE_Bowguy_AimSlow,baseline_candidate
GA_Bowguy_CastedProjectileHeavyDamage_C,0,BounceCounter Buff,GE_Bowguy_AoeProjectileDamage_Proc,baseline_candidate
GA_Bowguy_CastedProjectileHeavyDamage_C,1,DamageEffectRef,GE_Bowguy_CastedProjectileHeavyDamage_Damage,baseline_candidate
GA_Bowguy_CastedProjectileHeavyDamage_C,2,PaddingCooldownEffectBaseClass,GE_Hero_Shared_PaddingCooldown,baseline_candidate
GA_Bowguy_CastedProjectileHeavyDamage_C,3,Slow Effect,GE_Bowguy_AimSlow,baseline_candidate
GA_Bowguy_ChanneledMultiProjectileDebuff_C,0,CooldownEffectBaseClass,GE_Shared_Cooldown_DefaultScale,baseline_candidate
GA_Bowguy_ChanneledMultiProjectileDebuff_C,1,DamageEffectRef,GE_Bowguy_ChanneledMultiProjectileDebuff_Damage,baseline_candidate
