id,mechanics_effects_ordinal,ordinal,value
GA_Bowguy_AoeProjectileDamage_C,0,0,Damage Effect Magical
GA_Bowguy_AoeProjectileDamage_C,1,0,Damage Effect Physical
GA_Bowguy_AoeProjectileDamage_C,2,0,EffectForShowingStacksAsCharges
GA_Bowguy_AoeProjectileDamage_C,3,0,PaddingCooldownEffectBaseClass
GA_Bowguy_CastedBouncyProjectileDamage_C,0,0,DamageEffectRef
GA_Bowguy_CastedBouncyProjectileDamage_C,1,0,Slow Effect
GA_Bowguy_CastedProjectileDamage_C,0,0,Buff Effect
GA_Bowguy_CastedProjectileDamage_C,1,0,DamageEffectRef
GA_Bowguy_CastedProjectileDamage_C,2,0,ProcEffect
GA_Bowguy_CastedProjectileDamage_C,3,0,Slow Effect
GA_Bowguy_CastedProjectileHeavyDamage_C,0,0,BounceCounter Buff
GA_Bowguy_CastedProjectileHeavyDamage_C,1,0,DamageEffectRef
GA_Bowguy_CastedProjectileHeavyDamage_C,2,0,PaddingCooldownEffectBaseClass
GA_Bowguy_CastedProjectileHeavyDamage_C,3,0,Slow Effect
GA_Bowguy_ChanneledMultiProjectileDebuff_C,0,0,CooldownEffectBaseClass
GA_Bowguy_ChanneledMultiProjectileDebuff_C,1,0,DamageEffectRef
GA_Bowguy_ChanneledMultiProjectileDebuff_C,2,0,PaddingCooldownEffectBaseClass
GA_Bowguy_ChanneledMultiProjectileDebuff_C,3,0,Slow Effect
GA_Bowguy_ChargedMoveWithDirection_C,0,0,Active Effect
GA_Bowguy_ChargedMoveWithDirection_C,1,0,ChargeGameplayEffectClass
GA_Bowguy_ChargedMoveWithDirection_C,2,0,PaddingCooldownEffectBaseClass
GA_Bowguy_DurationalAoeDamage_C,0,0,BuffEffectRef
GA_Bowguy_DurationalAoeDamage_C,1,0,PaddingCooldownEffectBaseClass
GA_Bowguy_DurationalAoeDamage_C,2,0,Slow Effect
GA_Bowguy_InstantMarkTarget_C,0,0,CooldownEffectBaseClass
GA_Bowguy_InstantMarkTarget_C,1,0,Debuff Effect Ref
GA_Bowguy_InstantMarkTarget_C,2,0,PaddingCooldownEffectBaseClass
