id,ordinal,value
GA_Bowguy_AoeProjectileDamage_C,0,Core
GA_Bowguy_CastedBouncyProjectileDamage_C,0,Casted
GA_Bowguy_CastedBouncyProjectileDamage_C,1,Power
GA_Bowguy_CastedProjectileDamage_C,0,Casted
GA_Bowguy_CastedProjectileDamage_C,1,Basic
GA_Bowguy_CastedProjectileHeavyDamage_C,0,Casted
GA_Bowguy_CastedProjectileHeavyDamage_C,1,Power
GA_Bowguy_ChanneledMultiProjectileDebuff_C,0,Channeled
GA_Bowguy_ChanneledMultiProjectileDebuff_C,1,Power
GA_Bowguy_DurationalAoeDamage_C,0,Spirit
GA_Bowguy_InstantMarkTarget_C,0,Major
GA_Bowguy_ProcHasteBuff_C,0,Major
GA_Bowguy_ReducedCostCooldownRecoveryBuff_C,0,Spirit
GA_Bowguy_SelfBuffForAoeProjectile_C,0,Major
GA_Bowguy_SingleProjectileDamage_C,0,Basic
GA_Bowguy_TargetedAoeDamage_C,0,Power
GA_Bowguy_TargetedAoePull_C,0,Control
GA_Firemage_CastedDotBoostProjectile,0,Casted
GA_Firemage_CastedDotBoostProjectile,1,Basic
GA_Firemage_CastedDotDetonate,0,Casted
GA_Firemage_CastedDotDetonate,1,Power
GA_Firemage_CastedPlacedAoe,0,Casted
GA_Firemage_CastedPlacedAoe,1,Major
GA_Firemage_CastedSingleDot2_C,0,Core
GA_Firemage_CastedSingleHeavyDot_C,0,Casted
GA_Firemage_CastedSingleHeavyDot_C,1,Core
GA_Firemage_ChanneledForwardAoeDamage,0,Channeled
GA_Firemage_ChanneledForwardAoeDamage,1,Spirit
GA_Firemage_Firefrogs,0,Core
GA_Firemage_InstantDotSpread,0,Major
GA_Firemage_InstantMultiTargetDot_C,0,Major
GA_Firemage_InstantSingleDisorient,0,Control
GA_Firemage_PlacedProjectileAoe,0,Core
GA_Gunde_BasicSingleTargetAttack,0,Basic
GA_Gunde_DurationalAoeDotAndBuff,0,Spirit
GA_Gunde_ExtraDotDamageBuff,0,Major
GA_Gunde_HeavyMeleeDotBased,0,Core
GA_Gunde_HeavyMeleeDotBoost,0,Power
GA_Gunde_InstantAoeDot,0,Major
GA_Gunde_InstantAoeWithBuff,0,Core
GA_Gunde_InstantWhirlwindAoe,0,Basic
GA_Gunde_SingleTargetPull,0,Control
GA_Gunde_TargetedAoeProjectile,0,Power
GA_Ink_AoeAttack_C,0,Channeled
GA_Ink_AoeAttack_C,1,Power
GA_Ink_AoeFear_C,0,Control
GA_Ink_AutoAttackBuff_Attack_C,0,Core
GA_Ink_AutoAttackBuff_C,0,Core
GA_Ink_AutoAttackBuff_InstantAttack_C,0,Core
GA_Ink_BouncyProjectile_C,0,Core
GA_Ink_ChargedBuff_C,0,Major
GA_Ink_CleaveAttack_C,0,Basic
GA_Ink_CostReductionBuff_C,0,Major
GA_Ink_EnhancedChargedBuff,0,Spirit
GA_Ink_HeavySingleTargetAttack_C,0,Power
GA_Ink_LowHealthSingleTargetResourceDamage_C,0,Power
GA_Ink_SecondChanceSingleTargetAttack_C,0,Basic
GA_Ink_SingleTargetHeavyNonSpender_C,0,Basic
GA_Lisa_AoeStaggerRemovalSpender_C,0,Power
GA_Lisa_CastedHeal_C,0,Casted
GA_Lisa_CastedHeal_C,1,Core
GA_Lisa_CastedProjectileDamageIncreaseDebuff_C,0,Casted
GA_Lisa_CastedProjectileDamageIncreaseDebuff_C,1,Major
GA_Lisa_CastedSingleTargetDamage_C,0,Casted
GA_Lisa_CastedSingleTargetDamage_C,1,Basic
GA_Lisa_ChanneledHealOrDamageProjectiles_C,0,Channeled
GA_Lisa_ChanneledHealOrDamageProjectiles_C,1,Core
GA_Lisa_InstantDamageSpender_C,0,Power
GA_Lisa_InstantSelfBuff_C,0,Major
GA_Lisa_InstantSingleTargetDamageAndDot_C,0,Core
GA_Lisa_PauseResourcesAndPartyHealth_C,0,Spirit
GA_Lisa_SingleTargetDot_C,0,Casted
GA_Lisa_SingleTargetDot_C,1,Core
GA_Lisa_SingleTargetrRemovalSpender_C,0,Power
GA_Lisa_TargetedAoeSilence_C,0,Control
GA_Mara_AoeAttackBuilder_C,0,Basic
GA_Mara_AoeAttackSpender_C,0,Power
GA_Mara_BleedAttackSpender_C,0,Power
GA_Mara_ChargedDoubleAttackBuilder_C,0,Core
GA_Mara_ChargedResourceRefillSelfBuff_C,0,Major
GA_Mara_CopyCharacterDamage_C,0,Spirit
GA_Mara_HeavyAttackSpender_C,0,Power
GA_Mara_ResetCooldownRefillResouces_C,0,Major
GA_Mara_StrongerBehindAttackBuilder_C,0,Basic
GA_Mara_StunSpender_C,0,Control
GA_Meiko_AoePull_C,0,Control
GA_Meiko_ChanneledHeavyDamage_C,0,Channeled
GA_Meiko_ChanneledHeavyDamage_C,1,Power
GA_Meiko_DurationalAoeDamageBuff_C,0,Core
GA_Meiko_DurationalMultipleTeleportDamage_New,0,Spirit
GA_Meiko_FrontalAoeDebuff_C,0,Control
