name,value_known,value_curve_ref,value_default,value_unresolved_reason,table,source,note,provenance_origin,provenance_dev_name,provenance_source,provenance_source_authority
AI.ReturnHome.MoveSpeed,2.0,,,,AbilityConstants,base,,datamine,,,producer_bound
AbilityUnlock.Level,19.0,,,,DungeonModifiers,base,!!!!This is not Pinnacle unlock. this is global. Do not change this for pinnacle tweaking!!!!,datamine,,,producer_bound
AbilityUnlock.Pinnacle.Hard,43.0,,,,DungeonModifiers,base,,datamine,,,producer_bound
AbilityUnlock.Pinnacle.Ultimate,60.0,,,,DungeonModifiers,base,,datamine,,,producer_bound
AnomalousOrbs.NumOfOrbs,3.0,,,,DungeonModifiers,base,,datamine,,,producer_bound
AnomalousOrbs.Orb.BlockAllSkills.Duration,8.0,,,,DungeonModifiers,base,,datamine,,,producer_bound
AnomalousOrbs.Orb.BlockAllSkills.IncomingDamageMultiplier,4.0,,,,DungeonModifiers,base,,datamine,,,producer_bound
AnomalousOrbs.Orb.Buff.AdditionalGemPowerPerStack,480.0,,,,DungeonModifiers,base,,datamine,,,producer_bound
AnomalousOrbs.Orb.Buff.Duration,60.0,,,,DungeonModifiers,base,,datamine,,,producer_bound
AnomalousOrbs.Orb.Buff.MaxRange,6000.0,,,,DungeonModifiers,base,,datamine,,,producer_bound
AnomalousOrbs.Orb.Buff.MaxStacks,3.0,,,,DungeonModifiers,base,,datamine,,,producer_bound
AnomalousOrbs.Orb.Detonate.CastDuration,15.0,,,,DungeonModifiers,base,,datamine,,,producer_bound
AnomalousOrbs.Orb.Detonate.Damage,2000.0,,,,DungeonModifiers,base,,datamine,,,producer_bound
AnomalousOrbs.Orb.Detonate.DamageRadius,6000.0,,,,DungeonModifiers,base,,datamine,,,producer_bound
AnomalousOrbs.Orb.Detonate.InterruptCooldown,12.0,,,,DungeonModifiers,base,,datamine,,,producer_bound
AnomalousOrbs.Orb.RandomMaxDelayBetweenIndividualOrbSpawn,3.0,,,,DungeonModifiers,base,,datamine,,,producer_bound
AnomalousOrbs.PlayerToEnemyMaxDistance,700.0,,,,DungeonModifiers,base,,datamine,,,producer_bound
AnomalousOrbs.SpawnMaxRadiusFromEnemy,500.0,,,,DungeonModifiers,base,,datamine,,,producer_bound
AnomalousOrbs.SpawnTimeMax,148.0,,,,DungeonModifiers,base,,datamine,,,producer_bound
AnomalousOrbs.SpawnTimeMin,128.0,,,,DungeonModifiers,base,,datamine,,,producer_bound
ArmorSetBonus.CooldownReductionBonusAndThreatDecrease.CooldownReductionIncrease,0.1,,,,ArmorSetBonuses,base,retired,datamine,,,producer_bound
ArmorSetBonus.CooldownReductionBonusAndThreatIncrease.CooldownReductionIncrease,0.1,,,,ArmorSetBonuses,base,retired,datamine,,,producer_bound
ArmorSetBonus.CritChanceBonus.CriticalStrikeChanceIncrease,0.04,,,,ArmorSetBonuses,base,,datamine,,,producer_bound
ArmorSetBonus.ExpertiseBonus.ExpertiseIncrease,0.04,,,,ArmorSetBonuses,base,,datamine,,,producer_bound
ArmorSetBonus.GemPowerBonus.GemPowerScaler,1.25,,,,ArmorSetBonuses,base,,datamine,,,producer_bound
ArmorSetBonus.HasteBonus.HasteIncrease,0.04,,,,ArmorSetBonuses,base,,datamine,,,producer_bound
ArmorSetBonus.HasteBuffOnAbilityUse.BuffDuration,20.0,,,,ArmorSetBonuses,base,,datamine,,,producer_bound
ArmorSetBonus.HasteBuffOnAbilityUse.Cooldown,5.0,,,,ArmorSetBonuses,base,,datamine,,,producer_bound
ArmorSetBonus.HasteBuffOnAbilityUse.HasteBonus,0.25,,,,ArmorSetBonuses,base,,datamine,,,producer_bound
ArmorSetBonus.HasteBuffOnAbilityUse.PPM,0.8,,,,ArmorSetBonuses,base,,datamine,,,producer_bound
ArmorSetBonus.HeroismPowerAndDamageReductionBonus.IncomingDamageMultiplier,0.8,,,,ArmorSetBonuses,base,disabled currently,datamine,,,producer_bound
ArmorSetBonus.HeroismPowerAndDamageReductionBonus.PowerScaler,1.2,,,,ArmorSetBonuses,base,,datamine,,,producer_bound
ArmorSetBonus.MagicResistBonus.IncomingMagicDamageMultiplier,0.9,,,,ArmorSetBonuses,base,,datamine,,,producer_bound
ArmorSetBonus.MaxHealthAndCritPowerBonus.CriticalStrikeDamageIncrease,1.03,,,,ArmorSetBonuses,base,retired,datamine,,,producer_bound
ArmorSetBonus.MaxHealthBonus.MaxHealthScaler,1.05,,,,ArmorSetBonuses,base,,datamine,,,producer_bound
ArmorSetBonus.MaxManaBonus.MaxManaScaler,1.15,,,,ArmorSetBonuses,base,,datamine,,,producer_bound
ArmorSetBonus.MoveSpeedBonus.MoveSpeedScaler,1.2,,,,ArmorSetBonuses,base,,datamine,,,producer_bound
ArmorSetBonus.PowerBonusAndAutoHeal.Cooldown,180.0,,,,ArmorSetBonuses,base,,datamine,,,producer_bound
ArmorSetBonus.PowerBonusAndAutoHeal.HealMaxHealthFraction,0.4,,,,ArmorSetBonuses,base,was 0.35,datamine,,,producer_bound
ArmorSetBonus.PowerBonusAndAutoHeal.HealthThreshold,0.2,,,,ArmorSetBonuses,base,,datamine,,,producer_bound
ArmorSetBonus.PowerBonusAndAutoHeal.PowerScaler,1.05,,,,ArmorSetBonuses,base,,datamine,,,producer_bound
ArmorSetBonus.PowerBonusOnCrit.BuffDuration,14.0,,,,ArmorSetBonuses,base,,datamine,,,producer_bound
ArmorSetBonus.PowerBonusOnCrit.Cooldown,5.0,,,,ArmorSetBonuses,base,,datamine,,,producer_bound
ArmorSetBonus.PowerBonusOnCrit.PPM,1.0,,,,ArmorSetBonuses,base,,datamine,,,producer_bound
ArmorSetBonus.PowerBonusOnCrit.PowerIncreaseFactor,1.18,,,,ArmorSetBonuses,base,,datamine,,,producer_bound
ArmorSetBonus.Quickplay.CritChanceBonus,0.15,,,,ArmorSetBonuses,base,,datamine,,,producer_bound
ArmorSetBonus.Quickplay.Expertise,0.2,,,,ArmorSetBonuses,base,,datamine,,,producer_bound
