id,diminishing_returns_ordinal,max_bracket_value,penalty_percentage
Armor,0,50.0,0.9
Armor,1,100.0,0.8
CooldownReduction,0,999.0,1.0
CooldownReduction,1,1000.0,0.9
CooldownReduction,2,1000.0,0.8
CooldownReduction,3,1000.0,0.7
CritChance,0,10.0,1.0
CritChance,1,15.0,0.98
CritChance,2,20.0,0.96
CritChance,3,25.0,0.94
Expertise,0,10.0,1.0
Expertise,1,15.0,0.98
Expertise,2,20.0,0.96
Expertise,3,25.0,0.94
Haste,0,10.0,1.0
Haste,1,15.0,0.98
Haste,2,20.0,0.96
Haste,3,25.0,0.94
Spirit,0,10.0,1.0
Spirit,1,15.0,0.98
Spirit,2,20.0,0.96
Spirit,3,25.0,0.94
