id,value,unresolved_reason,provenance_origin,provenance_dev_name,provenance_source
constants.AI.ReturnHome.MoveSpeed,2.0,,datamine,,
constants.Artifact.02.CheatDeath.ActivationBuff.AdditionalLifeSteal,0.3,,datamine,,
constants.Artifact.02.CheatDeath.ActivationBuff.Duration,6.0,,datamine,,
constants.Artifact.02.CheatDeath.Cooldown,300.0,,datamine,,
constants.Artifact.02.CheatDeath.MaxHealthHeal,0.3,,datamine,,
constants.Artifact.02.LifeBreaker.Cooldown,45.0,,datamine,,
constants.Artifact.02.LifeBreaker.DebuffDuration,6.0,,datamine,,
constants.Artifact.02.LifeBreaker.SacrificeMaxHealthAsDamage,0.25,,datamine,,
constants.Artifact.02.LifeBreaker.Tier4DamageBonus,0.3,,datamine,,
constants.Artifact.02.MainBuff.AddedLifeSteal,0.1,,datamine,,
constants.Artifact.02.MainBuff.MaxHealthMultiplier,1.15,,datamine,,
constants.Artifact.07.MeditativeBreathing.BonusManaRegenRateMultiplier,0.01,,datamine,,
constants.Artifact.07.MeditativeBreathing.ChanceToApply.Tier4,0.2,,datamine,,
constants.Artifact.07.MeditativeBreathing.ChanceToApply._value,0.1,,datamine,,
constants.Artifact.07.MeditativeBreathing.Duration,6.15,,datamine,,
constants.Artifact.07.MeditativeBreathing.ManaPercentageThreshhold.Tier4,0.3,,datamine,,
constants.Artifact.07.WogonsSigal.HealReplicationFraction.Base,0.3,,datamine,,
constants.Artifact.07.WogonsSigal.HealReplicationFraction.Tier3,0.33,,datamine,,
constants.Artifact.07.WogonsSigal.IncomingHealMultiplierBonus.Tier3,1.1,,datamine,,
constants.Artifact.07.WogonsSigal.Tier4SecondTargetFalloffDuration,10.0,,datamine,,
constants.Artifact.4.Ability.IntellectCoefficient,10.0,,datamine,,
constants.Artifact.4.SoulFragment.CritChance.Duration,8.0,,datamine,,
constants.Artifact.4.SoulFragment.CritChance.Magnitude,0.25,,datamine,,
constants.Artifact.4.SoulFragment.DamageTimeout,30.0,,datamine,,
constants.Artifact.4.SoulFragment.DropChance,0.2,,datamine,,
constants.Artifact.4.SoulFragment.Haste,0.01,,datamine,,
constants.Artifact.4.SoulFragment.LifeTime,30.0,,datamine,,
constants.Artifact.6.CascadingStars.Cooldown,120.0,,datamine,,
constants.Artifact.6.CascadingStars.Duration,15.0,,datamine,,
constants.Artifact.6.CascadingStars.Period,0.5,,datamine,,
constants.Artifact.6.FallingStar.DamageRadius,150.0,,datamine,,
constants.Artifact.6.FallingStar.IntellectCoefficient,0.08,,datamine,,
constants.Artifact.6.FallingStar.Rank3CriticalStrikeChance,0.1,,datamine,,
constants.Artifact.6.FallingStar.Spread,0.4,,datamine,,
constants.Artifact.6.StarCallerBuff.CritChanceBonusPerStack,0.0025,,datamine,,
constants.Artifact.6.StarCallerBuff.CritDamageBonusPerStack,0.005,,datamine,,
constants.Artifact.6.StarCallerBuff.Duration,6.0,,datamine,,
