name,rows_ordinal,rows_name
CT_ArmorSetBonuses,0,ArmorSetBonus.CooldownReductionBonusAndThreatDecrease.CooldownReductionIncrease
CT_ArmorSetBonuses,1,ArmorSetBonus.CooldownReductionBonusAndThreatIncrease.CooldownReductionIncrease
CT_ArmorSetBonuses,2,ArmorSetBonus.CritChanceBonus.CriticalStrikeChanceIncrease
CT_ArmorSetBonuses,3,ArmorSetBonus.ExpertiseBonus.ExpertiseIncrease
CT_ArmorSetBonuses,4,ArmorSetBonus.GemPowerBonus.GemPowerScaler
CT_ArmorSetBonuses,5,ArmorSetBonus.HasteBonus.HasteIncrease
CT_ArmorSetBonuses,6,ArmorSetBonus.HasteBuffOnAbilityUse.BuffDuration
CT_ArmorSetBonuses,7,ArmorSetBonus.HasteBuffOnAbilityUse.Cooldown
CT_ArmorSetBonuses,8,ArmorSetBonus.HasteBuffOnAbilityUse.HasteBonus
CT_ArmorSetBonuses,9,ArmorSetBonus.HasteBuffOnAbilityUse.PPM
CT_ArmorSetBonuses,10,ArmorSetBonus.HeroismPowerAndDamageReductionBonus.IncomingDamageMultiplier
CT_ArmorSetBonuses,11,ArmorSetBonus.HeroismPowerAndDamageReductionBonus.PowerScaler
CT_ArmorSetBonuses,12,ArmorSetBonus.MagicResistBonus.IncomingMagicDamageMultiplier
CT_ArmorSetBonuses,13,ArmorSetBonus.MaxHealthAndCritPowerBonus.CriticalStrikeDamageIncrease
CT_ArmorSetBonuses,14,ArmorSetBonus.MaxHealthBonus.MaxHealthScaler
CT_ArmorSetBonuses,15,ArmorSetBonus.MaxManaBonus.MaxManaScaler
CT_ArmorSetBonuses,16,ArmorSetBonus.MoveSpeedBonus.MoveSpeedScaler
CT_ArmorSetBonuses,17,ArmorSetBonus.PowerBonusAndAutoHeal.Cooldown
CT_ArmorSetBonuses,18,ArmorSetBonus.PowerBonusAndAutoHeal.HealMaxHealthFraction
CT_ArmorSetBonuses,19,ArmorSetBonus.PowerBonusAndAutoHeal.HealthThreshold
CT_ArmorSetBonuses,20,ArmorSetBonus.PowerBonusAndAutoHeal.PowerScaler
CT_ArmorSetBonuses,21,ArmorSetBonus.PowerBonusOnCrit.BuffDuration
CT_ArmorSetBonuses,22,ArmorSetBonus.PowerBonusOnCrit.Cooldown
CT_ArmorSetBonuses,23,ArmorSetBonus.PowerBonusOnCrit.PPM
CT_ArmorSetBonuses,24,ArmorSetBonus.PowerBonusOnCrit.PowerIncreaseFactor
CT_ArmorSetBonuses,25,ArmorSetBonus.Quickplay.CritChanceBonus
CT_ArmorSetBonuses,26,ArmorSetBonus.Quickplay.Expertise
CT_ArmorSetBonuses,27,ArmorSetBonus.Quickplay.HasteBonus
CT_ArmorSetBonuses,28,ArmorSetBonus.Quickplay.SpiritBonus
CT_ArmorSetBonuses,29,ArmorSetBonus.SpiritBonus.SpiritIncrease
CT_ArmorSetBonuses,30,ArmorSetBonus.TargetLowHealthDamageBonus.DamageScaler
CT_ArmorSetBonuses,31,ArmorSetBonus.ThreatDecrease.ThreatScaler
CT_ArmorSetBonuses,32,ArmorSetBonus.ThreatIncrease.ThreatScaler
CT_DifficultyToItemRarity,0,AdventureViewOnly
CT_DifficultyToItemRarity,1,Default
CT_DifficultyToItemRarity,2,DefaultOvertime1
CT_DifficultyToItemRarity,3,DungeonHigh
CT_DifficultyToItemRarity,4,DungeonViewOnly
CT_DifficultyToItemRarity,5,WeeklyChest
CT_DungeonDifficultyToCurrencyDrop,0,ItemID.Currency.CHIP
CT_DungeonDifficultyToCurrencyDrop,1,ItemID.Currency.CacheKeys
CT_DungeonDifficultyToCurrencyDrop,2,ItemID.Currency.MATS
CT_DungeonDifficultyToCurrencyDrop,3,ItemID.Currency.PMAG
CT_DungeonDifficultyToCurrencyDrop,4,ItemID.Currency.QuickplayToken
CT_DungeonDifficultyToDropItemLevel,0,AdventureViewOnly
CT_DungeonDifficultyToDropItemLevel,1,Default
CT_DungeonDifficultyToDropItemLevel,2,DefaultOvertime1
CT_DungeonDifficultyToDropItemLevel,3,DungeonHigh
CT_DungeonDifficultyToDropItemLevel,4,DungeonViewOnly
CT_DungeonDifficultyToDropItemLevel,5,Legendary
CT_DungeonDifficultyToDropItemLevel,6,WeeklyChest
CT_DungeonDifficultyToLootTierTable,0,Default
CT_DungeonExpenseLimits,0,Default
CT_DungeonModifiers,0,AbilityUnlock.Level
CT_DungeonModifiers,1,AbilityUnlock.Pinnacle.Hard
CT_DungeonModifiers,2,AbilityUnlock.Pinnacle.Ultimate
CT_DungeonModifiers,3,AnomalousOrbs.NumOfOrbs
CT_DungeonModifiers,4,AnomalousOrbs.Orb.BlockAllSkills.Duration
CT_DungeonModifiers,5,AnomalousOrbs.Orb.BlockAllSkills.IncomingDamageMultiplier
CT_DungeonModifiers,6,AnomalousOrbs.Orb.Buff.AdditionalGemPowerPerStack
CT_DungeonModifiers,7,AnomalousOrbs.Orb.Buff.Duration
CT_DungeonModifiers,8,AnomalousOrbs.Orb.Buff.MaxRange
CT_DungeonModifiers,9,AnomalousOrbs.Orb.Buff.MaxStacks
CT_DungeonModifiers,10,AnomalousOrbs.Orb.Detonate.CastDuration
CT_DungeonModifiers,11,AnomalousOrbs.Orb.Detonate.Damage
CT_DungeonModifiers,12,AnomalousOrbs.Orb.Detonate.DamageRadius
CT_DungeonModifiers,13,AnomalousOrbs.Orb.Detonate.InterruptCooldown
CT_DungeonModifiers,14,AnomalousOrbs.Orb.RandomMaxDelayBetweenIndividualOrbSpawn
CT_DungeonModifiers,15,AnomalousOrbs.PlayerToEnemyMaxDistance
CT_DungeonModifiers,16,AnomalousOrbs.SpawnMaxRadiusFromEnemy
CT_DungeonModifiers,17,AnomalousOrbs.SpawnTimeMax
CT_DungeonModifiers,18,AnomalousOrbs.SpawnTimeMin
CT_DungeonModifiers,19,BloodShardVolley.DamageMaxHealthFactor
CT_DungeonModifiers,20,BloodShardVolley.HeroBuff.CooldownReductionIncrease
CT_DungeonModifiers,21,BloodShardVolley.TargetingRange
CT_DungeonModifiers,22,Carnage.Buff.AddedBonusPerBossKill
CT_DungeonModifiers,23,Carnage.Buff.AddedLifeSteal
CT_DungeonModifiers,24,Carnage.DebuffDot.DotDamagePercentage
CT_DungeonModifiers,25,Carnage.DebuffDot.OutOfCombatMultiplier
CT_DungeonModifiers,26,Carnage.DebuffDot.RemoveAtHealthThreshold
CT_DungeonModifiers,27,Carnage.DebuffDot.TickPeriod
CT_DungeonModifiers,28,Challenge.EnemyBoost.DamageScaler
CT_DungeonModifiers,29,Challenge.EnemyBoost.HealthScaler
CT_DungeonModifiers,30,Challenge.HeroBuff.SpiritIncrease
CT_DungeonModifiers,31,ColdSnap.AoeRadius
CT_DungeonModifiers,32,ColdSnap.EnemyDamageScaler
CT_DungeonModifiers,33,ColdSnap.ExplosionDelay
CT_DungeonModifiers,34,ColdSnap.FlatDamage
CT_DungeonModifiers,35,ColdSnap.HeroBuff.IncomingMagicDamageMultiplier
CT_DungeonModifiers,36,ColdSnap.RootDuration
CT_DungeonModifiers,37,ColdSnap.SpawnPeriodMax
CT_DungeonModifiers,38,ColdSnap.SpawnPeriodMin
CT_DungeonModifiers,39,ColdSnap.StunDuration
CT_DungeonModifiers,40,ColdSnap.WindupDuration
CT_DungeonModifiers,41,DM_Truesight.Buff.DamageScale
CT_DungeonModifiers,42,DM_Truesight.Buff.Duration
CT_DungeonModifiers,43,DM_Truesight.Buff.HealScale
CT_DungeonModifiers,44,DM_Truesight.Buff.MaxNearbyDistance
CT_DungeonModifiers,45,DM_Truesight.Buff.PreferredMaxKillScore
CT_DungeonModifiers,46,DM_Truesight.Buff.PreferredMinKillScore
CT_DungeonModifiers,47,DM_Truesight.Buff.Radius
CT_DungeonModifiers,48,DM_Truesight.DungeonScoreFractionPerInitialSpawn
CT_DungeonModifiers,49,DM_Truesight.DungeonScoreFractionPerSpawn
CT_DungeonModifiers,50,DM_Truesight.KillDuration
CT_DungeonModifiers,51,DM_Truesight.MaxDropDistance
CT_DungeonModifiers,52,DM_Truesight.MinDropDistance
CT_DungeonModifiers,53,DM_Truesight.PickupRadius
CT_DungeonModifiers,54,DM_Truesight.PreCombatDuration
CT_DungeonModifiers,55,DM_Truesight.Pulse.BaseDamage
CT_DungeonModifiers,56,DM_Truesight.Pulse.Radius
CT_DungeonModifiers,57,DM_Truesight.Pulse.TickInterval
CT_DungeonModifiers,58,DM_Truesight.SearchAngle
CT_DungeonModifiers,59,DM_Truesight.SearchRadius
CT_DungeonModifiers,60,DM_Truesight.SearchStartDelay
CT_DungeonModifiers,61,DM_WinterGiant.AutoAttackCleave.Angle
CT_DungeonModifiers,62,DM_WinterGiant.AutoAttackCleave.Height
CT_DungeonModifiers,63,DM_WinterGiant.AutoAttackCleave.MaxCooldown
CT_DungeonModifiers,64,DM_WinterGiant.AutoAttackCleave.MaxRadius
CT_DungeonModifiers,65,DM_WinterGiant.AutoAttackCleave.MaxRange
CT_DungeonModifiers,66,DM_WinterGiant.AutoAttackCleave.MinCooldown
CT_DungeonModifiers,67,DM_WinterGiant.AutoAttackCleave.MinRadius
CT_DungeonModifiers,68,DM_WinterGiant.AutoAttackCleave.PrimaryAttributeCoefficient
CT_DungeonModifiers,69,DM_WinterGiant.Boon.DungeonQualifierExtension
CT_DungeonModifiers,70,DM_WinterGiant.CastSoakDebuff.CastingDuration
CT_DungeonModifiers,71,DM_WinterGiant.CastSoakDebuff.Damage.PrimaryAttributeCoefficient
CT_DungeonModifiers,72,DM_WinterGiant.CastSoakDebuff.Debuff.ArmorDecreasePerStack
CT_DungeonModifiers,73,DM_WinterGiant.CastSoakDebuff.Debuff.Duration
CT_DungeonModifiers,74,DM_WinterGiant.CastSoakDebuff.Debuff.MaxStacks
CT_DungeonModifiers,75,DM_WinterGiant.CastSoakDebuff.InitialMaxCooldown
CT_DungeonModifiers,76,DM_WinterGiant.CastSoakDebuff.InitialMinCooldown
CT_DungeonModifiers,77,DM_WinterGiant.CastSoakDebuff.MaxCooldown
CT_DungeonModifiers,78,DM_WinterGiant.CastSoakDebuff.MaxRange
CT_DungeonModifiers,79,DM_WinterGiant.CastSoakDebuff.MinCooldown
CT_DungeonModifiers,80,DM_WinterGiant.CastSoakDebuff.PostAbilityPadding
CT_DungeonModifiers,81,DM_WinterGiant.CastSoakDebuff.Soak.Radius
CT_DungeonModifiers,82,DM_WinterGiant.ChannelAoePullToSelf.CastingDuration
CT_DungeonModifiers,83,DM_WinterGiant.ChannelAoePullToSelf.ChannelingDuration
CT_DungeonModifiers,84,DM_WinterGiant.ChannelAoePullToSelf.ChannelingTickInterval
CT_DungeonModifiers,85,DM_WinterGiant.ChannelAoePullToSelf.DamageRadius
