name,rows_ordinal,encoding,x,value
CT_ArmorSetBonuses,0,dense,1.0,0.1
CT_ArmorSetBonuses,1,dense,1.0,0.1
CT_ArmorSetBonuses,2,dense,1.0,0.04
CT_ArmorSetBonuses,3,dense,1.0,0.04
CT_ArmorSetBonuses,4,dense,1.0,1.25
CT_ArmorSetBonuses,5,dense,1.0,0.04
CT_ArmorSetBonuses,6,dense,1.0,20.0
CT_ArmorSetBonuses,7,dense,1.0,5.0
CT_ArmorSetBonuses,8,dense,1.0,0.25
CT_ArmorSetBonuses,9,dense,1.0,0.8
CT_ArmorSetBonuses,10,dense,1.0,0.8
CT_ArmorSetBonuses,11,dense,1.0,1.2
CT_ArmorSetBonuses,12,dense,1.0,0.9
CT_ArmorSetBonuses,13,dense,1.0,1.03
CT_ArmorSetBonuses,14,dense,1.0,1.05
CT_ArmorSetBonuses,15,dense,1.0,1.15
CT_ArmorSetBonuses,16,dense,1.0,1.2
CT_ArmorSetBonuses,17,dense,1.0,180.0
CT_ArmorSetBonuses,18,dense,1.0,0.4
CT_ArmorSetBonuses,19,dense,1.0,0.2
CT_ArmorSetBonuses,20,dense,1.0,1.05
CT_ArmorSetBonuses,21,dense,1.0,14.0
CT_ArmorSetBonuses,22,dense,1.0,5.0
CT_ArmorSetBonuses,23,dense,1.0,1.0
CT_ArmorSetBonuses,24,dense,1.0,1.18
CT_ArmorSetBonuses,25,dense,1.0,0.15
CT_ArmorSetBonuses,26,dense,1.0,0.2
CT_ArmorSetBonuses,27,dense,1.0,0.2
CT_ArmorSetBonuses,28,dense,1.0,0.2
CT_ArmorSetBonuses,29,dense,1.0,0.04
CT_ArmorSetBonuses,30,dense,1.0,1.1
CT_ArmorSetBonuses,31,dense,1.0,0.85
CT_ArmorSetBonuses,32,dense,1.0,1.15
CT_DifficultyToItemRarity,0,keyframes,0.0,1.0
CT_DifficultyToItemRarity,0,keyframes,7.0,1.0
CT_DifficultyToItemRarity,0,keyframes,8.0,0.0
CT_DifficultyToItemRarity,0,keyframes,9.0,2.0
CT_DifficultyToItemRarity,0,keyframes,15.0,2.0
CT_DifficultyToItemRarity,0,keyframes,16.0,0.0
CT_DifficultyToItemRarity,0,keyframes,17.0,3.0
CT_DifficultyToItemRarity,0,keyframes,23.0,3.0
CT_DifficultyToItemRarity,0,keyframes,24.0,0.0
CT_DifficultyToItemRarity,0,keyframes,25.0,4.0
CT_DifficultyToItemRarity,0,keyframes,31.0,4.0
CT_DifficultyToItemRarity,0,keyframes,32.0,0.0
CT_DifficultyToItemRarity,0,keyframes,33.0,5.0
CT_DifficultyToItemRarity,0,keyframes,150.0,5.0
CT_DifficultyToItemRarity,1,keyframes,0.0,1.0
CT_DifficultyToItemRarity,1,keyframes,8.0,1.0
CT_DifficultyToItemRarity,1,keyframes,9.0,2.0
CT_DifficultyToItemRarity,1,keyframes,16.0,2.0
CT_DifficultyToItemRarity,1,keyframes,17.0,3.0
CT_DifficultyToItemRarity,1,keyframes,24.0,3.0
CT_DifficultyToItemRarity,1,keyframes,25.0,4.0
CT_DifficultyToItemRarity,1,keyframes,32.0,4.0
CT_DifficultyToItemRarity,1,keyframes,33.0,5.0
CT_DifficultyToItemRarity,1,keyframes,150.0,5.0
CT_DifficultyToItemRarity,2,keyframes,0.0,1.0
CT_DifficultyToItemRarity,2,keyframes,6.0,1.0
CT_DifficultyToItemRarity,2,keyframes,7.0,2.0
CT_DifficultyToItemRarity,2,keyframes,14.0,2.0
CT_DifficultyToItemRarity,2,keyframes,15.0,3.0
CT_DifficultyToItemRarity,2,keyframes,22.0,3.0
CT_DifficultyToItemRarity,2,keyframes,23.0,4.0
CT_DifficultyToItemRarity,2,keyframes,30.0,4.0
CT_DifficultyToItemRarity,2,keyframes,31.0,5.0
CT_DifficultyToItemRarity,2,keyframes,150.0,5.0
CT_DifficultyToItemRarity,3,keyframes,0.0,0.0
CT_DifficultyToItemRarity,3,keyframes,6.0,0.0
CT_DifficultyToItemRarity,3,keyframes,7.0,2.0
CT_DifficultyToItemRarity,3,keyframes,8.0,2.0
CT_DifficultyToItemRarity,3,keyframes,9.0,0.0
CT_DifficultyToItemRarity,3,keyframes,14.0,0.0
CT_DifficultyToItemRarity,3,keyframes,15.0,3.0
CT_DifficultyToItemRarity,3,keyframes,16.0,3.0
CT_DifficultyToItemRarity,3,keyframes,17.0,0.0
CT_DifficultyToItemRarity,3,keyframes,22.0,0.0
CT_DifficultyToItemRarity,3,keyframes,23.0,4.0
CT_DifficultyToItemRarity,3,keyframes,24.0,4.0
CT_DifficultyToItemRarity,3,keyframes,25.0,0.0
CT_DifficultyToItemRarity,3,keyframes,30.0,0.0
CT_DifficultyToItemRarity,3,keyframes,31.0,5.0
CT_DifficultyToItemRarity,3,keyframes,150.0,5.0
CT_DifficultyToItemRarity,4,keyframes,0.0,0.0
CT_DifficultyToItemRarity,4,keyframes,6.0,0.0
CT_DifficultyToItemRarity,4,keyframes,7.0,2.0
CT_DifficultyToItemRarity,4,keyframes,8.0,0.0
CT_DifficultyToItemRarity,4,keyframes,14.0,0.0
CT_DifficultyToItemRarity,4,keyframes,15.0,3.0
CT_DifficultyToItemRarity,4,keyframes,16.0,0.0
CT_DifficultyToItemRarity,4,keyframes,22.0,0.0
CT_DifficultyToItemRarity,4,keyframes,23.0,4.0
CT_DifficultyToItemRarity,4,keyframes,24.0,0.0
CT_DifficultyToItemRarity,4,keyframes,30.0,0.0
CT_DifficultyToItemRarity,4,keyframes,31.0,5.0
CT_DifficultyToItemRarity,4,keyframes,32.0,0.0
CT_DifficultyToItemRarity,4,keyframes,33.0,5.0
CT_DifficultyToItemRarity,4,keyframes,150.0,5.0
CT_DifficultyToItemRarity,5,keyframes,0.0,1.0
CT_DifficultyToItemRarity,5,keyframes,7.0,1.0
CT_DifficultyToItemRarity,5,keyframes,8.0,0.0
CT_DifficultyToItemRarity,5,keyframes,9.0,2.0
CT_DifficultyToItemRarity,5,keyframes,15.0,2.0
CT_DifficultyToItemRarity,5,keyframes,16.0,0.0
CT_DifficultyToItemRarity,5,keyframes,17.0,3.0
CT_DifficultyToItemRarity,5,keyframes,23.0,3.0
CT_DifficultyToItemRarity,5,keyframes,24.0,0.0
CT_DifficultyToItemRarity,5,keyframes,25.0,4.0
CT_DifficultyToItemRarity,5,keyframes,31.0,4.0
CT_DifficultyToItemRarity,5,keyframes,32.0,0.0
CT_DifficultyToItemRarity,5,keyframes,33.0,5.0
CT_DifficultyToItemRarity,5,keyframes,150.0,5.0
CT_DungeonDifficultyToCurrencyDrop,0,keyframes,0.0,12.0
CT_DungeonDifficultyToCurrencyDrop,0,keyframes,1.0,19.0
CT_DungeonDifficultyToCurrencyDrop,0,keyframes,2.0,23.0
CT_DungeonDifficultyToCurrencyDrop,0,keyframes,4.0,33.0
CT_DungeonDifficultyToCurrencyDrop,0,keyframes,6.0,41.0
CT_DungeonDifficultyToCurrencyDrop,0,keyframes,8.0,51.0
CT_DungeonDifficultyToCurrencyDrop,0,keyframes,9.0,57.0
CT_DungeonDifficultyToCurrencyDrop,0,keyframes,10.0,62.0
CT_DungeonDifficultyToCurrencyDrop,0,keyframes,12.0,76.0
CT_DungeonDifficultyToCurrencyDrop,0,keyframes,13.0,82.0
CT_DungeonDifficultyToCurrencyDrop,0,keyframes,14.0,89.0
CT_DungeonDifficultyToCurrencyDrop,0,keyframes,15.0,98.0
CT_DungeonDifficultyToCurrencyDrop,0,keyframes,16.0,105.0
CT_DungeonDifficultyToCurrencyDrop,0,keyframes,17.0,113.0
CT_DungeonDifficultyToCurrencyDrop,0,keyframes,18.0,123.0
CT_DungeonDifficultyToCurrencyDrop,0,keyframes,19.0,131.0
CT_DungeonDifficultyToCurrencyDrop,0,keyframes,20.0,142.0
CT_DungeonDifficultyToCurrencyDrop,0,keyframes,21.0,145.0
CT_DungeonDifficultyToCurrencyDrop,0,keyframes,30.0,280.0
CT_DungeonDifficultyToCurrencyDrop,0,keyframes,40.0,560.0
CT_DungeonDifficultyToCurrencyDrop,0,keyframes,60.0,1680.0
CT_DungeonDifficultyToCurrencyDrop,0,keyframes,150.0,2670.0
CT_DungeonDifficultyToCurrencyDrop,1,keyframes,0.0,2.0
CT_DungeonDifficultyToCurrencyDrop,1,keyframes,18.0,2.0
CT_DungeonDifficultyToCurrencyDrop,1,keyframes,19.0,3.0
CT_DungeonDifficultyToCurrencyDrop,1,keyframes,24.0,3.0
CT_DungeonDifficultyToCurrencyDrop,1,keyframes,25.0,4.0
CT_DungeonDifficultyToCurrencyDrop,1,keyframes,29.0,4.0
CT_DungeonDifficultyToCurrencyDrop,1,keyframes,30.0,6.0
CT_DungeonDifficultyToCurrencyDrop,1,keyframes,39.0,6.0
CT_DungeonDifficultyToCurrencyDrop,1,keyframes,40.0,8.0
CT_DungeonDifficultyToCurrencyDrop,1,keyframes,49.0,8.0
CT_DungeonDifficultyToCurrencyDrop,1,keyframes,50.0,10.0
CT_DungeonDifficultyToCurrencyDrop,1,keyframes,59.0,10.0
CT_DungeonDifficultyToCurrencyDrop,1,keyframes,60.0,12.0
CT_DungeonDifficultyToCurrencyDrop,1,keyframes,69.0,12.0
CT_DungeonDifficultyToCurrencyDrop,1,keyframes,70.0,14.0
CT_DungeonDifficultyToCurrencyDrop,1,keyframes,150.0,14.0
CT_DungeonDifficultyToCurrencyDrop,2,keyframes,0.0,0.0
CT_DungeonDifficultyToCurrencyDrop,2,keyframes,3.0,0.0
CT_DungeonDifficultyToCurrencyDrop,2,keyframes,4.0,1.0
CT_DungeonDifficultyToCurrencyDrop,2,keyframes,6.0,1.0
CT_DungeonDifficultyToCurrencyDrop,2,keyframes,8.0,3.0
CT_DungeonDifficultyToCurrencyDrop,2,keyframes,9.0,3.0
CT_DungeonDifficultyToCurrencyDrop,2,keyframes,10.0,4.0
CT_DungeonDifficultyToCurrencyDrop,2,keyframes,11.0,4.0
CT_DungeonDifficultyToCurrencyDrop,2,keyframes,13.0,6.0
CT_DungeonDifficultyToCurrencyDrop,2,keyframes,14.0,6.0
CT_DungeonDifficultyToCurrencyDrop,2,keyframes,15.0,7.0
CT_DungeonDifficultyToCurrencyDrop,2,keyframes,16.0,7.0
CT_DungeonDifficultyToCurrencyDrop,2,keyframes,21.0,12.0
CT_DungeonDifficultyToCurrencyDrop,2,keyframes,29.0,12.0
CT_DungeonDifficultyToCurrencyDrop,2,keyframes,30.0,13.0
CT_DungeonDifficultyToCurrencyDrop,2,keyframes,39.0,13.0
CT_DungeonDifficultyToCurrencyDrop,2,keyframes,40.0,14.0
CT_DungeonDifficultyToCurrencyDrop,2,keyframes,49.0,14.0
CT_DungeonDifficultyToCurrencyDrop,2,keyframes,50.0,15.0
CT_DungeonDifficultyToCurrencyDrop,2,keyframes,59.0,15.0
CT_DungeonDifficultyToCurrencyDrop,2,keyframes,60.0,16.0
CT_DungeonDifficultyToCurrencyDrop,2,keyframes,69.0,16.0
CT_DungeonDifficultyToCurrencyDrop,2,keyframes,70.0,17.0
CT_DungeonDifficultyToCurrencyDrop,2,keyframes,150.0,17.0
CT_DungeonDifficultyToCurrencyDrop,3,keyframes,0.0,0.0
CT_DungeonDifficultyToCurrencyDrop,3,keyframes,8.0,0.0
CT_DungeonDifficultyToCurrencyDrop,3,keyframes,9.0,1.0
CT_DungeonDifficultyToCurrencyDrop,3,keyframes,11.0,1.0
CT_DungeonDifficultyToCurrencyDrop,3,keyframes,13.0,3.0
CT_DungeonDifficultyToCurrencyDrop,3,keyframes,14.0,3.0
CT_DungeonDifficultyToCurrencyDrop,3,keyframes,15.0,4.0
CT_DungeonDifficultyToCurrencyDrop,3,keyframes,16.0,4.0
CT_DungeonDifficultyToCurrencyDrop,3,keyframes,18.0,6.0
CT_DungeonDifficultyToCurrencyDrop,3,keyframes,19.0,6.0
CT_DungeonDifficultyToCurrencyDrop,3,keyframes,21.0,8.0
CT_DungeonDifficultyToCurrencyDrop,3,keyframes,39.0,8.0
CT_DungeonDifficultyToCurrencyDrop,3,keyframes,40.0,9.0
CT_DungeonDifficultyToCurrencyDrop,3,keyframes,49.0,9.0
CT_DungeonDifficultyToCurrencyDrop,3,keyframes,50.0,10.0
CT_DungeonDifficultyToCurrencyDrop,3,keyframes,59.0,10.0
CT_DungeonDifficultyToCurrencyDrop,3,keyframes,60.0,11.0
CT_DungeonDifficultyToCurrencyDrop,3,keyframes,69.0,11.0
CT_DungeonDifficultyToCurrencyDrop,3,keyframes,70.0,12.0
CT_DungeonDifficultyToCurrencyDrop,3,keyframes,150.0,12.0
CT_DungeonDifficultyToCurrencyDrop,4,keyframes,0.0,4.0
CT_DungeonDifficultyToCurrencyDrop,4,keyframes,24.0,4.0
CT_DungeonDifficultyToCurrencyDrop,4,keyframes,25.0,5.0
CT_DungeonDifficultyToCurrencyDrop,4,keyframes,29.0,5.0
CT_DungeonDifficultyToCurrencyDrop,4,keyframes,30.0,6.0
CT_DungeonDifficultyToCurrencyDrop,4,keyframes,39.0,6.0
CT_DungeonDifficultyToCurrencyDrop,4,keyframes,40.0,8.0
CT_DungeonDifficultyToCurrencyDrop,4,keyframes,49.0,8.0
CT_DungeonDifficultyToCurrencyDrop,4,keyframes,50.0,10.0
CT_DungeonDifficultyToCurrencyDrop,4,keyframes,59.0,10.0
CT_DungeonDifficultyToCurrencyDrop,4,keyframes,60.0,12.0
CT_DungeonDifficultyToCurrencyDrop,4,keyframes,69.0,12.0
CT_DungeonDifficultyToCurrencyDrop,4,keyframes,70.0,14.0
CT_DungeonDifficultyToCurrencyDrop,4,keyframes,150.0,14.0
CT_DungeonDifficultyToDropItemLevel,0,keyframes,0.0,15.0
CT_DungeonDifficultyToDropItemLevel,0,keyframes,3.0,60.0
CT_DungeonDifficultyToDropItemLevel,0,keyframes,4.0,90.0
CT_DungeonDifficultyToDropItemLevel,0,keyframes,5.0,90.0
CT_DungeonDifficultyToDropItemLevel,0,keyframes,8.0,135.0
CT_DungeonDifficultyToDropItemLevel,0,keyframes,9.0,165.0
CT_DungeonDifficultyToDropItemLevel,0,keyframes,10.0,165.0
CT_DungeonDifficultyToDropItemLevel,0,keyframes,13.0,210.0
CT_DungeonDifficultyToDropItemLevel,0,keyframes,14.0,240.0
CT_DungeonDifficultyToDropItemLevel,0,keyframes,15.0,240.0
CT_DungeonDifficultyToDropItemLevel,0,keyframes,18.0,285.0
CT_DungeonDifficultyToDropItemLevel,0,keyframes,19.0,315.0
CT_DungeonDifficultyToDropItemLevel,0,keyframes,150.0,315.0
