id,enemy_placements_ordinal,character_id,name,category,kill_score,x,y,z
CrystalMines,0,CM_BlackburnMantrader,Blackburn Mantrader,Enemy,4.0,22374.0,20450.0,1960.0
CrystalMines,1,CM_BlackburnMantrader,Blackburn Mantrader,Enemy,4.0,29313.0,17450.0,656.0
CrystalMines,2,CM_BlackburnMantrader,Blackburn Mantrader,Enemy,4.0,28680.0,25073.0,974.0
CrystalMines,3,CM_BlackburnMantrader,Blackburn Mantrader,Enemy,4.0,32774.0,16320.0,357.0
CrystalMines,4,CM_ChargedConstruct,Fractal Golem,Enemy,3.0,97325.0,13896.0,-5198.0
CrystalMines,5,CM_ChargedConstruct,Fractal Golem,Enemy,3.0,104409.0,19432.0,-6767.0
CrystalMines,6,CM_ChargedConstruct,Fractal Golem,Enemy,3.0,99353.0,10777.0,-5338.0
CrystalMines,7,CM_ChargedConstruct,Fractal Golem,Enemy,3.0,105939.0,20572.0,-6767.0
CrystalMines,8,CM_ChargedConstruct,Fractal Golem,Enemy,3.0,94844.0,11384.0,-5409.0
CrystalMines,9,CM_ChargedConstruct,Fractal Golem,Enemy,3.0,94677.0,20353.0,-4065.0
CrystalMines,10,CM_ChargedConstruct,Fractal Golem,Enemy,3.0,104119.0,19262.0,-6767.0
CrystalMines,11,CM_ChargedConstruct,Fractal Golem,Enemy,3.0,99593.0,11117.0,-5338.0
CrystalMines,12,CM_ChargedConstruct,Fractal Golem,Enemy,3.0,101646.0,20520.0,-5369.0
CrystalMines,13,CM_ChargedConstruct,Fractal Golem,Enemy,3.0,96164.0,8747.0,-5447.0
CrystalMines,14,CM_ChargedConstruct,Fractal Golem,Enemy,3.0,94967.0,20683.0,-4065.0
CrystalMines,15,CM_VolatileConstruct,Volatile Rubilite,Elite,2.0,97898.0,12053.0,-5438.0
CrystalMines,16,CM_VolatileConstruct,Volatile Rubilite,Elite,2.0,101904.0,16159.0,-6803.0
CrystalMines,17,CM_VolatileConstruct,Volatile Rubilite,Elite,2.0,103557.0,16190.0,-6803.0
CrystalMines,18,CM_VolatileConstruct,Volatile Rubilite,Elite,2.0,102895.0,15859.0,-6803.0
CrystalMines,19,CM_VolatileConstruct,Volatile Rubilite,Elite,2.0,102348.0,17233.0,-6790.0
CrystalMines,20,CM_VolatileConstruct,Volatile Rubilite,Elite,2.0,101302.0,20623.0,-5369.0
CrystalMines,21,CM_VolatileConstruct,Volatile Rubilite,Elite,2.0,95716.0,9102.0,-5447.0
CrystalMines,22,CM_VolatileConstruct,Volatile Rubilite,Elite,2.0,103400.0,17113.0,-6803.0
CrystalMines,23,CM_VolatileConstruct,Volatile Rubilite,Elite,2.0,98082.0,12551.0,-5387.0
CrystalMines,24,CM_VolatileConstruct,Volatile Rubilite,Elite,2.0,105191.0,11891.0,-6767.0
CrystalMines,25,CM_VolatileConstruct,Volatile Rubilite,Elite,2.0,104922.0,11996.0,-6767.0
CrystalMines,26,CM_VolatileConstruct,Volatile Rubilite,Elite,2.0,105517.0,20459.0,-6767.0
CrystalMines,27,CM_VolatileConstruct,Volatile Rubilite,Elite,2.0,106275.0,20165.0,-6767.0
CrystalMines,28,CM_VolatileConstruct,Volatile Rubilite,Elite,2.0,101543.0,20088.0,-5369.0
CrystalMines,29,CM_VolatileConstruct,Volatile Rubilite,Elite,2.0,105629.0,18313.0,-6767.0
CrystalMines,30,CM_VolatileConstruct,Volatile Rubilite,Elite,2.0,105917.0,18567.0,-6767.0
CrystalMines,31,CM_VolatileConstruct,Volatile Rubilite,Elite,2.0,95748.0,18624.0,-4225.0
CrystalMines,32,CM_VolatileConstruct,Volatile Rubilite,Elite,2.0,96042.0,18854.0,-4233.0
CrystalMines,33,CM_VolatileConstruct,Volatile Rubilite,Elite,2.0,94724.0,11697.0,-5368.0
CrystalMines,34,CM_VolatileConstruct,Volatile Rubilite,Elite,2.0,94460.0,11359.0,-5298.0
CrystalMines,35,CM_VolatileConstruct,Volatile Rubilite,Elite,2.0,95741.0,19286.0,-4220.0
CrystalMines,36,CM_VolatileConstruct,Volatile Rubilite,Elite,2.0,98436.0,12438.0,-5374.0
CrystalMines,37,CM_EarthElemental,Enraged Earth Elemental,Elite,7.0,65142.0,1383.0,-2931.0
CrystalMines,38,CM_ElfWarden,Arcane Warden,Elite,4.0,63330.0,9768.0,-1739.0
CrystalMines,39,CM_ElfWarden,Arcane Warden,Elite,4.0,65759.0,19239.0,-2876.0
CrystalMines,40,CM_ElfWarden,Arcane Warden,Elite,4.0,60010.0,5678.0,-2401.0
CrystalMines,41,CM_ElfWarden,Arcane Warden,Elite,4.0,74520.0,8086.0,-3124.0
CrystalMines,42,CM_ElfWarden,Arcane Warden,Elite,4.0,74290.0,7766.0,-3148.0
CrystalMines,43,CM_ElfWarden,Arcane Warden,Elite,4.0,74190.0,11126.0,-2968.0
CrystalMines,44,CM_ElfWarden,Arcane Warden,Elite,4.0,74480.0,10986.0,-2971.0
CrystalMines,45,CM_ElfWarden,Arcane Warden,Elite,4.0,70666.0,4444.0,-2938.0
CrystalMines,46,CM_ElfWarden,Arcane Warden,Elite,4.0,78547.0,11291.0,-2999.0
CrystalMines,47,CM_ElfWarden,Arcane Warden,Elite,4.0,69056.0,15080.0,-2405.0
CrystalMines,48,CM_ElfWarden,Arcane Warden,Elite,4.0,68890.0,14879.0,-2405.0
CrystalMines,49,CM_ElfWarden,Arcane Warden,Elite,4.0,65783.0,17166.0,-2798.0
CrystalMines,50,CM_ElfWarden,Arcane Warden,Elite,4.0,68486.0,3321.0,-2727.0
CrystalMines,51,CM_ElfEnforcer,Enforcer,Elite,5.0,37028.0,23141.0,496.0
CrystalMines,52,CM_ElfEnforcer,Enforcer,Elite,5.0,36484.0,15265.0,-7.0
CrystalMines,53,CM_ElfEnforcer,Enforcer,Elite,5.0,32895.0,28363.0,923.0
CrystalMines,54,CM_ElfEnforcer,Enforcer,Elite,5.0,30365.0,28893.0,923.0
CrystalMines,55,CM_ElfEnforcer,Enforcer,Elite,5.0,63818.0,4691.0,-3034.0
CrystalMines,56,CM_ElfEnforcer,Enforcer,Elite,5.0,70949.0,4242.0,-3052.0
CrystalMines,57,CM_ElfEnforcer,Enforcer,Elite,5.0,37017.0,23682.0,496.0
CrystalMines,58,CM_ElfEnforcer,Enforcer,Elite,5.0,33317.0,16493.0,437.0
CrystalMines,59,CM_ElfEnforcer,Enforcer,Elite,5.0,68820.0,9550.0,-2189.0
CrystalMines,60,CM_ElfEnforcer,Enforcer,Elite,5.0,67127.0,7204.0,-2199.0
CrystalMines,61,CM_ElfGoon,Dredge,Enemy,1.0,24294.0,19401.0,1943.0
CrystalMines,62,CM_ElfGoon,Dredge,Enemy,1.0,21299.0,15511.0,2475.0
CrystalMines,63,CM_ElfGoon,Dredge,Enemy,1.0,21089.0,18451.0,2154.0
CrystalMines,64,CM_ElfGoon,Dredge,Enemy,1.0,20509.0,15981.0,2475.0
CrystalMines,65,CM_ElfGoon,Dredge,Enemy,1.0,21053.0,15310.0,2475.0
CrystalMines,66,CM_ElfGoon,Dredge,Enemy,1.0,20888.0,18697.0,2218.0
CrystalMines,67,CM_ElfGoon,Dredge,Enemy,1.0,24490.0,19109.0,1950.0
CrystalMines,68,CM_ElfGoon,Dredge,Enemy,1.0,24444.0,19583.0,1975.0
CrystalMines,69,CM_ElfGoon,Dredge,Enemy,1.0,59587.0,17500.0,-2281.0
CrystalMines,70,CM_ElfGoon,Dredge,Enemy,1.0,73360.0,2740.0,-3002.0
CrystalMines,71,CM_ElfGoon,Dredge,Enemy,1.0,28724.0,25379.0,996.0
