name,effect_count,unresolved_reason,capture_gap,provenance_origin,provenance_dev_name,provenance_source,provenance_source_authority
CRAgilityDamageCalculation,55,,,datamine,,,producer_bound
CRCancelAbilitiesBlockedByIncite,1,,,datamine,,,producer_bound
CRCancelAbilitiesBlockedByThisEffectsParentExecution,1,,,datamine,,,producer_bound
CRCancelAbilitiesWithTagsExecution,1,,,datamine,,,producer_bound
CRDispelActiveEffectsBlockedByThisEffectsParentExecution,1,,,datamine,,,producer_bound
CRDispelActiveEffectsWithTagsExecution,5,,,datamine,,,producer_bound
CRInstantGuaranteedKillExecution,2,,,datamine,,,producer_bound
CRIntellectDamageCalculation,225,,,datamine,,,producer_bound
CRIntellectHealCalculation,24,,,datamine,,,producer_bound
CRManaGainCalculation,2,,,datamine,,,producer_bound
CRModifyStaggerExecution,4,,,datamine,,,producer_bound
CRPrimaryAttributeDamageCalculation,99,,,datamine,,,producer_bound
CRPrimaryAttributeHealCalculation,10,,registration_unresolved: class_name_reference_count_not_one,datamine,,,producer_bound
CRRemoveAllGeneratedThreatExecution,1,,,datamine,,,producer_bound
CRReviveCharacterExecution,2,,,datamine,,,producer_bound
CRScaleAllThreatExecution,2,,,datamine,,,producer_bound
CRSendSignalToGrantedAbilityExecution,3,,,datamine,,,producer_bound
CRSendSignalToSourceAbilityExecution,21,,,datamine,,,producer_bound
CRStrengthDamageCalculation,602,,,datamine,,,producer_bound
CRStrengthHealCalculation,4,,,datamine,,,producer_bound
CRUserDefinedDamageCalculation,87,,,datamine,,,producer_bound
CRUserDefinedHealCalculation,62,,,datamine,,,producer_bound
