name,captures_ordinal,attribute,source_or_target
CRAgilityDamageCalculation,0,Agility,Source
CRAgilityDamageCalculation,1,AoeIncomingDamageMultiplier,Target
CRAgilityDamageCalculation,2,Armor,Target
CRAgilityDamageCalculation,3,Avoidance,Target
CRAgilityDamageCalculation,4,BlockChance,Target
CRAgilityDamageCalculation,5,BlockDamageReductionFlat,Target
CRAgilityDamageCalculation,6,BlockDamageReductionMultiplier,Target
CRAgilityDamageCalculation,7,CritChance,Source
CRAgilityDamageCalculation,8,CritMultiplier,Source
CRAgilityDamageCalculation,9,DamageMitigationScale,Target
CRAgilityDamageCalculation,10,DamageScale,Source
CRAgilityDamageCalculation,11,DamageThreatMultiplier,Source
CRAgilityDamageCalculation,12,DifficultyDamageScale,Source
CRAgilityDamageCalculation,13,DodgeChance,Target
CRAgilityDamageCalculation,14,Expertise,Source
CRAgilityDamageCalculation,15,IncomingDamageMultiplier,Target
CRAgilityDamageCalculation,16,LifeSteal,Source
CRAgilityDamageCalculation,17,MagicDamageReduction,Target
CRAgilityDamageCalculation,18,MagicalIncomingDamageMultiplier,Target
CRAgilityDamageCalculation,19,ParryChance,Target
CRAgilityDamageCalculation,20,PhysicalDamageReduction,Target
CRAgilityDamageCalculation,21,PhysicalIncomingDamageMultiplier,Target
CRAgilityDamageCalculation,22,SourceDamageReflect,Source
CRAgilityDamageCalculation,23,TargetDamageReflect,Target
CRIntellectDamageCalculation,0,AoeIncomingDamageMultiplier,Target
CRIntellectDamageCalculation,1,Armor,Target
CRIntellectDamageCalculation,2,Avoidance,Target
CRIntellectDamageCalculation,3,BlockChance,Target
CRIntellectDamageCalculation,4,BlockDamageReductionFlat,Target
CRIntellectDamageCalculation,5,BlockDamageReductionMultiplier,Target
CRIntellectDamageCalculation,6,CritChance,Source
CRIntellectDamageCalculation,7,CritMultiplier,Source
CRIntellectDamageCalculation,8,DamageMitigationScale,Target
CRIntellectDamageCalculation,9,DamageScale,Source
CRIntellectDamageCalculation,10,DamageThreatMultiplier,Source
CRIntellectDamageCalculation,11,DifficultyDamageScale,Source
CRIntellectDamageCalculation,12,DodgeChance,Target
CRIntellectDamageCalculation,13,Expertise,Source
CRIntellectDamageCalculation,14,IncomingDamageMultiplier,Target
CRIntellectDamageCalculation,15,Intellect,Source
CRIntellectDamageCalculation,16,LifeSteal,Source
CRIntellectDamageCalculation,17,MagicDamageReduction,Target
CRIntellectDamageCalculation,18,MagicalIncomingDamageMultiplier,Target
CRIntellectDamageCalculation,19,ParryChance,Target
CRIntellectDamageCalculation,20,PhysicalDamageReduction,Target
