name,definitions_ordinal,calculation_modifiers_ordinal,ordinal,aggregator_kind,captured_attribute,captured_source_or_target,captured_snapshot,transient_identifier,operation,magnitude_kind,magnitude_backing_attribute,magnitude_backing_source_or_target,magnitude_backing_snapshot,magnitude_attribute_curve_table,magnitude_attribute_curve_row,magnitude_attribute_calculation_type,magnitude_final_channel,magnitude_calculation_class,magnitude_final_lookup_curve_table,magnitude_final_lookup_curve_row,magnitude_data_name,magnitude_data_tag,evaluation_channel,source_query_token_stream_version,source_query_token_stream,source_query_user_description,source_query_auto_description,target_query_token_stream_version,target_query_token_stream,target_query_user_description,target_query_auto_description
CRAgilityDamageCalculation,0,0,0,captured_attribute,Agility,Source,true,,Multiplicitive,scalable_float,,,,,,,,,,,,,Channel0,0,,,,0,,,
CRAgilityDamageCalculation,0,1,1,captured_attribute,DamageScale,Source,true,,MultiplyCompound,set_by_caller,,,,,,,,,,,,SetByCaller.DamageScale,Channel0,0,,,,0,,,
CRAgilityDamageCalculation,0,2,2,captured_attribute,DamageScale,Source,true,,MultiplyCompound,set_by_caller,,,,,,,,,,,,SetByCaller.DamageScale2,Channel0,0,,,,0,,,
CRAgilityDamageCalculation,0,3,3,captured_attribute,DamageScale,Source,true,,MultiplyCompound,custom_calculation,,,,,,,,GMMC_Bowguy_Talent_ChanneledMultiProjectileDebuff_IncomingDamage_Scale,,,,,Channel0,0,,,,0,,,
CRAgilityDamageCalculation,1,0,0,captured_attribute,Agility,Source,true,,Multiplicitive,scalable_float,,,,,,,,,,,,,Channel0,0,,,,0,,,
CRAgilityDamageCalculation,1,1,1,captured_attribute,DamageScale,Source,true,,MultiplyCompound,set_by_caller,,,,,,,,,,,,SetByCaller.DamageScale,Channel0,0,,,,0,,,
CRAgilityDamageCalculation,1,2,2,captured_attribute,DamageScale,Source,true,,MultiplyCompound,set_by_caller,,,,,,,,,,,,SetByCaller.DamageScale2,Channel0,0,,,,0,,,
CRAgilityDamageCalculation,1,3,3,captured_attribute,DamageScale,Source,true,,MultiplyCompound,custom_calculation,,,,,,,,GMMC_Bowguy_Talent_ChanneledMultiProjectileDebuff_IncomingDamage_Scale,,,,,Channel0,0,,,,0,,,
CRAgilityDamageCalculation,1,4,4,captured_attribute,DamageScale,Source,true,,MultiplyCompound,scalable_float,,,,,,,,,,,,,Channel0,0,,,,0,,,
CRAgilityDamageCalculation,1,5,5,captured_attribute,DamageScale,Source,true,,MultiplyCompound,scalable_float,,,,,,,,,,,,,Channel0,0,,,,0,,,
CRAgilityDamageCalculation,2,0,0,captured_attribute,Agility,Source,true,,Multiplicitive,scalable_float,,,,,,,,,,,,,Channel0,0,,,,0,,,
CRAgilityDamageCalculation,2,1,1,captured_attribute,DamageScale,Source,true,,Multiplicitive,set_by_caller,,,,,,,,,,,,SetByCaller.DamageScale,Channel0,0,,,,0,,,
CRAgilityDamageCalculation,3,0,0,captured_attribute,Agility,Source,true,,Multiplicitive,scalable_float,,,,,,,,,,,,,Channel0,0,,,,0,,,
CRAgilityDamageCalculation,3,1,1,captured_attribute,DamageScale,Source,true,,MultiplyCompound,scalable_float,,,,,,,,,,,,,Channel0,0,,,,0,,,
CRAgilityDamageCalculation,4,0,0,captured_attribute,Agility,Source,true,,Multiplicitive,scalable_float,,,,,,,,,,,,,Channel0,0,,,,0,,,
CRAgilityDamageCalculation,4,1,1,captured_attribute,DamageScale,Source,true,,MultiplyCompound,set_by_caller,,,,,,,,,,,,SetByCaller.DamageScale,Channel0,0,,,,0,,,
CRAgilityDamageCalculation,4,2,2,captured_attribute,DamageScale,Source,true,,Multiplicitive,scalable_float,,,,,,,,,,,,,Channel0,0,,,,0,,,
CRAgilityDamageCalculation,4,3,3,captured_attribute,DamageScale,Source,true,,MultiplyCompound,set_by_caller,,,,,,,,,,,,SetByCaller.Talent.DamageScale,Channel0,0,,,,0,,,
CRAgilityDamageCalculation,4,4,4,captured_attribute,CritChance,Source,true,,Additive,set_by_caller,,,,,,,,,,,,SetByCaller.CritChance,Channel0,0,,,,0,,,
CRAgilityDamageCalculation,5,0,0,captured_attribute,Agility,Source,true,,Multiplicitive,scalable_float,,,,,,,,,,,,,Channel0,0,,,,0,,,
CRAgilityDamageCalculation,5,1,1,captured_attribute,DamageScale,Source,true,,MultiplyCompound,set_by_caller,,,,,,,,,,,,SetByCaller.DamageScale,Channel0,0,,,,0,,,
CRAgilityDamageCalculation,5,2,2,captured_attribute,DamageScale,Source,true,,MultiplyCompound,set_by_caller,,,,,,,,,,,,SetByCaller.DamageScale3,Channel0,0,,,,0,,,
CRAgilityDamageCalculation,5,3,3,captured_attribute,CritChance,Source,true,,Additive,scalable_float,,,,,,,,,,,,,Channel0,0,,,,0,,,
CRAgilityDamageCalculation,6,0,0,captured_attribute,Agility,Source,true,,Multiplicitive,scalable_float,,,,,,,,,,,,,Channel0,0,,,,0,,,
