name,definitions_ordinal,calculation_modifiers_ordinal,magnitude_scalars_ordinal,role,value,curve_table,curve_row,registry_type
CRAgilityDamageCalculation,0,0,0,magnitude,1.0,,Bowguy.AoeProjectileDamage.AgilityCoefficient,AbilityConstants
CRAgilityDamageCalculation,0,3,0,coefficient,1.0,,,
CRAgilityDamageCalculation,0,3,1,pre_multiply_additive,0.0,,,
CRAgilityDamageCalculation,0,3,2,post_multiply_additive,0.0,,,
CRAgilityDamageCalculation,1,0,0,magnitude,1.0,,Bowguy.AoeProjectileDamage.AgilityCoefficient,AbilityConstants
CRAgilityDamageCalculation,1,3,0,coefficient,1.0,,,
CRAgilityDamageCalculation,1,3,1,pre_multiply_additive,0.0,,,
CRAgilityDamageCalculation,1,3,2,post_multiply_additive,0.0,,,
CRAgilityDamageCalculation,1,4,0,magnitude,1.0,,Bowguy.CastedProjectileDamage.Talent.AoeProjectileDamageEmpowered.DamageBonus,AbilityConstants
CRAgilityDamageCalculation,1,5,0,magnitude,1.0,,Bowguy.SelfBuffForAoeProjectile.Talent.ChargesCooldownAndDuration.DamageBonus,AbilityConstants
CRAgilityDamageCalculation,2,0,0,magnitude,1.0,,Bowguy.CastedBouncyProjectileDamage.AgilityCoefficient,AbilityConstants
CRAgilityDamageCalculation,3,0,0,magnitude,1.0,,Bowguy.CastedProjectileDamage.AgilityCoefficient,AbilityConstants
CRAgilityDamageCalculation,3,1,0,magnitude,1.0,,Bowguy.CastedProjectileDamage.Talent.Enhanced.DamageScaler,AbilityConstants
CRAgilityDamageCalculation,4,0,0,magnitude,1.0,,Bowguy.CastedProjectileHeavyDamage.AgilityCoefficient,AbilityConstants
CRAgilityDamageCalculation,4,2,0,magnitude,1.0,,Bowguy.CastedProjectileHeavyDamage.Talent.StacksMoreDamageAndBounces.DamageMultiplier,AbilityConstants
CRAgilityDamageCalculation,5,0,0,magnitude,1.0,,Bowguy.ChanneledMultiProjectileDebuff.AgilityCoefficient,AbilityConstants
