name,definitions_ordinal,calculation_modifiers_ordinal,ordinal,value
CRAgilityDamageCalculation,16,4,0,CustomAssetTags.Mara.CopyCharacterDamage.OtherSource.Damage
CRAgilityDamageCalculation,16,7,0,CustomAssetTags.Mara.CopyCharacterDamage.OtherSource.Damage
CRAgilityDamageCalculation,24,4,0,CustomAssetTags.Mara.CopyCharacterDamage.OtherSource.Damage
CRAgilityDamageCalculation,24,6,0,CustomAssetTags.Mara.CopyCharacterDamage.OtherSource.Damage
CRAgilityDamageCalculation,24,6,1,CustomAssetTags.Mara.CopyCharacterDamage.Damage
CRAgilityDamageCalculation,24,8,0,CustomAssetTags.Mara.CopyCharacterDamage.OtherSource.Damage
CRIntellectDamageCalculation,207,1,0,CustomGrantedTags.VV.BossFrostTroll.Kaldurson.IceSonAlive
CRIntellectDamageCalculation,208,1,0,CustomGrantedTags.VV.BossFrostTroll.Kaldurson.FireSonAlive
CRIntellectDamageCalculation,209,1,0,CustomGrantedTags.VV.BossFrostTroll.Kaldurson.IceSonAlive
CRIntellectHealCalculation,20,2,0,EffectStatus.Vigor.PartyHealAndSelfBuff
CRStrengthDamageCalculation,202,3,0,CustomGrantedTags.Ink.SwingTimer.InHitWindow
CRStrengthDamageCalculation,203,4,0,CustomGrantedTags.Ink.SwingTimer.InHitWindow
CRStrengthDamageCalculation,204,2,0,CustomGrantedTags.Ink.SwingTimer.InHitWindow
CRStrengthDamageCalculation,214,2,0,CustomGrantedTags.Ink.SecondChanceSingleTargetAttack
CRUserDefinedDamageCalculation,24,2,0,Talents.Firemage.IncreasedDotCritChance
CRUserDefinedDamageCalculation,25,1,0,Talents.Firemage.IncreasedDotCritChance
CRUserDefinedDamageCalculation,26,1,0,Talents.Firemage.IncreasedDotCritChance
CRUserDefinedDamageCalculation,27,1,0,Talents.Firemage.IncreasedDotCritChance
CRUserDefinedHealCalculation,58,0,0,Talents.Firemage.IncreasedDotCritChance
