name,definitions_ordinal,calculation_modifiers_ordinal,ordinal,value
CRAgilityDamageCalculation,1,4,0,Talents.Bowguy.CastedProjectileDamage.AoeProjectileDamageEmpowered
CRAgilityDamageCalculation,1,5,0,CustomGrantedTags.Bowguy.SelfBuffForAoeProjectile
CRAgilityDamageCalculation,1,5,1,Talents.Bowguy.SelfBuffForAoeProjectile.ChargesCooldownAndDuration
CRAgilityDamageCalculation,3,1,0,Talents.Bowguy.CastedProjectileDamage.Enhanced
CRAgilityDamageCalculation,4,2,0,CustomGrantedTags.Bowguy.Talent.CastedProjectileHeavyDamage.StacksMoreDamageAndBounces.Proc
CRAgilityDamageCalculation,4,4,0,Talents.Bowguy.CastedProjectileHeavyDamage.ChanceToHaveIncreasedCritChance
CRAgilityDamageCalculation,5,1,0,Talents.Bowguy.ChanneledMultiProjectileDebuff.Riccochet
CRAgilityDamageCalculation,5,3,0,Talents.Bowguy.ChanneledMultiProjectileDebuff.IncreasedTicks
CRAgilityDamageCalculation,6,2,0,Talents.Bowguy.InstantMarkTarget.IncreasedDamage
CRAgilityDamageCalculation,7,1,0,Talents.Bowguy.InstantMarkTarget.IncreasedDamage
CRAgilityDamageCalculation,9,1,0,CustomGrantedTags.Bowguy.RangedAutoAttack.Proc
CRAgilityDamageCalculation,9,2,0,CustomGrantedTags.Bowguy.RangedAutoAttack.Proc
CRAgilityDamageCalculation,9,4,0,Talents.Bowguy.CastedProjectileDamage.Enhanced
CRAgilityDamageCalculation,10,2,0,Talents.Bowguy.TargetedAoeDamage.IncreasedDurationAndExtension
CRAgilityDamageCalculation,10,3,0,Talents.Bowguy.TargetedAoeDamage.IncreasedDurationAndExtension
CRAgilityDamageCalculation,16,3,0,CustomAssetTags.Mara.CopyCharacterDamage.Damage
CRAgilityDamageCalculation,16,4,0,CustomGrantedTags.Mara.Talent.ResourceAttackSpenderCritChance.Proc
CRAgilityDamageCalculation,16,5,0,Talents.Mara.AoeAttackSpender.IncreasedDamageWhenBleed
CRAgilityDamageCalculation,16,6,0,CustomGrantedTags.Mara.Talent.Stealth.SpenderIncreasedDamage.Proc
CRAgilityDamageCalculation,16,7,0,CustomGrantedTags.Mara.Talent.DamageSpenders.BuffOtherSpender.AoeAttackSpenderProc
CRAgilityDamageCalculation,19,2,0,Talents.Mara.BleedAttackSpender.IncreasedCritChance
CRAgilityDamageCalculation,19,3,0,Talents.Mara.BleedAttackSpender.IncreasedDamageOnSoloTarget
CRAgilityDamageCalculation,19,5,0,Talents.Mara.BleedAttackSpender.IncreasedDamageOnSeethingTarget
CRAgilityDamageCalculation,21,2,0,Talents.Mara.ChargedDoubleAttackBuilder.IncreasedCritChance
CRAgilityDamageCalculation,22,2,0,Talents.Mara.ChargedDoubleAttackBuilder.IncreasedCritChance
CRAgilityDamageCalculation,24,3,0,CustomAssetTags.Mara.CopyCharacterDamage.Damage
