name,definitions_ordinal,calculation_modifiers_ordinal,ordinal,value
CRAgilityDamageCalculation,0,3,0,CustomGrantedTags.Bowguy.Talent.ChanneledMultiProjectileDebuff.IncomingDamage
CRAgilityDamageCalculation,1,3,0,CustomGrantedTags.Bowguy.Talent.ChanneledMultiProjectileDebuff.IncomingDamage
CRAgilityDamageCalculation,9,3,0,CustomGrantedTags.Bowguy.Talent.ChanneledMultiProjectileDebuff.IncomingDamage
CRAgilityDamageCalculation,10,3,0,CustomGrantedTags.Bowguy.TargetedAoeDamage.MainTarget
CRAgilityDamageCalculation,19,5,0,CustomGrantedTags.Mara.ChargedDoubleAttackBuilder.Poison.ActiveTarget
CRAgilityDamageCalculation,31,5,0,Talents.Meiko.DurationalMultiTeleportDamage.TargetDebuff
CRAgilityDamageCalculation,32,5,0,Talents.Meiko.DurationalMultiTeleportDamage.TargetDebuff
CRAgilityDamageCalculation,34,2,0,Talents.Meiko.DurationalMultiTeleportDamage.TargetDebuff
CRAgilityDamageCalculation,35,2,0,Talents.Meiko.DurationalMultiTeleportDamage.TargetDebuff
CRAgilityDamageCalculation,36,2,0,Talents.Meiko.DurationalMultiTeleportDamage.TargetDebuff
CRAgilityDamageCalculation,37,3,0,Talents.Meiko.DurationalMultiTeleportDamage.TargetDebuff
CRAgilityDamageCalculation,39,2,0,Talents.Meiko.DurationalMultiTeleportDamage.TargetDebuff
CRAgilityDamageCalculation,40,2,0,Talents.Meiko.DurationalMultiTeleportDamage.TargetDebuff
CRAgilityDamageCalculation,41,3,0,Talents.Meiko.DurationalMultiTeleportDamage.TargetDebuff
CRAgilityDamageCalculation,42,3,0,Talents.Meiko.DurationalMultiTeleportDamage.TargetDebuff
CRAgilityDamageCalculation,43,2,0,Talents.Meiko.DurationalMultiTeleportDamage.TargetDebuff
CRAgilityDamageCalculation,44,2,0,Talents.Meiko.DurationalMultiTeleportDamage.TargetDebuff
CRIntellectHealCalculation,9,2,0,CharacterContext.LowHealth
CRIntellectHealCalculation,10,3,0,CharacterContext.LowHealth
CRIntellectHealCalculation,11,4,0,CharacterContext.LowHealth
CRIntellectHealCalculation,11,6,0,CustomGrantedTags.Mosse.Talent.ButterflyHeal.ButterflyHealLowHealth.Buff
CRIntellectHealCalculation,12,3,0,CharacterContext.LowHealth
CRIntellectHealCalculation,12,6,0,CustomGrantedTags.Mosse.Talent.ButterflyHeal.ButterflyHealLowHealth.Buff
CRIntellectHealCalculation,13,1,0,CharacterContext.LowHealth
CRIntellectHealCalculation,22,3,0,CharacterStatus.Vigor.SingleTargetChargedHot
CRStrengthDamageCalculation,172,2,0,CharacterContext.Healthy
CRStrengthDamageCalculation,251,2,0,ActorTypeTags.Boss
CRUserDefinedDamageCalculation,8,0,0,ActorTypeTags.Enemy
CRUserDefinedDamageCalculation,23,2,0,CharacterContext.LowHealth
CRUserDefinedHealCalculation,29,0,0,CharacterContext.LowHealth
