name,definitions_ordinal,conditional_gameplay_effects_ordinal,ordinal,effect_class
CRIntellectDamageCalculation,59,0,0,GE_FK_BossFreezingWaterLord_GreaterWaterNova_Dot_Slow
CRIntellectDamageCalculation,172,0,0,GE_UB_BossLunatic_ChasePlayer_Stun
CRIntellectDamageCalculation,179,0,0,GE_UC_BossBaptist_CircleDebuff_WaveIncreaseDamageDebuff
CRIntellectDamageCalculation,198,0,0,GE_VV_BlackburnMystic_CastProjectile_Slow
CRPrimaryAttributeDamageCalculation,15,0,0,GE_DungeonModifier_ShadowLord_TickingAoE_Debuff
CRStrengthDamageCalculation,21,0,0,GE_CM_EarthElemental_CastAoeDamage_Debuff
CRStrengthDamageCalculation,171,0,0,GE_Gunde_ForwardDualProjectile_Bleed
CRStrengthDamageCalculation,300,0,0,GE_PR_BossTreasureDemon_Tornado_DamageCooldown
CRStrengthDamageCalculation,469,0,0,GE_UB_BossWarrior_RangedDotProjectile_Bleed
CRStrengthDamageCalculation,588,0,0,GE_VV_Shared_IceBite
