name,definitions_ordinal,ordinal,value
CRCancelAbilitiesWithTagsExecution,0,0,Ability.Skill
CRDispelActiveEffectsWithTagsExecution,0,0,EffectType.Harmful
CRDispelActiveEffectsWithTagsExecution,0,1,EffectType.Magic
CRDispelActiveEffectsWithTagsExecution,1,0,EffectType.Harmful
CRDispelActiveEffectsWithTagsExecution,1,1,EffectType.Magic
CRDispelActiveEffectsWithTagsExecution,2,0,EffectType.Harmful
CRDispelActiveEffectsWithTagsExecution,2,1,EffectType.Magic
CRDispelActiveEffectsWithTagsExecution,3,0,EffectType.Harmful
CRDispelActiveEffectsWithTagsExecution,3,1,EffectType.Magic
CRDispelActiveEffectsWithTagsExecution,4,0,EffectType.Harmful
CRDispelActiveEffectsWithTagsExecution,4,1,EffectType.Magic
CRIntellectDamageCalculation,49,0,Ability.AutoAttack
CRIntellectDamageCalculation,70,0,Ability.AutoAttack
CRIntellectDamageCalculation,73,0,Ability.AutoAttack
CRPrimaryAttributeDamageCalculation,3,0,Ability.AutoAttack
CRPrimaryAttributeDamageCalculation,32,0,Ability.AutoAttack
CRPrimaryAttributeDamageCalculation,33,0,Ability.AutoAttack
CRPrimaryAttributeDamageCalculation,37,0,Ability.AutoAttack
CRPrimaryAttributeDamageCalculation,71,0,Ability.AutoAttack
CRPrimaryAttributeDamageCalculation,72,0,Ability.AutoAttack
CRSendSignalToSourceAbilityExecution,0,0,CustomAssetTags.DR_BossGateWizard.FirePillar.DispelFootballDebuff
CRSendSignalToSourceAbilityExecution,1,0,CustomAssetTags.DR_BossGateWizard.FirePillar.DispelFootballDebuff
CRSendSignalToSourceAbilityExecution,18,0,CustomGrantedTags.Vigor.SingleTargetDot
CRStrengthDamageCalculation,2,0,Ability.AutoAttack
CRStrengthDamageCalculation,3,0,Ability.AutoAttack
CRStrengthDamageCalculation,11,0,Ability.AutoAttack
CRStrengthDamageCalculation,12,0,Ability.AutoAttack
CRStrengthDamageCalculation,13,0,Ability.AutoAttack
CRStrengthDamageCalculation,19,0,Ability.AutoAttack
CRStrengthDamageCalculation,25,0,Ability.AutoAttack
CRStrengthDamageCalculation,28,0,Ability.AutoAttack
CRStrengthDamageCalculation,32,0,Ability.AutoAttack
CRStrengthDamageCalculation,36,0,Ability.AutoAttack
CRStrengthDamageCalculation,37,0,Ability.AutoAttack
CRStrengthDamageCalculation,39,0,Ability.AutoAttack
CRStrengthDamageCalculation,41,0,Ability.AutoAttack
CRStrengthDamageCalculation,45,0,Ability.AutoAttack
CRStrengthDamageCalculation,46,0,Ability.AutoAttack
CRStrengthDamageCalculation,61,0,Ability.AutoAttack
CRStrengthDamageCalculation,62,0,Ability.AutoAttack
CRStrengthDamageCalculation,121,0,Ability.AutoAttack
CRStrengthDamageCalculation,124,0,Ability.AutoAttack
CRStrengthDamageCalculation,126,0,Ability.AutoAttack
CRStrengthDamageCalculation,128,0,Ability.AutoAttack
CRStrengthDamageCalculation,129,0,Ability.AutoAttack
CRStrengthDamageCalculation,131,0,Ability.AutoAttack
CRStrengthDamageCalculation,132,0,Ability.AutoAttack
CRStrengthDamageCalculation,133,0,Ability.AutoAttack
CRStrengthDamageCalculation,134,0,Ability.AutoAttack
CRStrengthDamageCalculation,136,0,Ability.AutoAttack
CRStrengthDamageCalculation,138,0,Ability.AutoAttack
CRStrengthDamageCalculation,140,0,Ability.AutoAttack
CRStrengthDamageCalculation,146,0,Ability.AutoAttack
CRStrengthDamageCalculation,147,0,Ability.AutoAttack
CRStrengthDamageCalculation,148,0,Ability.AutoAttack
CRStrengthDamageCalculation,150,0,Ability.AutoAttack
CRStrengthDamageCalculation,151,0,Ability.AutoAttack
CRStrengthDamageCalculation,161,0,Ability.AutoAttack
CRStrengthDamageCalculation,162,0,Ability.AutoAttack
CRStrengthDamageCalculation,163,0,Ability.AutoAttack
CRStrengthDamageCalculation,188,0,Ability.AutoAttack
CRStrengthDamageCalculation,193,0,Ability.AutoAttack
CRStrengthDamageCalculation,228,0,Ability.AutoAttack
CRStrengthDamageCalculation,230,0,Ability.AutoAttack
CRStrengthDamageCalculation,241,0,Ability.AutoAttack
CRStrengthDamageCalculation,244,0,Ability.AutoAttack
CRStrengthDamageCalculation,246,0,Ability.AutoAttack
CRStrengthDamageCalculation,250,0,Ability.AutoAttack
CRStrengthDamageCalculation,336,0,Ability.AutoAttack
CRStrengthDamageCalculation,350,0,Ability.AutoAttack
CRStrengthDamageCalculation,391,0,Ability.AutoAttack
