name,ordinal,value
CRAgilityDamageCalculation,0,GE_Bowguy_AoeProjectileDamage_Damage
CRAgilityDamageCalculation,1,GE_Bowguy_AoeProjectileDamage_Damage_Magical
CRAgilityDamageCalculation,2,GE_Bowguy_CastedBouncyProjectileDamage_Damage
CRAgilityDamageCalculation,3,GE_Bowguy_CastedProjectileDamage_Damage
CRAgilityDamageCalculation,4,GE_Bowguy_CastedProjectileHeavyDamage_Damage
CRAgilityDamageCalculation,5,GE_Bowguy_ChanneledMultiProjectileDebuff_Damage
CRAgilityDamageCalculation,6,GE_Bowguy_InstantMarkTarget_AoeDamage
CRAgilityDamageCalculation,7,GE_Bowguy_InstantMarkTarget_Damage
CRAgilityDamageCalculation,8,GE_Bowguy_RangedAutoAttack_Damage
CRAgilityDamageCalculation,9,GE_Bowguy_SingleProjectileDamage_Damage
CRAgilityDamageCalculation,10,GE_Bowguy_TargetedAoeDamage_Damage
CRAgilityDamageCalculation,11,GE_DD_Arbalist_LineAttack_Damage
CRAgilityDamageCalculation,12,GE_DR_BarbedRoot_RangedAutoAttack_Damage
CRAgilityDamageCalculation,13,GE_Mara_AoeAttackBuilder_Damage
CRAgilityDamageCalculation,14,GE_Mara_AoeAttackBuilder_Poison
CRAgilityDamageCalculation,15,GE_Mara_AoeAttackBuilder_Poison_Aoe_Damage
CRAgilityDamageCalculation,16,GE_Mara_AoeAttackSpender_Damage
CRAgilityDamageCalculation,17,GE_Mara_AutoAttackProc_Damage
CRAgilityDamageCalculation,18,GE_Mara_AutoAttack_Damage
CRAgilityDamageCalculation,19,GE_Mara_BleedAttackSpender_Bleed
CRAgilityDamageCalculation,20,GE_Mara_BleedAttackSpender_Damage
CRAgilityDamageCalculation,21,GE_Mara_ChargedDoubleAttackBuilder_DamageFirst
CRAgilityDamageCalculation,22,GE_Mara_ChargedDoubleAttackBuilder_DamageSecond
CRAgilityDamageCalculation,23,GE_Mara_ChargedDoubleAttackBuilder_Poison
CRAgilityDamageCalculation,24,GE_Mara_HeavyAttackSpender_Damage
CRAgilityDamageCalculation,25,GE_Mara_StrongerBehindAttackBuilder_Damage_Strong
CRAgilityDamageCalculation,26,GE_Mara_StrongerBehindAttackBuilder_Damage_Weak
CRAgilityDamageCalculation,27,GE_Mara_StrongerBehindAttackBuilder_Poison_Damage
CRAgilityDamageCalculation,28,GE_Mara_Talent_BleedAttackSpender_ExplosivePoison_Poison
CRAgilityDamageCalculation,29,GE_Mara_Talent_ChargedDoubleAttackBuilder_AoeDamage_PoisonDamage
CRAgilityDamageCalculation,30,GE_Mara_Talent_ComboPointsChanceAoeDamage_Dot
CRAgilityDamageCalculation,31,GE_Meiko_ChanneledHeavyDamage_Damage
CRAgilityDamageCalculation,32,GE_Meiko_ChanneledHeavyDamage_FinalDamage
CRAgilityDamageCalculation,33,GE_Meiko_DamageSoakBuff_Damage
CRAgilityDamageCalculation,34,GE_Meiko_DurationalAoeDamageBuff_Damage
CRAgilityDamageCalculation,35,GE_Meiko_DurationalMultipleTeleportDamage_Damage
CRAgilityDamageCalculation,36,GE_Meiko_FrontalAoeDebuff_Damage
CRAgilityDamageCalculation,37,GE_Meiko_HighDamageCleave_Damage
CRAgilityDamageCalculation,38,GE_Meiko_MeleeAutoAttack_Damage
CRAgilityDamageCalculation,39,GE_Meiko_MeleeDamageImmediateSelfBuff_Damage
CRAgilityDamageCalculation,40,GE_Meiko_MeleeDamageLowHealthSelfBuff_Damage
CRAgilityDamageCalculation,41,GE_Meiko_MeleeDamageSelfBuff_Damage
CRAgilityDamageCalculation,42,GE_Meiko_MeleeDown_Damage
CRAgilityDamageCalculation,43,GE_Meiko_MeleeLeft_Damage
CRAgilityDamageCalculation,44,GE_Meiko_MeleeRight_Damage
CRAgilityDamageCalculation,45,GE_Meiko_MoveToLocationAoeDamage_Damage
CRAgilityDamageCalculation,46,GE_Meiko_MoveToLocationAoeDamage_Dot
CRAgilityDamageCalculation,47,GE_Meiko_Talent_InstantSelfDefensive_DamageReductionLessHel_Damage
CRAgilityDamageCalculation,48,GE_UB_DeadeyeArbalest_LineAttack_Damage
CRAgilityDamageCalculation,49,GE_UB_DeadeyeArbalest_RangedAutoAttack_Damage
CRAgilityDamageCalculation,50,GE_UB_DefendingArcher_RangedAutoAttack_Damage
CRAgilityDamageCalculation,51,GE_UB_DefendingArcher_Volley_Dot
CRAgilityDamageCalculation,52,GE_UB_ReanimatedArcher_RangedAutoAttack_Damage
CRAgilityDamageCalculation,53,GE_UB_ReanimatedArcher_Volley_Dot
CRAgilityDamageCalculation,54,GE_UC_CadavrianArbalist_AutoAttack_Damage
CRCancelAbilitiesBlockedByIncite,0,GE_Shared_StatusApplication_Incited
CRCancelAbilitiesBlockedByThisEffectsParentExecution,0,GE_Default_CancelAllAbilitiesBlockedByParentEffect
CRCancelAbilitiesWithTagsExecution,0,GE_Default_CancelAllSkills
CRDispelActiveEffectsBlockedByThisEffectsParentExecution,0,GE_Default_DispelAllEffectsBlockedByParentEffect
CRDispelActiveEffectsWithTagsExecution,0,GE_Default_DispelAllDebuffs
CRDispelActiveEffectsWithTagsExecution,1,GE_Lisa_SingleAllyDispel_Dispel
CRDispelActiveEffectsWithTagsExecution,2,GE_Mosse_SingleTargetDispel_Dispel
CRDispelActiveEffectsWithTagsExecution,3,GE_RelicPower_MassDispel
CRDispelActiveEffectsWithTagsExecution,4,GE_Vigor_SingleAllyDispel_Dispel
CRInstantGuaranteedKillExecution,0,GE_Environmental_InstantKill_Crushed
CRInstantGuaranteedKillExecution,1,GE_MC_BloodHound_JumpCleave_Bleed_OverflowInstantDeath
CRIntellectDamageCalculation,0,GE_BlackmistShadowMinion_Cast_Damage
CRIntellectDamageCalculation,1,GE_BlackmistShadowMinion_OnDeathExplosion_Damage
CRIntellectDamageCalculation,2,GE_BossVikingMystic_RuneMinion_Cast_Damage
CRIntellectDamageCalculation,3,GE_BossVikingMystic_RuneMinion_OnDeathExplosion_Damage
CRIntellectDamageCalculation,4,GE_CM_BlackburnMantrader_CastedRangedProjectile_Damage
CRIntellectDamageCalculation,5,GE_CM_BlackburnMantrader_LargeRangedProjectile_Damage
CRIntellectDamageCalculation,6,GE_CM_BossAina_CastDebuffProjectile_Damage
CRIntellectDamageCalculation,7,GE_CM_BossAina_CastFillerProjectile_Damage
CRIntellectDamageCalculation,8,GE_CM_BossAina_PlacedSlowAoe_AoeDot
CRIntellectDamageCalculation,9,GE_CM_BossWhisperingCore_Beam_Damage
CRIntellectDamageCalculation,10,GE_CM_BossWhisperingCore_PlatformAoEDamage_Dot
CRIntellectDamageCalculation,11,GE_CM_BossWhisperingCore_PulsingAoEDamage
CRIntellectDamageCalculation,12,GE_CM_Construct_Charged_ChainLightning_Damage
CRIntellectDamageCalculation,13,GE_CM_CrystalConstructCharged_RotatingBeam_Dot
CRIntellectDamageCalculation,14,GE_CM_ElfWarden_CastSingleBlast_Damage
CRIntellectDamageCalculation,15,GE_CM_ElfWarden_Fear_Damage
CRIntellectDamageCalculation,16,GE_CM_Elf_Warden_BurstingBarrier_Damage
CRIntellectDamageCalculation,17,GE_CM_Elf_Warden_DrainMana_Damage
CRIntellectDamageCalculation,18,GE_CM_RubiliteAurastone_ChasingLaser_Dot
CRIntellectDamageCalculation,19,GE_CM_RubiliteAurastone_LockOnLaser_Dot
CRIntellectDamageCalculation,20,GE_CM_RubiliteFocus_Laser_Damage
CRIntellectDamageCalculation,21,GE_CM_RubiliteTriggerstone_Trap_Dot
CRIntellectDamageCalculation,22,GE_CM_VolatileConstruct_CastProjectile_Damage
CRIntellectDamageCalculation,23,GE_DD_Arbalist_Trap_Damage
CRIntellectDamageCalculation,24,GE_DD_NightboundMagi_CastedPartyAoeDebuff_Damage
CRIntellectDamageCalculation,25,GE_DD_NightboundMagi_CastedRangedProjectile_Damage
CRIntellectDamageCalculation,26,GE_DD_NightboundMagi_SoakDebuff_Damage
CRIntellectDamageCalculation,27,GE_DD_WitheringMagi_CastedRangedInstantProjectile_Damage
CRIntellectDamageCalculation,28,GE_DD_WitheringMagi_CastedRangedProjectileDot_Damage
CRIntellectDamageCalculation,29,GE_DM_WinterTrickster_AoEKnockback_Damage
CRIntellectDamageCalculation,30,GE_DM_WinterTrickster_DropBuffs_Landing_Damage
CRIntellectDamageCalculation,31,GE_DM_WinterTrickster_DropBuffs_Landing_UnavoidableDamage
CRIntellectDamageCalculation,32,GE_DR_BarbedRoot_ChanneledAoe_Damage
