id,source_category,dispellable,duration_policy,ui_name,ui_description,stacking,period,provenance_origin,provenance_dev_name,provenance_source
GE_ArmorSetBonus_CritChanceBonus,set_bonus,true,Infinite,,,,,datamine,,
GE_ArmorSetBonus_ExpertiseBonus,set_bonus,true,Infinite,,,,,datamine,,
GE_ArmorSetBonus_GemPowerBonus,set_bonus,true,Infinite,,,,,datamine,,
GE_ArmorSetBonus_HasteBonus,set_bonus,true,Infinite,,,,,datamine,,
GE_ArmorSetBonus_HasteBuffOnAbilityUse_Buff,set_bonus,true,HasDuration,Dark Prophecy,Your Haste is increased by 25%.,AggregateByTarget,,datamine,,
GE_ArmorSetBonus_HeroismPowerAndDamageReductionBonus_Buff,set_bonus,true,HasDuration,Drakheim's Absolution,20% increased Strength / Agility / Intellect.,,,datamine,,
GE_ArmorSetBonus_MagicResistBonus,set_bonus,true,Infinite,,,,,datamine,,
GE_ArmorSetBonus_MaxHealth,set_bonus,true,Infinite,,,,,datamine,,
GE_ArmorSetBonus_MaxManaBonus,set_bonus,true,Infinite,,,,,datamine,,
GE_ArmorSetBonus_MoveSpeedBonus,set_bonus,true,Infinite,,,,,datamine,,
GE_ArmorSetBonus_PowerBonusAndAutoHeal,set_bonus,true,Infinite,,,,,datamine,,
GE_ArmorSetBonus_PowerBonusAndAutoHeal_Heal,set_bonus,true,,,,,,datamine,,
GE_ArmorSetBonus_PowerBonusAndAutoHeal_Heal_CooldownVisualBuff,set_bonus,false,HasDuration,Torment of Bael'Aurum,"You have recently triggered the healing of your Torment of Bael'Aurum, and it can not happen again until this effect expires.",AggregateBySource,,datamine,,
GE_ArmorSetBonus_PowerBonusOnCrit_Buff,set_bonus,false,HasDuration,Draconic Might,18% Increased Strength / Agility / Intellect.,AggregateByTarget,,datamine,,
GE_ArmorSetBonus_Quickplay_CritChanceBonus,set_bonus,true,Infinite,,,,,datamine,,
GE_ArmorSetBonus_Quickplay_ExpertiseBonus,set_bonus,true,Infinite,,,,,datamine,,
GE_ArmorSetBonus_Quickplay_HasteBonus,set_bonus,true,Infinite,,,,,datamine,,
GE_ArmorSetBonus_Quickplay_SpiritBonus,set_bonus,true,Infinite,,,,,datamine,,
GE_ArmorSetBonus_SpiritBonus,set_bonus,true,Infinite,,,,,datamine,,
GE_ArmorSetBonus_TargetLowHealthDamageBonus,set_bonus,true,Infinite,,,,,datamine,,
GE_ArmorSetBonus_ThreatDecrease,set_bonus,true,Infinite,,,,,datamine,,
GE_ArmorSetBonus_ThreatIncrease,set_bonus,true,Infinite,,,,,datamine,,
GE_Ascension_BossBoost,modifier,true,Infinite,,,,,datamine,,
GE_Ascension_BossBoost_HeroBuff,modifier,true,Infinite,,,AggregateByTarget,,datamine,,
GE_Ascension_DispelAndInterrupt_HeroBuff,modifier,true,Infinite,,,AggregateByTarget,,datamine,,
GE_Ascension_EnemyBoost,modifier,true,Infinite,,,,,datamine,,
