id,applied_status_ordinal,tag,meaning
GE_BaseLogic_Disorient,0,CharacterStatus.BlockAllSkills,cannot use abilities
GE_BaseLogic_Disorient,1,CharacterStatus.Disoriented,
GE_BaseLogic_Fear,0,CharacterStatus.BlockAllSkills,cannot use abilities
GE_BlackmistShadowMinion_OnDeathExplosion_Stun,0,CharacterStatus.BlockAllSkills,cannot use abilities
GE_BlackmistShadowMinion_OnDeathExplosion_Stun,1,CharacterStatus.IgnoreMoveInput,cannot move
GE_BlackmistShadowMinion_OnDeathExplosion_Stun,2,CharacterStatus.IgnoreActionInput,cannot act
GE_BlackmistShadowMinion_OnDeathExplosion_Stun,3,CharacterStatus.IgnoreRotationInput,cannot rotate
GE_Bowguy_AimSlow,0,CustomGrantedTags.Bowguy.AimSlow,
GE_Bowguy_AoeProjectileDamage_Proc,0,CustomGrantedTags.Bowguy.AoeProjectileDamage.Proc,
GE_Bowguy_CastedProjectileDamage_Buff,0,CustomGrantedTags.Bowguy.CastedProjectileDamage.Buff,
GE_Bowguy_ChargedMoveWithDirection_Active,0,CustomGrantedTags.Bowguy.ChargedMoveWithDirection.Active,
GE_Bowguy_InstantMarkTarget_Debuff,0,CustomGrantedTags.Bowguy.InstantMarkTarget.Debuff,
GE_Bowguy_InstantSingleInterrupt_Lockout,0,Status.Silenced,
GE_Bowguy_InstantSingleInterrupt_Lockout,1,CharacterStatus.Silenced,cannot cast
GE_Bowguy_ProcHasteBuff_Buff,0,CustomGrantedTags.Bowguy.ProcHasteBuff,
GE_Bowguy_RangedAutoAttack_Proc,0,CustomGrantedTags.Bowguy.RangedAutoAttack.Proc,
GE_Bowguy_ReducedCostCooldownRecoveryBuff_SelfBuff,0,CustomGrantedTags.Bowguy.ReducedCostCooldownRecoveryBuff.Buff,
GE_Bowguy_SelfBuffForAoeProjectile_SelfBuff,0,CustomGrantedTags.Bowguy.SelfBuffForAoeProjectile,
GE_Bowguy_Talent_CastedProjectileDamage_AoeProjectileDamageEmpowered_SelfBuff,0,CustomGrantedTags.Bowguy.Talent.CastedProjectileDamage.AoeProjectileDamageEmpowered.SelfBuff,
GE_Bowguy_Talent_CastedProjectileHeavyDamage_InstantNoCooldownProc_Proc,0,CustomGrantedTags.Bowguy.Talent.CastedProjectileHeavyDamage.InstantNoCooldownProc.Proc,
GE_Bowguy_Talent_CastedProjectileHeavyDamage_StacksMoreDamageAndBounces_Proc,0,CustomGrantedTags.Bowguy.Talent.CastedProjectileHeavyDamage.StacksMoreDamageAndBounces.Proc,
GE_Bowguy_Talent_ChanneledMultiProjectileDebuff_IncomingDamage_Debuff,0,CustomGrantedTags.Bowguy.Talent.ChanneledMultiProjectileDebuff.IncomingDamage,
GE_Bowguy_Talent_ChanneledMultiProjectileDebuff_ResetCooldownAndBuff_Proc,0,CustomGrantedTags.Bowguy.Talent.ChanneledMultiProjectileDebuff.ResetCooldownAndBuff.Proc,
GE_Bowguy_TargetedAoeDamage_MainTargetBuff,0,CustomGrantedTags.Bowguy.TargetedAoeDamage.MainTarget,
GE_Bowguy_TargetedAoePull_Pull,0,CharacterStatus.BlockAllSkills,cannot use abilities
GE_Bowguy_TargetedAoePull_Pull,1,CharacterStatus.IgnoreActionInput,cannot act
GE_Bowguy_TargetedAoePull_Pull,2,CharacterStatus.IgnoreMoveInput,cannot move
GE_Bowguy_TargetedAoePull_Pull,3,CharacterStatus.IgnoreRotationInput,cannot rotate
GE_Bowguy_TargetedAoePull_Pull,4,CharacterStatus.IgnorePush,
GE_Bowguy_TargetedAoePull_Pull,5,CharacterStatus.IgnoreFallDamage,
GE_CM_BlackburnMantrader_CastedRoot_Debuff,0,CharacterStatus.Immobilized,
GE_CM_BossTroll_FinalEnrageHealth,0,Ability.Skill.BossTroll.FinalEnrageHealth,
GE_CM_BossYrsa_DamageCooldown,0,CharacterStatus.CM_BossYrsa.ScytheDamageCooldown,
GE_CM_Charged_Construct_Ghost_SelfDamageDebuff,0,Status.Untargetable,
GE_CM_Charged_Construct_Ghost_SelfDamageDebuff,1,CharacterStatus.Untargetable,
GE_CM_EarthElemental_BurrowBuff,0,Status.Untargetable,
GE_CM_EarthElemental_BurrowBuff,1,Status.Stasis,
GE_CM_EarthElemental_BurrowBuff,2,CharacterStatus.Invisible,
GE_CM_ElfInterrogator_WickedStrike_HideBuff,0,Status.Untargetable,
GE_CM_ElfInterrogator_WickedStrike_HideBuff,1,Status.Stasis,
GE_CM_ElfInterrogator_WickedStrike_HideBuff,2,CharacterStatus.Ghosted,
GE_CM_ElfInterrogator_WickedStrike_HideBuff,3,CharacterStatus.Invisible,
GE_CM_ElfInterrogator_WickedStrike_HideBuff,4,CharacterStatus.ForceHideOverheadWidget,
GE_CM_ElfInterrogator_WickedStrike_Stun,0,CharacterStatus.BlockAllSkills,cannot use abilities
GE_CM_ElfInterrogator_WickedStrike_Stun,1,CharacterStatus.IgnoreActionInput,cannot act
