id,ordinal,value
GE_ArmorSetBonus_CritChanceBonus,0,EffectLogic.System
GE_ArmorSetBonus_ExpertiseBonus,0,EffectLogic.System
GE_ArmorSetBonus_GemPowerBonus,0,EffectLogic.System
GE_ArmorSetBonus_HasteBonus,0,EffectLogic.System
GE_ArmorSetBonus_HasteBuffOnAbilityUse_Buff,0,EffectType.Beneficial
GE_ArmorSetBonus_HasteBuffOnAbilityUse_Buff,1,EffectType.Buff
GE_ArmorSetBonus_HasteBuffOnAbilityUse_Buff,2,EffectType.Magic
GE_ArmorSetBonus_HasteBuffOnAbilityUse_Buff,3,EffectLogic.RemoveOnDeath
GE_ArmorSetBonus_HasteBuffOnAbilityUse_Buff,4,EffectVisualization.Icon
GE_ArmorSetBonus_HeroismPowerAndDamageReductionBonus_Buff,0,EffectType.Beneficial
GE_ArmorSetBonus_HeroismPowerAndDamageReductionBonus_Buff,1,EffectType.Magic
GE_ArmorSetBonus_HeroismPowerAndDamageReductionBonus_Buff,2,EffectVisualization.Icon
GE_ArmorSetBonus_HeroismPowerAndDamageReductionBonus_Buff,3,EffectLogic.RemoveOnDeath
GE_ArmorSetBonus_MagicResistBonus,0,EffectLogic.System
GE_ArmorSetBonus_MaxHealth,0,EffectLogic.System
GE_ArmorSetBonus_MaxManaBonus,0,EffectLogic.System
GE_ArmorSetBonus_MoveSpeedBonus,0,EffectLogic.System
GE_ArmorSetBonus_PowerBonusAndAutoHeal,0,EffectLogic.System
GE_ArmorSetBonus_PowerBonusAndAutoHeal_Heal,0,EffectType.Beneficial
GE_ArmorSetBonus_PowerBonusAndAutoHeal_Heal,1,EffectType.Healing
GE_ArmorSetBonus_PowerBonusAndAutoHeal_Heal,2,EffectType.Magic
GE_ArmorSetBonus_PowerBonusAndAutoHeal_Heal_CooldownVisualBuff,0,EffectVisualization.Icon
GE_ArmorSetBonus_PowerBonusAndAutoHeal_Heal_CooldownVisualBuff,1,EffectType.Harmful
GE_ArmorSetBonus_PowerBonusAndAutoHeal_Heal_CooldownVisualBuff,2,EffectType.Debuff
GE_ArmorSetBonus_PowerBonusAndAutoHeal_Heal_CooldownVisualBuff,3,EffectLogic.NotDispellable
GE_ArmorSetBonus_PowerBonusAndAutoHeal_Heal_CooldownVisualBuff,4,EffectType.Magic.Shadow
GE_ArmorSetBonus_PowerBonusAndAutoHeal_Heal_CooldownVisualBuff,5,EffectLogic.System
GE_ArmorSetBonus_PowerBonusOnCrit_Buff,0,EffectType.Beneficial
GE_ArmorSetBonus_PowerBonusOnCrit_Buff,1,EffectType.Buff
GE_ArmorSetBonus_PowerBonusOnCrit_Buff,2,EffectType.Magic
GE_ArmorSetBonus_PowerBonusOnCrit_Buff,3,EffectVisualization.Icon
GE_ArmorSetBonus_PowerBonusOnCrit_Buff,4,EffectLogic.RemoveOnDeath
GE_ArmorSetBonus_PowerBonusOnCrit_Buff,5,EffectLogic.NotDispellable
GE_ArmorSetBonus_Quickplay_CritChanceBonus,0,EffectLogic.System
GE_ArmorSetBonus_Quickplay_ExpertiseBonus,0,EffectLogic.System
GE_ArmorSetBonus_Quickplay_HasteBonus,0,EffectLogic.System
GE_ArmorSetBonus_Quickplay_SpiritBonus,0,EffectLogic.System
GE_ArmorSetBonus_SpiritBonus,0,EffectLogic.System
GE_ArmorSetBonus_TargetLowHealthDamageBonus,0,EffectLogic.System
GE_ArmorSetBonus_ThreatDecrease,0,EffectLogic.System
GE_ArmorSetBonus_ThreatIncrease,0,EffectLogic.System
GE_Ascension_BossBoost,0,GameplayEffect.PermanentNotRemovable
GE_Ascension_BossBoost,1,EffectLogic.System
GE_Ascension_BossBoost_HeroBuff,0,GameplayEffect.PermanentNotRemovable
GE_Ascension_BossBoost_HeroBuff,1,EffectLogic.System
GE_Ascension_DispelAndInterrupt_HeroBuff,0,GameplayEffect.PermanentNotRemovable
GE_Ascension_DispelAndInterrupt_HeroBuff,1,EffectLogic.System
GE_Ascension_EnemyBoost,0,GameplayEffect.PermanentNotRemovable
GE_Ascension_EnemyBoost,1,EffectLogic.System
GE_Ascension_EnemyBoost_HeroBuff,0,GameplayEffect.PermanentNotRemovable
GE_Ascension_EnemyBoost_HeroBuff,1,EffectLogic.System
GE_Ascension_ThreatManagement_HeroBuff,0,GameplayEffect.PermanentNotRemovable
GE_Ascension_ThreatManagement_HeroBuff,1,EffectLogic.System
GE_Ascension_ThreatManagement_ThreatDebuff,0,GameplayEffect.PermanentNotRemovable
GE_Ascension_ThreatManagement_ThreatDebuff,1,EffectLogic.System
GE_Ascension_TimerKillScore_HeroBuff,0,GameplayEffect.PermanentNotRemovable
GE_Ascension_TimerKillScore_HeroBuff,1,EffectLogic.System
GE_BaseLogic_Disorient,0,EffectType.CrowdControl
GE_BaseLogic_Disorient,1,EffectType.GeneratesThreat
GE_BaseLogic_Disorient,2,EffectType.Harmful
GE_BaseLogic_Disorient,3,EffectType.Silencing
GE_BaseLogic_Disorient,4,EffectLogic.RemoveOnDeath
GE_BaseLogic_Disorient,5,EffectLogic.System
