id,ordinal,value
GE_ArmorSetBonus_PowerBonusAndAutoHeal_Heal,0,CRUserDefinedHealCalculation
GE_BlackmistShadowMinion_Cast_Damage,0,CRIntellectDamageCalculation
GE_BlackmistShadowMinion_OnDeathExplosion_Damage,0,CRIntellectDamageCalculation
GE_BlackmistShadowMinion_OnDeathExplosion_FriendlyDamage,0,CRUserDefinedDamageCalculation
GE_BossVikingMystic_RuneMinion_Cast_Damage,0,CRIntellectDamageCalculation
GE_BossVikingMystic_RuneMinion_OnDeathExplosion_Damage,0,CRIntellectDamageCalculation
GE_Bowguy_AoeProjectileDamage_Damage,0,CRAgilityDamageCalculation
GE_Bowguy_AoeProjectileDamage_Damage_Magical,0,CRAgilityDamageCalculation
GE_Bowguy_CastedBouncyProjectileDamage_Damage,0,CRAgilityDamageCalculation
GE_Bowguy_CastedProjectileDamage_Damage,0,CRAgilityDamageCalculation
GE_Bowguy_CastedProjectileHeavyDamage_Damage,0,CRAgilityDamageCalculation
GE_Bowguy_ChanneledMultiProjectileDebuff_Damage,0,CRAgilityDamageCalculation
GE_Bowguy_InstantMarkTarget_AoeDamage,0,CRAgilityDamageCalculation
GE_Bowguy_InstantMarkTarget_Damage,0,CRAgilityDamageCalculation
GE_Bowguy_RangedAutoAttack_Damage,0,CRAgilityDamageCalculation
GE_Bowguy_SingleProjectileDamage_Damage,0,CRAgilityDamageCalculation
GE_Bowguy_TargetedAoeDamage_Damage,0,CRAgilityDamageCalculation
GE_CM_BlackburnMantrader_CastedRangedProjectile_Damage,0,CRIntellectDamageCalculation
GE_CM_BlackburnMantrader_LargeRangedProjectile_Damage,0,CRIntellectDamageCalculation
GE_CM_BlackburnMantrader_MeleeAutoAttack_Damage,0,CRStrengthDamageCalculation
GE_CM_BossAina_CastDebuffProjectile_Damage,0,CRIntellectDamageCalculation
GE_CM_BossAina_CastFillerProjectile_Damage,0,CRIntellectDamageCalculation
GE_CM_BossAina_Charge_Damage,0,CRStrengthDamageCalculation
GE_CM_BossAina_MeleeAutoAttack_Damage,0,CRStrengthDamageCalculation
GE_CM_BossAina_PlacedSlowAoe_AoeDot,0,CRIntellectDamageCalculation
GE_CM_BossTroll_AutoAttack_Damage,0,CRStrengthDamageCalculation
GE_CM_BossTroll_Charge_BumpDamage,0,CRStrengthDamageCalculation
GE_CM_BossTroll_Charge_ImpactDamage,0,CRStrengthDamageCalculation
GE_CM_BossTroll_Enrage_Damage,0,CRStrengthDamageCalculation
GE_CM_BossTroll_FallingRocks_Damage,0,CRStrengthDamageCalculation
GE_CM_BossWhisperingCore_Beam_Damage,0,CRIntellectDamageCalculation
GE_CM_BossWhisperingCore_PlatformAoEDamage_Dot,0,CRIntellectDamageCalculation
GE_CM_BossWhisperingCore_PulsingAoEDamage,0,CRIntellectDamageCalculation
GE_CM_BossWhisperingCore_RangedAutoAttack_Damage,0,CRStrengthDamageCalculation
GE_CM_BossWhisperingCore_TankSlam_Damage,0,CRStrengthDamageCalculation
GE_CM_BossYrsa_AoEDamageSlow_Damage,0,CRStrengthDamageCalculation
GE_CM_BossYrsa_AoeSoak_SoakedDamage,0,CRStrengthDamageCalculation
GE_CM_BossYrsa_AoeSoak_UnsoakedDamage,0,CRStrengthDamageCalculation
GE_CM_BossYrsa_AutoAttack_Damage,0,CRStrengthDamageCalculation
GE_CM_BossYrsa_ConjureScythe_Damage,0,CRStrengthDamageCalculation
GE_CM_Charged_Construct_Ghost_SelfDamageDebuff,0,CRStrengthDamageCalculation
GE_CM_Construct_Charged_ChainLightning_Damage,0,CRIntellectDamageCalculation
GE_CM_Construct_Charged_Ghost_AutoAttack,0,CRStrengthDamageCalculation
GE_CM_CrystalConstructCharged_MeleeAutoAttack_Damage,0,CRStrengthDamageCalculation
GE_CM_CrystalConstructCharged_RotatingBeam_Dot,0,CRIntellectDamageCalculation
GE_CM_EarthElemental_AutoAttack_Damage,0,CRStrengthDamageCalculation
GE_CM_EarthElemental_BurrowedStrike_Damage,0,CRStrengthDamageCalculation
GE_CM_EarthElemental_CastAoeDamage_Damage,0,CRStrengthDamageCalculation
GE_CM_EarthElemental_EarthBreaker_Damage,0,CRStrengthDamageCalculation
GE_CM_EarthElemental_EarthStomp_Damage,0,CRStrengthDamageCalculation
GE_CM_EarthElemental_Upheaval_Damage,0,CRStrengthDamageCalculation
GE_CM_ElfEnforcer_AutoAttack_Damage,0,CRStrengthDamageCalculation
GE_CM_ElfEnforcer_Protect_Damage,0,CRUserDefinedDamageCalculation
GE_CM_ElfEnforcer_TankSlam_Damage,0,CRStrengthDamageCalculation
GE_CM_ElfGoon_FirstThreatProjectile_Damage,0,CRStrengthDamageCalculation
GE_CM_ElfInterrogator_AutoAttack_Damage,0,CRStrengthDamageCalculation
GE_CM_ElfInterrogator_PoisonDagger_Damage,0,CRStrengthDamageCalculation
GE_CM_ElfInterrogator_WickedStrike_Damage,0,CRStrengthDamageCalculation
GE_CM_ElfInterrogator_WickedStrike_Dot,0,CRStrengthDamageCalculation
GE_CM_ElfLookout_AutoAttack_Damage,0,CRStrengthDamageCalculation
GE_CM_ElfLookout_MeleeAutoAttack_Damage,0,CRPrimaryAttributeDamageCalculation
GE_CM_ElfLookout_QuickShots_Damage,0,CRStrengthDamageCalculation
GE_CM_ElfTaskmaster_ConePull_Damage,0,CRStrengthDamageCalculation
GE_CM_ElfTaskmaster_ConePull_Dot,0,CRStrengthDamageCalculation
