id,modifiers_ordinal,attribute,op,value_known,value_curve_ref,value_default,value_unresolved_reason,magnitude_type,detail,detail_kind,detail_data_tag,detail_data_name,detail_calculation_class,detail_coefficient,detail_backing_attribute,detail_pre_add,detail_post_add,detail_source
GE_ArmorSetBonus_CritChanceBonus,0,CritChance,Additive,0.04,,,,ScalableFloat,CT_ArmorSetBonuses::ArmorSetBonus.CritChanceBonus.CriticalStrikeChanceIncrease,scalable_float_reference,,,,,,,,
GE_ArmorSetBonus_ExpertiseBonus,0,Expertise,Additive,0.04,,,,ScalableFloat,CT_ArmorSetBonuses::ArmorSetBonus.ExpertiseBonus.ExpertiseIncrease,scalable_float_reference,,,,,,,,
GE_ArmorSetBonus_GemPowerBonus,0,RubyPower,MultiplyCompound,1.25,,,,ScalableFloat,CT_ArmorSetBonuses::ArmorSetBonus.GemPowerBonus.GemPowerScaler,scalable_float_reference,,,,,,,,
GE_ArmorSetBonus_GemPowerBonus,1,AmethystPower,MultiplyCompound,1.25,,,,ScalableFloat,CT_ArmorSetBonuses::ArmorSetBonus.GemPowerBonus.GemPowerScaler,scalable_float_reference,,,,,,,,
GE_ArmorSetBonus_GemPowerBonus,2,TopazPower,MultiplyCompound,1.25,,,,ScalableFloat,CT_ArmorSetBonuses::ArmorSetBonus.GemPowerBonus.GemPowerScaler,scalable_float_reference,,,,,,,,
GE_ArmorSetBonus_GemPowerBonus,3,EmeraldPower,MultiplyCompound,1.25,,,,ScalableFloat,CT_ArmorSetBonuses::ArmorSetBonus.GemPowerBonus.GemPowerScaler,scalable_float_reference,,,,,,,,
GE_ArmorSetBonus_GemPowerBonus,4,SapphirePower,MultiplyCompound,1.25,,,,ScalableFloat,CT_ArmorSetBonuses::ArmorSetBonus.GemPowerBonus.GemPowerScaler,scalable_float_reference,,,,,,,,
GE_ArmorSetBonus_GemPowerBonus,5,DiamondPower,MultiplyCompound,1.25,,,,ScalableFloat,CT_ArmorSetBonuses::ArmorSetBonus.GemPowerBonus.GemPowerScaler,scalable_float_reference,,,,,,,,
GE_ArmorSetBonus_HasteBonus,0,Haste,Additive,0.04,,,,ScalableFloat,CT_ArmorSetBonuses::ArmorSetBonus.HasteBonus.HasteIncrease,scalable_float_reference,,,,,,,,
GE_ArmorSetBonus_HasteBuffOnAbilityUse_Buff,0,Haste,Additive,0.25,,,,ScalableFloat,CT_ArmorSetBonuses::ArmorSetBonus.HasteBuffOnAbilityUse.HasteBonus,scalable_float_reference,,,,,,,,
GE_ArmorSetBonus_HeroismPowerAndDamageReductionBonus_Buff,0,Strength,MultiplyCompound,1.2,,,,ScalableFloat,CT_ArmorSetBonuses::ArmorSetBonus.HeroismPowerAndDamageReductionBonus.PowerScaler,scalable_float_reference,,,,,,,,
GE_ArmorSetBonus_HeroismPowerAndDamageReductionBonus_Buff,1,Intellect,MultiplyCompound,1.2,,,,ScalableFloat,CT_ArmorSetBonuses::ArmorSetBonus.HeroismPowerAndDamageReductionBonus.PowerScaler,scalable_float_reference,,,,,,,,
GE_ArmorSetBonus_HeroismPowerAndDamageReductionBonus_Buff,2,Agility,MultiplyCompound,1.2,,,,ScalableFloat,CT_ArmorSetBonuses::ArmorSetBonus.HeroismPowerAndDamageReductionBonus.PowerScaler,scalable_float_reference,,,,,,,,
GE_ArmorSetBonus_MagicResistBonus,0,MagicalIncomingDamageMultiplier,MultiplyCompound,0.9,,,,ScalableFloat,CT_ArmorSetBonuses::ArmorSetBonus.MagicResistBonus.IncomingMagicDamageMultiplier,scalable_float_reference,,,,,,,,
GE_ArmorSetBonus_MaxHealth,0,MaxHealth,MultiplyCompound,1.05,,,,ScalableFloat,CT_ArmorSetBonuses::ArmorSetBonus.MaxHealthBonus.MaxHealthScaler,scalable_float_reference,,,,,,,,
GE_ArmorSetBonus_MaxManaBonus,0,MaxMana,Multiplicitive,1.15,,,,ScalableFloat,CT_ArmorSetBonuses::ArmorSetBonus.MaxManaBonus.MaxManaScaler,scalable_float_reference,,,,,,,,
GE_ArmorSetBonus_MoveSpeedBonus,0,PassiveMoveSpeed,Multiplicitive,1.2,,,,ScalableFloat,CT_ArmorSetBonuses::ArmorSetBonus.MoveSpeedBonus.MoveSpeedScaler,scalable_float_reference,,,,,,,,
GE_ArmorSetBonus_PowerBonusAndAutoHeal,0,Strength,MultiplyCompound,1.05,,,,ScalableFloat,CT_ArmorSetBonuses::ArmorSetBonus.PowerBonusAndAutoHeal.PowerScaler,scalable_float_reference,,,,,,,,
GE_ArmorSetBonus_PowerBonusAndAutoHeal,1,Agility,MultiplyCompound,1.05,,,,ScalableFloat,CT_ArmorSetBonuses::ArmorSetBonus.PowerBonusAndAutoHeal.PowerScaler,scalable_float_reference,,,,,,,,
GE_ArmorSetBonus_PowerBonusAndAutoHeal,2,Intellect,MultiplyCompound,1.05,,,,ScalableFloat,CT_ArmorSetBonuses::ArmorSetBonus.PowerBonusAndAutoHeal.PowerScaler,scalable_float_reference,,,,,,,,
GE_ArmorSetBonus_PowerBonusOnCrit_Buff,0,PrimaryAttributeMultiplier,MultiplyCompound,1.18,,,,ScalableFloat,CT_ArmorSetBonuses::ArmorSetBonus.PowerBonusOnCrit.PowerIncreaseFactor,scalable_float_reference,,,,,,,,
GE_ArmorSetBonus_Quickplay_CritChanceBonus,0,CritChance,Additive,0.15,,,,ScalableFloat,CT_ArmorSetBonuses::ArmorSetBonus.Quickplay.CritChanceBonus,scalable_float_reference,,,,,,,,
GE_ArmorSetBonus_Quickplay_ExpertiseBonus,0,Expertise,Additive,0.2,,,,ScalableFloat,CT_ArmorSetBonuses::ArmorSetBonus.Quickplay.Expertise,scalable_float_reference,,,,,,,,
GE_ArmorSetBonus_Quickplay_HasteBonus,0,Haste,Additive,0.2,,,,ScalableFloat,CT_ArmorSetBonuses::ArmorSetBonus.Quickplay.HasteBonus,scalable_float_reference,,,,,,,,
GE_ArmorSetBonus_Quickplay_SpiritBonus,0,Spirit,Additive,0.2,,,,ScalableFloat,CT_ArmorSetBonuses::ArmorSetBonus.Quickplay.SpiritBonus,scalable_float_reference,,,,,,,,
GE_ArmorSetBonus_SpiritBonus,0,Spirit,Additive,0.04,,,,ScalableFloat,CT_ArmorSetBonuses::ArmorSetBonus.SpiritBonus.SpiritIncrease,scalable_float_reference,,,,,,,,
GE_ArmorSetBonus_SpiritBonus,1,SpiritGenerationHeal,Additive,0.04,,,,ScalableFloat,CT_ArmorSetBonuses::ArmorSetBonus.SpiritBonus.SpiritIncrease,scalable_float_reference,,,,,,,,
GE_ArmorSetBonus_TargetLowHealthDamageBonus,0,DamageScale,MultiplyCompound,1.1,,,,ScalableFloat,CT_ArmorSetBonuses::ArmorSetBonus.TargetLowHealthDamageBonus.DamageScaler,scalable_float_reference,,,,,,,,
GE_ArmorSetBonus_ThreatDecrease,0,DamageThreatMultiplier,MultiplyCompound,0.85,,,,ScalableFloat,CT_ArmorSetBonuses::ArmorSetBonus.ThreatDecrease.ThreatScaler,scalable_float_reference,,,,,,,,
GE_ArmorSetBonus_ThreatDecrease,1,HealThreatMultiplier,MultiplyCompound,0.85,,,,ScalableFloat,CT_ArmorSetBonuses::ArmorSetBonus.ThreatDecrease.ThreatScaler,scalable_float_reference,,,,,,,,
GE_ArmorSetBonus_ThreatIncrease,0,DamageThreatMultiplier,MultiplyCompound,1.15,,,,ScalableFloat,CT_ArmorSetBonuses::ArmorSetBonus.ThreatIncrease.ThreatScaler,scalable_float_reference,,,,,,,,
GE_ArmorSetBonus_ThreatIncrease,1,HealThreatMultiplier,MultiplyCompound,1.15,,,,ScalableFloat,CT_ArmorSetBonuses::ArmorSetBonus.ThreatIncrease.ThreatScaler,scalable_float_reference,,,,,,,,
GE_Ascension_BossBoost,0,DifficultyHealthScale,MultiplyCompound,1.1,,,,ScalableFloat,CT_DungeonModifiers::Ultimatum.BossBoost.HealthScaler,scalable_float_reference,,,,,,,,
GE_Ascension_BossBoost,1,DifficultyDamageScale,MultiplyCompound,1.05,,,,ScalableFloat,CT_DungeonModifiers::Ultimatum.BossBoost.DamageScaler,scalable_float_reference,,,,,,,,
GE_Ascension_BossBoost_HeroBuff,0,CooldownReduction,Additive,0.1,,,,ScalableFloat,CT_DungeonModifiers::Ultimatum.BossBoost.HeroBuff.CooldownReductionIncrease,scalable_float_reference,,,,,,,,
GE_Ascension_DispelAndInterrupt_HeroBuff,0,DamageScale,Multiplicitive,1.0,,,,ScalableFloat,CT_AbilityConstants::Ascensions.DispelAndInterrupt.HeroBuff.DamageAndHealingScaler,scalable_float_reference,,,,,,,,
GE_Ascension_DispelAndInterrupt_HeroBuff,1,HealScale,Multiplicitive,1.0,,,,ScalableFloat,CT_AbilityConstants::Ascensions.DispelAndInterrupt.HeroBuff.DamageAndHealingScaler,scalable_float_reference,,,,,,,,
GE_Ascension_EnemyBoost,0,DifficultyDamageScale,MultiplyCompound,1.1,,,,ScalableFloat,CT_DungeonModifiers::Challenge.EnemyBoost.HealthScaler,scalable_float_reference,,,,,,,,
GE_Ascension_EnemyBoost,1,DifficultyHealthScale,MultiplyCompound,1.1,,,,ScalableFloat,CT_DungeonModifiers::Challenge.EnemyBoost.DamageScaler,scalable_float_reference,,,,,,,,
GE_Ascension_EnemyBoost_HeroBuff,0,Spirit,Additive,0.1,,,,ScalableFloat,CT_DungeonModifiers::Challenge.HeroBuff.SpiritIncrease,scalable_float_reference,,,,,,,,
GE_Ascension_ThreatManagement_HeroBuff,0,CritRating,Additive,0.0,,,,ScalableFloat,CT_AbilityConstants::Ascensions.ThreatManagement.HeroBuff.CritRatingIncrease,scalable_float_reference,,,,,,,,
GE_Ascension_ThreatManagement_ThreatDebuff,0,DamageThreatMultiplier,Multiplicitive,1.0,,,,ScalableFloat,registry::Ascensions.ThreatManagement.NonTank.DamageThreatMultiplier,scalable_float_reference,,,,,,,,
GE_Ascension_ThreatManagement_ThreatDebuff,1,HealThreatMultiplier,Multiplicitive,1.0,,,,ScalableFloat,registry::Ascensions.ThreatManagement.NonTank.HealThreatMultiplier,scalable_float_reference,,,,,,,,
GE_Ascension_TimerKillScore_HeroBuff,0,HasteRating,Additive,0.0,,,,ScalableFloat,CT_AbilityConstants::Ascensions.TimerKillScore.HeroBuff.HasteRatingIncrease,scalable_float_reference,,,,,,,,
GE_BaseLogic_Disorient,0,MoveSpeed,Multiplicitive,0.25,,,,ScalableFloat,CT_AbilityConstants::DefaultStatusEffects.Disorient.MoveSpeedScaler,scalable_float_reference,,,,,,,,
GE_BaseLogic_Fear,0,MoveSpeed,Multiplicitive,0.8,,,,ScalableFloat,CT_AbilityConstants::DefaultStatusEffects.Fear.MoveSpeedScaler,scalable_float_reference,,,,,,,,
GE_BlackmistShadowMinion_Cast_Buff,0,SizeScale,Multiplicitive,1.12,,,,ScalableFloat,registry::VV_BlackmistShadowMinion.Cast.Buff.SizeScale,scalable_float_reference,,,,,,,,
GE_BlackmistShadowMinion_Cast_Buff,1,DamageScale,Multiplicitive,1.2,,,,ScalableFloat,registry::VV_BlackmistShadowMinion.Cast.Buff.DamageScale,scalable_float_reference,,,,,,,,
GE_BlackmistShadowMinion_Cast_Debuff,0,IncomingDamageMultiplier,Multiplicitive,,VV_BossVikingGod_RuneMinion.Cast.DebuffDamageMultiplier,,,ScalableFloat,registry::VV_BossVikingGod_RuneMinion.Cast.DebuffDamageMultiplier,scalable_float_reference,,,,,,,,
GE_BlackmistShadowMinion_Cast_HasteBuff,0,Haste,Multiplicitive,1.4,,,,ScalableFloat,registry::VV_BlackmistShadowMinion.Cast.Buff.HasteMultiplier,scalable_float_reference,,,,,,,,
GE_BossVikingMystic_RuneMinion_Cast_Buff,0,SizeScale,Multiplicitive,1.12,,,,ScalableFloat,registry::VV_BossVikingMystic_RuneMinion.Cast.Buff.SizeScale,scalable_float_reference,,,,,,,,
