id,modifiers_ordinal,ordinal,value
GE_Trait_AbilityToIncreasedMainStat_Buff,0,0,1.072
GE_Trait_AbilityToIncreasedMainStat_Buff,0,1,1.24
GE_Trait_CommitToHasteRatingAndWeaponCooldown_HasteRatingBuff,0,0,6.0
GE_Trait_CommitToHasteRatingAndWeaponCooldown_HasteRatingBuff,0,1,10.0
GE_Trait_CommitToHasteRatingAndWeaponCooldown_HasteRatingBuff,0,2,13.0
GE_Trait_CommitToHasteRatingAndWeaponCooldown_HasteRatingBuff,0,3,17.0
GE_Trait_CooldownRecoveryOnWeaponAbility_Buff,0,0,1.2
GE_Trait_CooldownRecoveryOnWeaponAbility_Buff,0,1,1.2
GE_Trait_CritsToIncreasedCritRating_CritRatingBuff,0,0,21.0
GE_Trait_CritsToIncreasedCritRating_CritRatingBuff,0,1,75.0
GE_Trait_CritsToIncreasedPrimaryStatBuff_Buff,0,0,1.03
GE_Trait_CritsToIncreasedPrimaryStatBuff_Buff,0,1,1.093
GE_Trait_DamageReductionWhenHealthy,0,0,0.97
GE_Trait_DamageReductionWhenHealthy,0,1,0.94
GE_Trait_DamageReductionWhenHealthy,0,2,0.91
GE_Trait_DamageReductionWhenHealthy,0,3,0.88
GE_Trait_FirstIncomingHitToReducedIncomingDamageBuff_Buff,0,0,0.97
GE_Trait_FirstIncomingHitToReducedIncomingDamageBuff_Buff,0,1,0.904
GE_Trait_IncomingDamageToDefenceAndDamage_DefenceBuff,0,0,1.01
GE_Trait_IncomingDamageToDefenceAndDamage_DefenceBuff,0,1,1.17
GE_Trait_IncomingDamageToDefenceAndDamage_DefenceBuff,0,2,1.24
GE_Trait_IncomingDamageToDefenceAndDamage_DefenceBuff,0,3,1.32
GE_Trait_IncreasedMainStatAndSpiritRating_MainStat,0,0,1.015
GE_Trait_IncreasedMainStatAndSpiritRating_MainStat,0,1,1.048
GE_Trait_IncreasedMainStatAndSpiritRating_SpiritRating,0,0,7.0
GE_Trait_IncreasedMainStatAndSpiritRating_SpiritRating,0,1,11.0
GE_Trait_IncreasedMainStatAndSpiritRating_SpiritRating,0,2,23.0
GE_Trait_IncreasedStaminaToHealthConversion,0,0,1.025
GE_Trait_IncreasedStaminaToHealthConversion,0,1,1.047
GE_Trait_IncreasedStaminaToHealthConversion,0,2,1.093
GE_Trait_NoDamageToDamageReduction_Buff,0,0,0.98
GE_Trait_NoDamageToDamageReduction_Buff,0,1,0.97
GE_Trait_NoDamageToDamageReduction_Buff,0,2,0.955
GE_Trait_NoDamageToDamageReduction_Buff,0,3,0.94
GE_Trait_OffensiveAbilityHasteRatingStacking_Buff,0,0,4.0
GE_Trait_OffensiveAbilityHasteRatingStacking_Buff,0,1,16.0
GE_Trait_OffensiveAbilityToHighestStatBuff_Buff_Crit,0,0,28.0
GE_Trait_OffensiveAbilityToHighestStatBuff_Buff_Crit,0,1,142.0
GE_Trait_OffensiveAbilityToHighestStatBuff_Buff_Expertise,0,0,28.0
GE_Trait_OffensiveAbilityToHighestStatBuff_Buff_Expertise,0,1,142.0
GE_Trait_OffensiveAbilityToHighestStatBuff_Buff_Haste,0,0,28.0
GE_Trait_OffensiveAbilityToHighestStatBuff_Buff_Haste,0,1,142.0
GE_Trait_OffensiveAbilityToHighestStatBuff_Buff_Spirit,0,0,28.0
GE_Trait_OffensiveAbilityToHighestStatBuff_Buff_Spirit,0,1,142.0
GE_Trait_RelicToDamageReduction_Buff,0,0,0.953
GE_Trait_RelicToDamageReduction_Buff,0,1,0.891
GE_Trait_RelicToDamageReduction_Buff,0,2,0.86
GE_Trait_StandingStillStaminaExpertiseRatingIncrease_Buff_Durational,0,0,1.05
GE_Trait_StandingStillStaminaExpertiseRatingIncrease_Buff_Durational,0,1,1.05
GE_Trait_StandingStillStaminaExpertiseRatingIncrease_Buff_Durational,1,0,12.0
GE_Trait_StandingStillStaminaExpertiseRatingIncrease_Buff_Durational,1,1,42.0
GE_Trait_StandingStillStaminaExpertiseRatingIncrease_Buff_Infinite,0,0,1.05
GE_Trait_StandingStillStaminaExpertiseRatingIncrease_Buff_Infinite,0,1,1.05
GE_Trait_StandingStillStaminaExpertiseRatingIncrease_Buff_Infinite,1,0,12.0
GE_Trait_StandingStillStaminaExpertiseRatingIncrease_Buff_Infinite,1,1,42.0
GE_Trait_WeaponCritChanceCooldownReduction_Buff,0,0,0.095
GE_Trait_WeaponCritChanceCooldownReduction_Buff,0,1,0.17
GE_Trait_WeaponCritChanceCooldownReduction_Buff,0,2,0.24
GE_Trait_WeaponCritChanceCooldownReduction_Buff,0,3,0.32
GE_Trait_WeaponDamageReductionPrimaryStatIncrease_Buff,0,0,0.85
GE_Trait_WeaponDamageReductionPrimaryStatIncrease_Buff,0,1,0.85
GE_Trait_WeaponDamageReductionPrimaryStatIncrease_Buff,1,0,1.1
GE_Trait_WeaponDamageReductionPrimaryStatIncrease_Buff,1,1,1.1
GE_Trait_WeaponHealDamageIncrease_Buff,0,0,1.24
GE_Trait_WeaponHealDamageIncrease_Buff,0,1,1.42
GE_Trait_WeaponHealDamageIncrease_Buff,0,2,1.6
GE_Trait_WeaponHealDamageIncrease_Buff,0,3,1.8
GE_Trait_WeaponHealDamageIncrease_Buff,1,0,1.24
GE_Trait_WeaponHealDamageIncrease_Buff,1,1,1.42
GE_Trait_WeaponHealDamageIncrease_Buff,1,2,1.6
GE_Trait_WeaponHealDamageIncrease_Buff,1,3,1.8
