id,name,description,icon_id,icon_kind,icon_width,icon_height,provenance_origin,provenance_dev_name,provenance_source
CAA_Finesse_BasicToAoe,The Vehement,"Every <rt.bold>6 / 5 / 4 / 3</> <rt.absorb>BASIC</> ability causes your target to erupt, dealing the damage again to all enemies in a radius around the target as poison damage. 

The <rt.warning>damage is increased</> by a percentage equal to your <rt.warning>Critical Strike chance %</>, up to a <rt.warning>maximum of {critthreshold}</>.",,,,,datamine,,
CAA_Finesse_BasicToIncreasedPower,The Intrepid,,,,,,datamine,,
CAA_Finesse_CritChanceToHealOrDamage,The Usurper,"Your <rt.absorb>CORE</> abilities have a chance equal to your Critical Strike chance % to trigger <rt.effect>The Usurper's Verdict</> on the target, either dealing <rt.warning>143% / 228% / 365% / 584% Main Stat damage</> to up to <rt.warning>4 enemies</> near your target, or healing up to <rt.heal>4 allies</> for <rt.heal>122% / 195% / 312% / 500% Main Stat health</>.
 
<rt.effect>The Usurper's Verdict</> has a 20% chance to trigger both the <rt.warning>Damage</> and <rt.heal>Healing</> effect.",,,,,datamine,,
CAA_Finesse_CurrentSpiritToBuff,The Philosopher,"Your <rt.absorb>[MAJOR]</> ability grants you <rt.warning>+{increase} Haste, Expertise and Critical Strike</> for every <rt.bold>4.0% / 2.5% / 1.6% / 1.0% Spirit</> you have for <rt.bold>8 seconds</>, up to a maximum of 10% to each.",,,,,datamine,,
CAA_Finesse_DrainHealthBasedOnPrimaryStat,The Heretic,"Each time you use a <rt.absorb>[CORE]</> ability, there is a <rt.bold>{chance} chance</> you drain <rt.warning>325% / 520% / 832% / 1331% Main Stat</> health from the nearest enemy, <rt.heal>healing you for the same amount</>.",,,,,datamine,,
CAA_Finesse_IncreasedBasicDamage,The Vainglorious,,,,,,datamine,,
CAA_Finesse_IncreasedPowerPerCurrentSpirit,The Mystic,"Your <rt.absorb>POWER</> abilities gain <rt.warning>0.3% / 0.5% / 0.8% / 1.2% increased power</> for every <rt.bold>{spiritpercentage}% Spirit</> you have, up to {MaxSpiritPercentage} Spirit.",,,,,datamine,,
CAA_Finesse_MajorIncreasedCooldownRecoveryPerHaste,The Monarch,"Your <rt.absorb>MAJOR</> abilities gain <rt.warning>3% / 5% / 8% / 12% Cooldown Acceleration</>. The bonus is <rt.bold>increased by +0.1%</> for every <rt.bold>1% Haste</> you have, up to a maximum of 5%.",,,,,datamine,,
CAA_Finesse_MajorToReducedControlCooldown,The Subduer,"You deal <rt.warning>5% / 10% / 15% / 20%</> more damage to <rt.bold>Low Health Enemies</>.

Your <rt.absorb>[MAJOR]</> abilities reduce the cooldown of one of your <rt.absorb>[CONTROL]</> abilities by up to <rt.bold>1 / 2 / 3 / 4 seconds</>. The amount is relative to the default cooldown of the <rt.absorb>MAJOR</> ability used.",,,,,datamine,,
CAA_Finesse_PeriodicHasteBuff,The Wayfarer,"Every {cooldown} you gain <rt.effect>{EffectName}</>, granting you <rt.warning>+6% / +10% / +16% / +25% Haste</> for {duration}. Each time you use your <rt.absorb>[CORE]</> ability, <rt.bold>the time to</> <rt.effect>{EffectName}'s</> <rt.bold>next application is reduced by 0.2 to 8 seconds</>, relative to the cooldown of the <rt.absorb>[CORE]</>ability used. Abilities with no cooldown provide 0.2 seconds reduction.",,,,,datamine,,
CAA_Finesse_PowerChanceSpirit,The Celestial,Your <rt.absorb>[POWER]</> abilities have a <rt.bold>5% / 8% / 13% / 20%</> chance to generate <rt.bold>1 Spirit Point</> toward your <rt.absorb>SPIRIT</> ability.,,,,,datamine,,
CAA_Finesse_PowerIncreasedCritChanceAndPower,The Sinister,,,,,,datamine,,
CAA_Finesse_PowerToIncreasedCritChance,The Trickster,,,,,,datamine,,
CAA_Finesse_StartWithSpiritPoints,The Herald,You start dungeons with  <rt.warning>12 / 20 / 30 / 50 Spirit Points</> toward your <rt.absorb>SPIRIT</> ability.,,,,,datamine,,
