id,ordinal,value
CAA_Finesse_BasicToAoe,0,GA_Finesse_Passive_BasicToAoe_C
CAA_Finesse_BasicToIncreasedPower,0,GA_Finesse_Passive_BasicToIncreasedPower_C
CAA_Finesse_CritChanceToHealOrDamage,0,GA_Finesse_Passive_CritChanceToHealOrDamage_C
CAA_Finesse_CurrentSpiritToBuff,0,GA_Finesse_Passive_CurrentSpiritToBuff_C
CAA_Finesse_DrainHealthBasedOnPrimaryStat,0,GA_Finesse_Passive_DrainHealthBasedOnPrimaryStat_C
CAA_Finesse_IncreasedBasicDamage,0,GA_Finesse_Passive_IncreasedBasicDamage_C
CAA_Finesse_IncreasedPowerPerCurrentSpirit,0,GA_Finesse_Passive_IncreasedPowerPerCurrentSpirit_C
CAA_Finesse_MajorToReducedControlCooldown,0,GA_Finesse_Passive_MajorToReducedControlCooldown_C
CAA_Finesse_PeriodicHasteBuff,0,GA_Finesse_Passive_PeriodicHasteBuff_Manager_C
CAA_Finesse_PowerChanceSpirit,0,GA_Finesse_Passive_PowerChanceSpirit_C
CAA_Finesse_PowerToIncreasedCritChance,0,GA_Finesse_Passive_PowerToIncreasedCritChance_C
CAA_Finesse_StartWithSpiritPoints,0,GA_Finesse_Passive_StartWithSpiritPoints_C
