id,encoding,x,value
Bowguy,keyframes,1.0,1.0
Bowguy,keyframes,151.0,1.0
Firemage,keyframes,1.0,1.0
Firemage,keyframes,151.0,1.0
Gunde,keyframes,1.0,1.0
Gunde,keyframes,151.0,1.0
Ink,keyframes,1.0,1.0
Ink,keyframes,151.0,1.0
Lisa,keyframes,1.0,1.0
Lisa,keyframes,151.0,1.0
Mara,keyframes,1.0,1.0
Mara,keyframes,151.0,1.0
Meiko,keyframes,1.0,1.0
Meiko,keyframes,151.0,1.0
Mosse,keyframes,1.0,1.0
Mosse,keyframes,151.0,1.0
Rime,keyframes,1.0,1.0
Rime,keyframes,151.0,1.0
Sune,keyframes,1.0,1.0
Sune,keyframes,151.0,1.0
Vigor,keyframes,1.0,1.0
Vigor,keyframes,151.0,1.0
Warmaster,keyframes,1.0,1.0
Warmaster,keyframes,151.0,1.0
