id,numeric_id,slot,rule_set,stat_weights_key,display_name,drops_in_all_dungeons,provenance_origin,provenance_dev_name,provenance_source
ItemID.HeroItem.Dynamic.Back.A_Crit,5127,Back,DynamicHeroItemRuleSet.Default_GemSlot,22.22.40,Back_A_Crit,false,datamine,,
ItemID.HeroItem.Dynamic.Back.A_Expertise,5128,Back,DynamicHeroItemRuleSet.Default_GemSlot,22.22.40,Back_A_Expertise,false,datamine,,
ItemID.HeroItem.Dynamic.Back.A_Spirit,5129,Back,DynamicHeroItemRuleSet.Default_GemSlot,22.22.40,Back_A_Spirit,false,datamine,,
ItemID.HeroItem.Dynamic.Back.B_Expertise,5130,Back,DynamicHeroItemRuleSet.Default_GemSlot,40.17.27,Back_B_Expertise,false,datamine,,
ItemID.HeroItem.Dynamic.Back.B_Spirit,5131,Back,DynamicHeroItemRuleSet.Default_GemSlot,40.17.27,Back_B_Spirit,false,datamine,,
ItemID.HeroItem.Dynamic.Back.C_Crit,5132,Back,DynamicHeroItemRuleSet.Default_GemSlot,28.28.28,Back_C_Crit,false,datamine,,
ItemID.HeroItem.Dynamic.Back.C_Expertise,5133,Back,DynamicHeroItemRuleSet.Default_GemSlot,28.28.28,Back_C_Expertise,false,datamine,,
ItemID.HeroItem.Dynamic.Back.C_Spirit,5134,Back,DynamicHeroItemRuleSet.Default_GemSlot,28.28.28,Back_C_Spirit,false,datamine,,
ItemID.HeroItem.Dynamic.Back.SetA_B_Crit,5135,Back,DynamicHeroItemRuleSet.SetBonus_GemSlot,28.28.28,Back_SetA_B_Crit,false,datamine,,
ItemID.HeroItem.Dynamic.Back.SetA_C_Haste,5136,Back,DynamicHeroItemRuleSet.Default_GemSlot,28.28.28,Back_C_Haste,false,datamine,,
ItemID.HeroItem.Dynamic.Back.SetB_A_Haste,5137,Back,DynamicHeroItemRuleSet.SetBonus_GemSlot,22.22.40,Back_SetB_A_Haste,false,datamine,,
ItemID.HeroItem.Dynamic.Back.SetB_C_Haste,5138,Back,DynamicHeroItemRuleSet.SetBonus_GemSlot,28.28.28,Back_SetB_C_Haste,false,datamine,,
ItemID.HeroItem.Dynamic.Back.SetC_B_Haste,5139,Back,DynamicHeroItemRuleSet.SetBonus_GemSlot,40.17.27,Back_SetC_B_Haste,false,datamine,,
ItemID.HeroItem.Dynamic.Back.SetC_C_Crit,5140,Back,DynamicHeroItemRuleSet.SetBonus_GemSlot,28.28.28,Back_SetC_C_Crit,false,datamine,,
ItemID.HeroItem.Dynamic.Back.SetD_A_Expertise,5141,Back,DynamicHeroItemRuleSet.SetBonus_GemSlot,22.22.40,Back_SetD_A_Expertise,false,datamine,,
ItemID.HeroItem.Dynamic.Back.SetD_B_Spirit,5142,Back,DynamicHeroItemRuleSet.SetBonus_GemSlot,40.17.27,Back_SetD_B_Spirit,false,datamine,,
ItemID.HeroItem.Dynamic.Back.SetE_A_Expertise,5143,Back,DynamicHeroItemRuleSet.SetBonus_GemSlot,22.22.40,Back_SetE_A_Expertise,false,datamine,,
ItemID.HeroItem.Dynamic.Back.SetE_B_Crit,5144,Back,DynamicHeroItemRuleSet.SetBonus_GemSlot,40.17.27,Back_SetE_B_Crit,false,datamine,,
ItemID.HeroItem.Dynamic.Chest.A_Crit,5146,Chest,DynamicHeroItemRuleSet.Default_NoGemSlot,22.22.40,Chest_A_Crit,false,datamine,,
ItemID.HeroItem.Dynamic.Chest.A_Spirit,5147,Chest,DynamicHeroItemRuleSet.Default_NoGemSlot,22.22.40,Chest_A_Spirit,false,datamine,,
ItemID.HeroItem.Dynamic.Chest.B_Expertise,5148,Chest,DynamicHeroItemRuleSet.Default_NoGemSlot,40.17.27,Chest_B_Expertise,false,datamine,,
ItemID.HeroItem.Dynamic.Chest.B_Haste,5149,Chest,DynamicHeroItemRuleSet.Default_NoGemSlot,40.17.27,Chest_B_Haste,false,datamine,,
ItemID.HeroItem.Dynamic.Chest.B_Spirit,5150,Chest,DynamicHeroItemRuleSet.Default_NoGemSlot,40.17.27,Chest_B_Spirit,false,datamine,,
ItemID.HeroItem.Dynamic.Chest.C_Crit,5151,Chest,DynamicHeroItemRuleSet.Default_NoGemSlot,28.28.28,Chest_C_Crit,false,datamine,,
ItemID.HeroItem.Dynamic.Chest.C_Expertise,5152,Chest,DynamicHeroItemRuleSet.Default_NoGemSlot,28.28.28,Chest_C_Expertise,false,datamine,,
ItemID.HeroItem.Dynamic.Chest.C_Haste,5153,Chest,DynamicHeroItemRuleSet.Default_NoGemSlot,28.28.28,Chest_C_Haste,false,datamine,,
ItemID.HeroItem.Dynamic.Chest.C_Spirit,5154,Chest,DynamicHeroItemRuleSet.Default_NoGemSlot,28.28.28,Chest_C_Spirit,false,datamine,,
ItemID.HeroItem.Dynamic.Chest.SetA_B_Crit,5155,Chest,DynamicHeroItemRuleSet.SetBonus_NoGemSlot,40.17.27,Chest_SetA_B_Crit,false,datamine,,
ItemID.HeroItem.Dynamic.Chest.SetB_A_Haste,5156,Chest,DynamicHeroItemRuleSet.SetBonus_NoGemSlot,22.22.40,Chest_SetB_A_Haste,false,datamine,,
ItemID.HeroItem.Dynamic.Chest.SetC_B_Expertise,5157,Chest,DynamicHeroItemRuleSet.SetBonus_NoGemSlot,40.17.27,Chest_SetC_B_Expertise,false,datamine,,
ItemID.HeroItem.Dynamic.Chest.SetD_A_Spirit,5158,Chest,DynamicHeroItemRuleSet.SetBonus_NoGemSlot,22.22.40,Chest_SetD_A_Spirit,false,datamine,,
ItemID.HeroItem.Dynamic.Feet.A_Crit,5160,Feet,DynamicHeroItemRuleSet.Default_NoGemSlot,22.22.40,Feet_A_Crit,false,datamine,,
ItemID.HeroItem.Dynamic.Feet.A_Expertise,5161,Feet,DynamicHeroItemRuleSet.Default_NoGemSlot,22.22.40,Feet_A_Expertise,false,datamine,,
ItemID.HeroItem.Dynamic.Feet.A_Haste,5162,Feet,DynamicHeroItemRuleSet.Default_NoGemSlot,22.22.40,Feet_A_Haste,false,datamine,,
ItemID.HeroItem.Dynamic.Feet.A_Spirit,5163,Feet,DynamicHeroItemRuleSet.Default_NoGemSlot,22.22.40,Feet_A_Spirit,false,datamine,,
ItemID.HeroItem.Dynamic.Feet.B_Crit,5164,Feet,DynamicHeroItemRuleSet.Default_NoGemSlot,40.17.27,Feet_B_Crit,false,datamine,,
ItemID.HeroItem.Dynamic.Feet.B_Haste,5165,Feet,DynamicHeroItemRuleSet.Default_NoGemSlot,22.22.40,Feet_B_Haste,false,datamine,,
ItemID.HeroItem.Dynamic.Feet.B_Spirit,5166,Feet,DynamicHeroItemRuleSet.Default_NoGemSlot,40.17.27,Feet_B_Spirit,false,datamine,,
ItemID.HeroItem.Dynamic.Feet.C_Expertise,5167,Feet,DynamicHeroItemRuleSet.Default_NoGemSlot,28.28.28,Feet_C_Expertise,false,datamine,,
ItemID.HeroItem.Dynamic.Feet.C_Haste,5168,Feet,DynamicHeroItemRuleSet.Default_NoGemSlot,22.22.40,Feet_C_Haste,false,datamine,,
ItemID.HeroItem.Dynamic.Feet.C_Spirit,5169,Feet,DynamicHeroItemRuleSet.Default_NoGemSlot,28.28.28,Feet_C_Spirit,false,datamine,,
ItemID.HeroItem.Dynamic.Feet.SetA_A_Spirit,5170,Feet,DynamicHeroItemRuleSet.SetBonus_NoGemSlot,28.28.28,Feet_SetA_A_Spirit,false,datamine,,
ItemID.HeroItem.Dynamic.Feet.SetA_C_Crit,5171,Feet,DynamicHeroItemRuleSet.SetBonus_NoGemSlot,22.22.40,Feet_SetA_C_Crit,false,datamine,,
ItemID.HeroItem.Dynamic.Feet.SetB_C_Crit,5172,Feet,DynamicHeroItemRuleSet.SetBonus_NoGemSlot,28.28.28,Feet_SetB_C_Crit,false,datamine,,
ItemID.HeroItem.Dynamic.Feet.SetB_Expertise,5173,Feet,DynamicHeroItemRuleSet.SetBonus_NoGemSlot,40.17.27,Feet_SetB_B_Expertise,false,datamine,,
ItemID.HeroItem.Dynamic.Feet.SetC_B_Expertise,5174,Feet,DynamicHeroItemRuleSet.SetBonus_NoGemSlot,40.17.27,Feet_SetC_B_Expertise,false,datamine,,
ItemID.HeroItem.Dynamic.Feet.SetC_C_Crit,5175,Feet,DynamicHeroItemRuleSet.SetBonus_NoGemSlot,28.28.28,Feet_SetC_C_Crit,false,datamine,,
ItemID.HeroItem.Dynamic.Feet.SetD_B_Haste,5176,Feet,DynamicHeroItemRuleSet.SetBonus_NoGemSlot,40.17.27,Feet_SetD_B_Haste,false,datamine,,
ItemID.HeroItem.Dynamic.Feet.SetD_C_Haste,5177,Feet,DynamicHeroItemRuleSet.SetBonus_NoGemSlot,28.28.28,Feet_SetD_C_Haste,false,datamine,,
ItemID.HeroItem.Dynamic.Feet.SetE_A_Expertise,5178,Feet,DynamicHeroItemRuleSet.SetBonus_NoGemSlot,22.22.40,Feet_SetE_A_Expertise,false,datamine,,
ItemID.HeroItem.Dynamic.Feet.SetE_B_Spirit,5179,Feet,DynamicHeroItemRuleSet.SetBonus_NoGemSlot,40.17.27,Feet_SetE_B_Spirit,false,datamine,,
ItemID.HeroItem.Dynamic.Hands.A_Crit,5181,Hands,DynamicHeroItemRuleSet.Default_NoGemSlot,22.22.40,Hands_A_Crit,false,datamine,,
ItemID.HeroItem.Dynamic.Hands.A_Expertise,5182,Hands,DynamicHeroItemRuleSet.Default_NoGemSlot,22.22.40,Hands_A_Expertise,false,datamine,,
ItemID.HeroItem.Dynamic.Hands.A_Haste,5183,Hands,DynamicHeroItemRuleSet.Default_NoGemSlot,22.22.40,Hands_A_Haste,false,datamine,,
ItemID.HeroItem.Dynamic.Hands.A_Spirit,5184,Hands,DynamicHeroItemRuleSet.Default_NoGemSlot,22.22.40,Hands_A_Spirit,false,datamine,,
ItemID.HeroItem.Dynamic.Hands.B_Expertise,5185,Hands,DynamicHeroItemRuleSet.Default_NoGemSlot,40.17.27,Hands_B_Expertise,false,datamine,,
ItemID.HeroItem.Dynamic.Hands.B_Haste,5186,Hands,DynamicHeroItemRuleSet.Default_NoGemSlot,40.17.27,Hands_B_Haste,false,datamine,,
ItemID.HeroItem.Dynamic.Hands.B_Spirit,5187,Hands,DynamicHeroItemRuleSet.Default_NoGemSlot,40.17.27,Hands_B_Spirit,false,datamine,,
ItemID.HeroItem.Dynamic.Hands.C_Crit,5188,Hands,DynamicHeroItemRuleSet.Default_NoGemSlot,28.28.28,Hands_C_Crit,false,datamine,,
ItemID.HeroItem.Dynamic.Hands.C_Expertise,5189,Hands,DynamicHeroItemRuleSet.Default_NoGemSlot,28.28.28,Hands_C_Expertise,false,datamine,,
ItemID.HeroItem.Dynamic.Hands.C_Haste,5190,Hands,DynamicHeroItemRuleSet.Default_NoGemSlot,28.28.28,Hands_C_Haste,false,datamine,,
ItemID.HeroItem.Dynamic.Hands.SetA_A_Haste,5191,Hands,DynamicHeroItemRuleSet.SetBonus_NoGemSlot,22.22.40,Hands_SetA_A_Haste,false,datamine,,
ItemID.HeroItem.Dynamic.Hands.SetA_C_Expertise,5192,Hands,DynamicHeroItemRuleSet.SetBonus_NoGemSlot,28.28.28,Hands_SetA_C_Expertise,false,datamine,,
ItemID.HeroItem.Dynamic.Hands.SetB_A_Crit,5193,Hands,DynamicHeroItemRuleSet.SetBonus_NoGemSlot,40.17.27,Hands_SetB_A_Crit,false,datamine,,
ItemID.HeroItem.Dynamic.Hands.SetB_C_Haste,5194,Hands,DynamicHeroItemRuleSet.SetBonus_NoGemSlot,28.28.28,Hands_SetB_C_Haste,false,datamine,,
ItemID.HeroItem.Dynamic.Hands.SetC_B_Crit,5195,Hands,DynamicHeroItemRuleSet.SetBonus_NoGemSlot,40.17.27,Hands_SetC_B_Crit,false,datamine,,
ItemID.HeroItem.Dynamic.Hands.SetC_B_Spirit,5196,Hands,DynamicHeroItemRuleSet.SetBonus_NoGemSlot,40.17.27,Hands_SetC_B_Spirit,false,datamine,,
ItemID.HeroItem.Dynamic.Hands.SetD_B_Spirit,5197,Hands,DynamicHeroItemRuleSet.SetBonus_NoGemSlot,40.17.27,Hands_SetD_B_Spirit,false,datamine,,
