id,ordinal,value
ItemID.HeroItem.Dynamic.Back.A_Crit,0,Level.ID.UrrakMarkets
ItemID.HeroItem.Dynamic.Back.A_Crit,1,Level.ID.SandTomb
ItemID.HeroItem.Dynamic.Back.A_Expertise,0,Level.ID.SnowPeak
ItemID.HeroItem.Dynamic.Back.A_Expertise,1,Level.ID.SandTomb
ItemID.HeroItem.Dynamic.Back.A_Spirit,0,Level.ID.FrozenKingdom
ItemID.HeroItem.Dynamic.Back.A_Spirit,1,Level.ID.SandTomb
ItemID.HeroItem.Dynamic.Back.B_Expertise,0,Level.ID.PirateRaid
ItemID.HeroItem.Dynamic.Back.B_Expertise,1,Level.ID.SandTomb
ItemID.HeroItem.Dynamic.Back.B_Spirit,0,Level.ID.NightPatrol
ItemID.HeroItem.Dynamic.Back.B_Spirit,1,Level.ID.SandTomb
ItemID.HeroItem.Dynamic.Back.C_Crit,0,Level.ID.MoorCastle
ItemID.HeroItem.Dynamic.Back.C_Crit,1,Level.ID.SandTomb
ItemID.HeroItem.Dynamic.Back.C_Expertise,0,Level.ID.SpiderForest
ItemID.HeroItem.Dynamic.Back.C_Expertise,1,Level.ID.SandTomb
ItemID.HeroItem.Dynamic.Back.C_Spirit,0,Level.ID.DesertDunes
ItemID.HeroItem.Dynamic.Back.C_Spirit,1,Level.ID.SandTomb
ItemID.HeroItem.Dynamic.Back.SetA_B_Crit,0,Level.ID.IceCave
ItemID.HeroItem.Dynamic.Back.SetA_B_Crit,1,Level.ID.SandTomb
ItemID.HeroItem.Dynamic.Back.SetA_C_Haste,0,Level.ID.ElfMines
ItemID.HeroItem.Dynamic.Back.SetA_C_Haste,1,Level.ID.SandTomb
ItemID.HeroItem.Dynamic.Back.SetB_A_Haste,0,Level.ID.MythicForest
ItemID.HeroItem.Dynamic.Back.SetB_A_Haste,1,Level.ID.SandTomb
ItemID.HeroItem.Dynamic.Back.SetB_C_Haste,0,Level.ID.UrrakMarkets
ItemID.HeroItem.Dynamic.Back.SetB_C_Haste,1,Level.ID.SandTomb
ItemID.HeroItem.Dynamic.Back.SetC_B_Haste,0,Level.ID.SpiderForest
ItemID.HeroItem.Dynamic.Back.SetC_B_Haste,1,Level.ID.SandTomb
ItemID.HeroItem.Dynamic.Back.SetC_C_Crit,0,Level.ID.NightPatrol
ItemID.HeroItem.Dynamic.Back.SetC_C_Crit,1,Level.ID.SandTomb
ItemID.HeroItem.Dynamic.Back.SetD_A_Expertise,0,Level.ID.DesertDunes
ItemID.HeroItem.Dynamic.Back.SetD_A_Expertise,1,Level.ID.SandTomb
ItemID.HeroItem.Dynamic.Back.SetD_B_Spirit,0,Level.ID.ShipGraveyard
ItemID.HeroItem.Dynamic.Back.SetD_B_Spirit,1,Level.ID.SandTomb
ItemID.HeroItem.Dynamic.Back.SetE_A_Expertise,0,Level.ID.SnowPeak
ItemID.HeroItem.Dynamic.Back.SetE_A_Expertise,1,Level.ID.SandTomb
ItemID.HeroItem.Dynamic.Back.SetE_B_Crit,0,Level.ID.MoorCastle
ItemID.HeroItem.Dynamic.Back.SetE_B_Crit,1,Level.ID.SandTomb
ItemID.HeroItem.Dynamic.Chest.A_Crit,0,Level.ID.SpiderForest
ItemID.HeroItem.Dynamic.Chest.A_Crit,1,Level.ID.SandTomb
ItemID.HeroItem.Dynamic.Chest.A_Spirit,0,Level.ID.PirateRaid
ItemID.HeroItem.Dynamic.Chest.A_Spirit,1,Level.ID.SandTomb
ItemID.HeroItem.Dynamic.Chest.B_Expertise,0,Level.ID.DemonicRitual
ItemID.HeroItem.Dynamic.Chest.B_Expertise,1,Level.ID.SandTomb
ItemID.HeroItem.Dynamic.Chest.B_Haste,0,Level.ID.IceCave
ItemID.HeroItem.Dynamic.Chest.B_Haste,1,Level.ID.SandTomb
ItemID.HeroItem.Dynamic.Chest.B_Spirit,0,Level.ID.SnowPeak
ItemID.HeroItem.Dynamic.Chest.B_Spirit,1,Level.ID.SandTomb
ItemID.HeroItem.Dynamic.Chest.C_Crit,0,Level.ID.ElfMines
ItemID.HeroItem.Dynamic.Chest.C_Crit,1,Level.ID.SandTomb
ItemID.HeroItem.Dynamic.Chest.C_Expertise,0,Level.ID.DesertDunes
ItemID.HeroItem.Dynamic.Chest.C_Expertise,1,Level.ID.SandTomb
ItemID.HeroItem.Dynamic.Chest.C_Haste,0,Level.ID.MythicForest
ItemID.HeroItem.Dynamic.Chest.C_Haste,1,Level.ID.SandTomb
ItemID.HeroItem.Dynamic.Chest.C_Spirit,0,Level.ID.VikingVillageAttack
ItemID.HeroItem.Dynamic.Chest.C_Spirit,1,Level.ID.SandTomb
ItemID.HeroItem.Dynamic.Chest.SetA_B_Crit,0,Level.ID.FrozenKingdom
ItemID.HeroItem.Dynamic.Chest.SetA_B_Crit,1,Level.ID.SandTomb
ItemID.HeroItem.Dynamic.Chest.SetB_A_Haste,0,Level.ID.DemonicRitual
ItemID.HeroItem.Dynamic.Chest.SetB_A_Haste,1,Level.ID.SandTomb
ItemID.HeroItem.Dynamic.Chest.SetC_B_Expertise,0,Level.ID.PirateRaid
ItemID.HeroItem.Dynamic.Chest.SetC_B_Expertise,1,Level.ID.SandTomb
ItemID.HeroItem.Dynamic.Chest.SetD_A_Spirit,0,Level.ID.VikingVillageAttack
ItemID.HeroItem.Dynamic.Chest.SetD_A_Spirit,1,Level.ID.SandTomb
ItemID.HeroItem.Dynamic.Feet.A_Crit,0,Level.ID.FrozenKingdom
ItemID.HeroItem.Dynamic.Feet.A_Crit,1,Level.ID.SandTomb
ItemID.HeroItem.Dynamic.Feet.A_Expertise,0,Level.ID.SnowPeak
ItemID.HeroItem.Dynamic.Feet.A_Expertise,1,Level.ID.SandTomb
ItemID.HeroItem.Dynamic.Feet.A_Haste,0,Level.ID.DemonicRitual
ItemID.HeroItem.Dynamic.Feet.A_Haste,1,Level.ID.SandTomb
ItemID.HeroItem.Dynamic.Feet.A_Spirit,0,Level.ID.NightPatrol
ItemID.HeroItem.Dynamic.Feet.A_Spirit,1,Level.ID.SandTomb
ItemID.HeroItem.Dynamic.Feet.B_Crit,0,Level.ID.VikingVillageAttack
ItemID.HeroItem.Dynamic.Feet.B_Crit,1,Level.ID.SandTomb
ItemID.HeroItem.Dynamic.Feet.B_Haste,0,Level.ID.SpiderForest
ItemID.HeroItem.Dynamic.Feet.B_Haste,1,Level.ID.SandTomb
ItemID.HeroItem.Dynamic.Feet.B_Spirit,0,Level.ID.ShipGraveyard
ItemID.HeroItem.Dynamic.Feet.B_Spirit,1,Level.ID.SandTomb
ItemID.HeroItem.Dynamic.Feet.C_Expertise,0,Level.ID.IceCave
ItemID.HeroItem.Dynamic.Feet.C_Expertise,1,Level.ID.SandTomb
ItemID.HeroItem.Dynamic.Feet.C_Haste,0,Level.ID.PirateRaid
ItemID.HeroItem.Dynamic.Feet.C_Haste,1,Level.ID.SandTomb
ItemID.HeroItem.Dynamic.Feet.C_Spirit,0,Level.ID.UrrakMarkets
ItemID.HeroItem.Dynamic.Feet.C_Spirit,1,Level.ID.SandTomb
ItemID.HeroItem.Dynamic.Feet.SetA_A_Spirit,0,Level.ID.IceCave
ItemID.HeroItem.Dynamic.Feet.SetA_A_Spirit,1,Level.ID.SandTomb
ItemID.HeroItem.Dynamic.Feet.SetA_C_Crit,0,Level.ID.ElfMines
ItemID.HeroItem.Dynamic.Feet.SetA_C_Crit,1,Level.ID.SandTomb
ItemID.HeroItem.Dynamic.Feet.SetB_C_Crit,0,Level.ID.UrrakMarkets
ItemID.HeroItem.Dynamic.Feet.SetB_C_Crit,1,Level.ID.SandTomb
ItemID.HeroItem.Dynamic.Feet.SetB_Expertise,0,Level.ID.MythicForest
ItemID.HeroItem.Dynamic.Feet.SetB_Expertise,1,Level.ID.SandTomb
ItemID.HeroItem.Dynamic.Feet.SetC_B_Expertise,0,Level.ID.SpiderForest
ItemID.HeroItem.Dynamic.Feet.SetC_B_Expertise,1,Level.ID.SandTomb
ItemID.HeroItem.Dynamic.Feet.SetC_C_Crit,0,Level.ID.NightPatrol
ItemID.HeroItem.Dynamic.Feet.SetC_C_Crit,1,Level.ID.SandTomb
ItemID.HeroItem.Dynamic.Feet.SetD_B_Haste,0,Level.ID.DesertDunes
ItemID.HeroItem.Dynamic.Feet.SetD_B_Haste,1,Level.ID.SandTomb
ItemID.HeroItem.Dynamic.Feet.SetD_C_Haste,0,Level.ID.ShipGraveyard
ItemID.HeroItem.Dynamic.Feet.SetD_C_Haste,1,Level.ID.SandTomb
ItemID.HeroItem.Dynamic.Feet.SetE_A_Expertise,0,Level.ID.SnowPeak
ItemID.HeroItem.Dynamic.Feet.SetE_A_Expertise,1,Level.ID.SandTomb
ItemID.HeroItem.Dynamic.Feet.SetE_B_Spirit,0,Level.ID.MoorCastle
ItemID.HeroItem.Dynamic.Feet.SetE_B_Spirit,1,Level.ID.SandTomb
ItemID.HeroItem.Dynamic.Hands.A_Crit,0,Level.ID.PirateRaid
ItemID.HeroItem.Dynamic.Hands.A_Crit,1,Level.ID.SandTomb
ItemID.HeroItem.Dynamic.Hands.A_Expertise,0,Level.ID.MythicForest
ItemID.HeroItem.Dynamic.Hands.A_Expertise,1,Level.ID.SandTomb
ItemID.HeroItem.Dynamic.Hands.A_Haste,0,Level.ID.SnowPeak
ItemID.HeroItem.Dynamic.Hands.A_Haste,1,Level.ID.SandTomb
ItemID.HeroItem.Dynamic.Hands.A_Spirit,0,Level.ID.SpiderForest
ItemID.HeroItem.Dynamic.Hands.A_Spirit,1,Level.ID.SandTomb
ItemID.HeroItem.Dynamic.Hands.B_Expertise,0,Level.ID.ShipGraveyard
ItemID.HeroItem.Dynamic.Hands.B_Expertise,1,Level.ID.SandTomb
ItemID.HeroItem.Dynamic.Hands.B_Haste,0,Level.ID.FrozenKingdom
ItemID.HeroItem.Dynamic.Hands.B_Haste,1,Level.ID.SandTomb
ItemID.HeroItem.Dynamic.Hands.B_Spirit,0,Level.ID.VikingVillageAttack
ItemID.HeroItem.Dynamic.Hands.B_Spirit,1,Level.ID.SandTomb
ItemID.HeroItem.Dynamic.Hands.C_Crit,0,Level.ID.MoorCastle
ItemID.HeroItem.Dynamic.Hands.C_Crit,1,Level.ID.SandTomb
ItemID.HeroItem.Dynamic.Hands.C_Expertise,0,Level.ID.DemonicRitual
ItemID.HeroItem.Dynamic.Hands.C_Expertise,1,Level.ID.SandTomb
ItemID.HeroItem.Dynamic.Hands.C_Haste,0,Level.ID.ElfMines
ItemID.HeroItem.Dynamic.Hands.C_Haste,1,Level.ID.SandTomb
ItemID.HeroItem.Dynamic.Hands.SetA_A_Haste,0,Level.ID.IceCave
ItemID.HeroItem.Dynamic.Hands.SetA_A_Haste,1,Level.ID.SandTomb
ItemID.HeroItem.Dynamic.Hands.SetA_C_Expertise,0,Level.ID.ElfMines
ItemID.HeroItem.Dynamic.Hands.SetA_C_Expertise,1,Level.ID.SandTomb
ItemID.HeroItem.Dynamic.Hands.SetB_A_Crit,0,Level.ID.MythicForest
ItemID.HeroItem.Dynamic.Hands.SetB_A_Crit,1,Level.ID.SandTomb
ItemID.HeroItem.Dynamic.Hands.SetB_C_Haste,0,Level.ID.UrrakMarkets
ItemID.HeroItem.Dynamic.Hands.SetB_C_Haste,1,Level.ID.SandTomb
ItemID.HeroItem.Dynamic.Hands.SetC_B_Crit,0,Level.ID.NightPatrol
ItemID.HeroItem.Dynamic.Hands.SetC_B_Crit,1,Level.ID.SandTomb
ItemID.HeroItem.Dynamic.Hands.SetC_B_Spirit,0,Level.ID.SpiderForest
ItemID.HeroItem.Dynamic.Hands.SetC_B_Spirit,1,Level.ID.SandTomb
ItemID.HeroItem.Dynamic.Hands.SetD_B_Spirit,0,Level.ID.DesertDunes
ItemID.HeroItem.Dynamic.Hands.SetD_B_Spirit,1,Level.ID.SandTomb
ItemID.HeroItem.Dynamic.Hands.SetD_C_Expertise,0,Level.ID.ShipGraveyard
ItemID.HeroItem.Dynamic.Hands.SetD_C_Expertise,1,Level.ID.SandTomb
ItemID.HeroItem.Dynamic.Hands.SetE_A_Spirit,0,Level.ID.SnowPeak
ItemID.HeroItem.Dynamic.Hands.SetE_A_Spirit,1,Level.ID.SandTomb
ItemID.HeroItem.Dynamic.Hands.SetE_B_Crit,0,Level.ID.MoorCastle
ItemID.HeroItem.Dynamic.Hands.SetE_B_Crit,1,Level.ID.SandTomb
ItemID.HeroItem.Dynamic.Head.A_Crit,0,Level.ID.FrozenKingdom
ItemID.HeroItem.Dynamic.Head.A_Crit,1,Level.ID.SandTomb
ItemID.HeroItem.Dynamic.Head.A_Expertise,0,Level.ID.PirateRaid
ItemID.HeroItem.Dynamic.Head.A_Expertise,1,Level.ID.SandTomb
ItemID.HeroItem.Dynamic.Head.A_Haste,0,Level.ID.DesertDunes
ItemID.HeroItem.Dynamic.Head.A_Haste,1,Level.ID.SandTomb
ItemID.HeroItem.Dynamic.Head.B_Crit,0,Level.ID.NightPatrol
ItemID.HeroItem.Dynamic.Head.B_Crit,1,Level.ID.SandTomb
ItemID.HeroItem.Dynamic.Head.B_Expertise,0,Level.ID.VikingVillageAttack
ItemID.HeroItem.Dynamic.Head.B_Expertise,1,Level.ID.SandTomb
