key,ordinal,value
armor_types,0,Plate
armor_types,1,Mail
armor_types,2,Leather
armor_types,3,Cloth
armor_types,4,None
gem_socket_tiers,0,NoSocketTier
gem_socket_tiers,1,SocketTier1
gem_socket_tiers,2,SocketTier2
gem_socket_tiers,3,SocketTier3
gem_socket_tiers,4,SocketTier4
rarities,0,Common
rarities,1,Uncommon
rarities,2,Rare
rarities,3,Epic
rarities,4,Champion
rarities,5,Heroic
rarities,6,Legendary
rollable_stats,0,Stamina
rollable_stats,1,Strength
rollable_stats,2,Intellect
rollable_stats,3,Agility
rollable_stats,4,CritChance
rollable_stats,5,Haste
rollable_stats,6,Expertise
rollable_stats,7,Spirit
slots,0,Head
slots,1,Necklace
slots,2,Shoulders
slots,3,Back
slots,4,Chest
slots,5,Wrists
slots,6,Hands
slots,7,Waist
slots,8,Feet
slots,9,Ring
slots,10,Trinket
slots,11,Weapon
