id,character_id,display_name,category,armor_type,is_combat_enemy,kill_score,spirit_point_value,base_health,base_health_multiplier,provenance_origin,provenance_dev_name,provenance_source,provenance_source_authority
BP_NPC_CM_RubiliteTriggerstone,,Rubilite Triggerstone,,,false,,,,,datamine,,,legacy_unbound
BP_NPC_EM_BossGiantTroll_SingleEntranceBlocker,,,,,false,,,,,datamine,,,legacy_unbound
BP_NPC_Shared_Environment,,Environment,,,false,,,,,datamine,,,legacy_unbound
BP_NPC_UB_BossArchbishop_EntranceBlocker,,,,,false,,,,,datamine,,,legacy_unbound
CM_BlackburnMantrader,CM_BlackburnMantrader,Blackburn Mantrader,Enemy,Leather,true,4.0,4.0,,2.4163,datamine,,,legacy_unbound
CM_BossAina,CM_BossAina,Slavetrader Brull,Boss,Leather,true,0.0,30.0,32000.0,,datamine,,,legacy_unbound
CM_BossTroll,CM_BossTroll,Heig the Chained,Boss,,true,0.0,30.0,48000.0,,datamine,,,legacy_unbound
CM_BossWhisperingCore,CM_BossWhisperingCore,Whispering Core,Boss,,true,0.0,30.0,45000.0,,datamine,,,legacy_unbound
CM_BossYrsa,CM_BossYrsa,Overseer Yrsa,Boss,Leather,true,0.0,30.0,32000.0,,datamine,,,legacy_unbound
CM_ChargedConstruct,CM_ChargedConstruct,Fractal Golem,Enemy,Leather,true,3.0,3.0,,2.4219,datamine,,,legacy_unbound
CM_ChargedConstructGhost,CM_ChargedConstructGhost,,Enemy,,true,0.0,1.0,,0.5232,datamine,,,legacy_unbound
CM_EarthElemental,CM_EarthElemental,Enraged Earth Elemental,Elite,Leather,true,7.0,7.0,,5.9325,datamine,,,legacy_unbound
CM_ElfEnforcer,CM_ElfEnforcer,Enforcer,Elite,,true,5.0,5.0,,4.343,datamine,,,legacy_unbound
CM_ElfGoon,CM_ElfGoon,Dredge,Enemy,Plate,true,1.0,1.0,,1.3243,datamine,,,legacy_unbound
CM_ElfInterrogator,CM_ElfInterrogator,Quarry Stalker,Elite,Leather,true,2.0,2.0,,1.8972,datamine,,,legacy_unbound
CM_ElfLookout,CM_ElfLookout,Nezari Bolter,Elite,Leather,true,2.0,2.0,,1.8122,datamine,,,legacy_unbound
CM_ElfTaskmaster,CM_ElfTaskmaster,Task Master,Elite,Leather,true,4.0,4.0,,3.0595,datamine,,,legacy_unbound
CM_ElfWarden,CM_ElfWarden,Arcane Warden,Elite,Leather,true,4.0,4.0,,2.9436,datamine,,,legacy_unbound
CM_ImpatientBrawler,CM_ImpatientBrawler,Impatient Brawler,Enemy,Leather,true,1.0,1.0,,2.1084,datamine,,,legacy_unbound
CM_ReflectedHero,CM_ReflectedHero,Cursed Reflection,,,true,0.0,0.0,,0.6367,datamine,,,legacy_unbound
CM_RubiliteAurastone,CM_RubiliteAurastone,Godfall Wardstone,Enemy,,true,2.0,2.0,,1.2809,datamine,,,legacy_unbound
CM_RubiliteFocus,CM_RubiliteFocus,Rubilite Focus,Enemy,Leather,true,1.0,1.0,,1.2809,datamine,,,legacy_unbound
CM_VolatileConstruct,CM_VolatileConstruct,Volatile Rubilite,Elite,Leather,true,2.0,2.0,,2.3226,datamine,,,legacy_unbound
Critter_Chicken,Critter_Chicken,Chicken,Enemy,Plate,true,0.0,0.0,,0.5,datamine,,,legacy_unbound
DD_Arbalist,DD_Arbalist,Dunesnare Hunter,Elite,Leather,true,3.0,3.0,,2.3586,datamine,,,legacy_unbound
DD_DesertBrute,DD_DesertBrute,Gravebreaker Brute,Enemy,,true,5.0,5.0,,4.156,datamine,,,legacy_unbound
DD_DesertNomad,DD_DesertNomad,Sandsworn Husk,Enemy,Leather,true,2.0,2.0,,2.0612,datamine,,,legacy_unbound
DD_DesertWarrior,DD_DesertWarrior,Tombguard Reaver,Elite,Plate,true,3.0,3.0,,3.2715,datamine,,,legacy_unbound
