id,ordinal,value
CM_BossTroll,0,CharacterStatus.Immobilized
CM_BossTroll,1,CharacterStatus.IgnoreRotationInput
CM_BossWhisperingCore,0,CharacterStatus.IgnoreOutOfWorldBounds
CM_RubiliteAurastone,0,CharacterStatus.Immobilized
CM_RubiliteAurastone,1,CharacterStatus.IgnoreRotationInput
DR_BarbedRoot,0,CharacterStatus.IgnorePush
EM_BossGiantTroll,0,CharacterStatus.IgnoreOutOfWorldBounds
EM_BossGiantTroll,1,CharacterStatus.Immobilized
EM_BossGiantTroll,2,CharacterStatus.IgnoreRotationInput
EM_BossGiantTroll,3,CharacterStatus.AlwaysBehind
EM_BossVaerith,0,CharacterStatus.IgnoreOutOfWorldBounds
FK_ElfCleric,0,GameplayCue.Shared.StunImmune
FM_AshenArsonist,0,Quest.CustomActorTags.FM.Orc.AshenArsonist
FM_Bear,0,Quest.CustomActorTags.FM.Bear
FM_Facestabber,0,Quest.CustomActorTags.FM.Golbin.Facestabber
FM_FrenziedLooter,0,Quest.CustomActorTags.FM.Golbin.FrenziedLooter
FM_Invoker,0,Quest.CustomActorTags.FM.Orc.Invoker
FM_Pillager,0,Quest.CustomActorTags.FM.Orc.Pillager
FM_RotheartRecluse,0,Quest.CustomActorTags.FM.Spider.RotheartRecluse
FM_Shinchopper,0,Quest.CustomActorTags.FM.Golbin.Shinchopper
FM_Spiderling,0,Quest.CustomActorTags.FM.Spider.Spiderling
FM_Stag,0,Quest.CustomActorTags.FM.Stag
FM_Wolf,0,Quest.CustomActorTags.FM.KillWolves.Wolf
MF_BossTotem,0,CharacterStatus.Immobilized
MF_BossTotem,1,GameplayEffect.CCImmune
MF_DawnstoneGuardian,0,GameplayEffect.CCImmune
MF_Totem,0,CharacterStatus.Immobilized
MF_Totem,1,GameplayEffect.CCImmune
NP_BossHellcaller,0,CharacterStatus.IgnoreLeash
PR_Shark,0,CharacterStatus.IgnoreOutOfWorldBounds
PR_SpectralSwab,0,CharacterStatus.ForceHideOverheadWidget
Shared_PolymorphChickenMedium,0,CharacterStatus.Polymorphed
UB_DefendingArcher,0,CustomAssetTags.UB.NecroticMass.DiesToSpawnExplosion
UB_DefendingCleric,0,CustomAssetTags.UB.NecroticMass.DiesToSpawnExplosion
UB_DefendingKnight,0,CustomAssetTags.UB.NecroticMass.DiesToSpawnExplosion
VV_BlackmistShadow,0,GameplayEffect.CCImmune
VV_BlackmistShadowMinion,0,GameplayEffect.CCImmune
VV_BossChilgarLargeOrb,0,CharacterStatus.IgnoreLeash
VV_BossFrostTroll_IceBlock,0,CustomAssetTags.VV.IceBlock
VV_BossVikingMystic_RuneMinion1,0,GameplayEffect.CCImmune
VV_IcebiteReaver,0,GameplayEffect.CCImmune
