id,encoding,x,value
BP_NPC_CM_RubiliteTriggerstone,dense,1.0,1.0
BP_NPC_CM_RubiliteTriggerstone,dense,2.0,1.31
BP_NPC_CM_RubiliteTriggerstone,dense,3.0,1.85
BP_NPC_CM_RubiliteTriggerstone,dense,4.0,2.6
BP_NPC_CM_RubiliteTriggerstone,dense,5.0,3.67
BP_NPC_CM_RubiliteTriggerstone,dense,6.0,4.05
BP_NPC_CM_RubiliteTriggerstone,dense,7.0,4.66
BP_NPC_CM_RubiliteTriggerstone,dense,8.0,6.11
BP_NPC_CM_RubiliteTriggerstone,dense,9.0,8.0
BP_NPC_CM_RubiliteTriggerstone,dense,10.0,10.49
BP_NPC_CM_RubiliteTriggerstone,dense,11.0,11.23
BP_NPC_CM_RubiliteTriggerstone,dense,12.0,11.96
BP_NPC_CM_RubiliteTriggerstone,dense,13.0,14.47
BP_NPC_CM_RubiliteTriggerstone,dense,14.0,17.51
BP_NPC_CM_RubiliteTriggerstone,dense,15.0,21.18
BP_NPC_CM_RubiliteTriggerstone,dense,16.0,21.92
BP_NPC_CM_RubiliteTriggerstone,dense,17.0,22.98
BP_NPC_CM_RubiliteTriggerstone,dense,18.0,26.77
BP_NPC_CM_RubiliteTriggerstone,dense,19.0,31.19
BP_NPC_CM_RubiliteTriggerstone,dense,20.0,36.34
BP_NPC_CM_RubiliteTriggerstone,dense,21.0,37.37
BP_NPC_CM_RubiliteTriggerstone,dense,22.0,39.61
BP_NPC_CM_RubiliteTriggerstone,dense,23.0,41.99
BP_NPC_CM_RubiliteTriggerstone,dense,24.0,44.51
BP_NPC_CM_RubiliteTriggerstone,dense,25.0,47.18
BP_NPC_CM_RubiliteTriggerstone,dense,26.0,50.01
BP_NPC_CM_RubiliteTriggerstone,dense,27.0,53.01
BP_NPC_CM_RubiliteTriggerstone,dense,28.0,56.19
BP_NPC_CM_RubiliteTriggerstone,dense,29.0,59.56
BP_NPC_CM_RubiliteTriggerstone,dense,30.0,63.13
BP_NPC_CM_RubiliteTriggerstone,dense,31.0,66.92
BP_NPC_CM_RubiliteTriggerstone,dense,32.0,68.93
BP_NPC_CM_RubiliteTriggerstone,dense,33.0,71.0
BP_NPC_CM_RubiliteTriggerstone,dense,34.0,73.12
BP_NPC_CM_RubiliteTriggerstone,dense,35.0,75.32
BP_NPC_CM_RubiliteTriggerstone,dense,36.0,77.58
BP_NPC_CM_RubiliteTriggerstone,dense,37.0,79.91
BP_NPC_CM_RubiliteTriggerstone,dense,38.0,81.5
BP_NPC_CM_RubiliteTriggerstone,dense,39.0,83.13
BP_NPC_CM_RubiliteTriggerstone,dense,40.0,84.8
BP_NPC_CM_RubiliteTriggerstone,dense,41.0,86.49
BP_NPC_CM_RubiliteTriggerstone,dense,42.0,88.22
BP_NPC_CM_RubiliteTriggerstone,dense,43.0,89.99
BP_NPC_CM_RubiliteTriggerstone,dense,44.0,91.79
BP_NPC_CM_RubiliteTriggerstone,dense,45.0,93.62
BP_NPC_CM_RubiliteTriggerstone,dense,46.0,95.49
