id,ordinal,value
BP_NPC_CM_RubiliteTriggerstone,0,CrystalMines
BP_NPC_EM_BossGiantTroll_SingleEntranceBlocker,0,ElfMines
BP_NPC_Shared_Environment,0,Shared
BP_NPC_UB_BossArchbishop_EntranceBlocker,0,UndeadBattlefield
CM_BlackburnMantrader,0,CrystalMines
CM_BossAina,0,CrystalMines
CM_BossTroll,0,CrystalMines
CM_BossWhisperingCore,0,CrystalMines
CM_BossYrsa,0,CrystalMines
CM_ChargedConstruct,0,CrystalMines
CM_ChargedConstructGhost,0,CrystalMines
CM_EarthElemental,0,CrystalMines
CM_ElfEnforcer,0,CrystalMines
CM_ElfGoon,0,CrystalMines
CM_ElfInterrogator,0,CrystalMines
CM_ElfLookout,0,CrystalMines
CM_ElfTaskmaster,0,CrystalMines
CM_ElfWarden,0,CrystalMines
CM_ImpatientBrawler,0,CrystalMines
CM_ReflectedHero,0,CrystalMines
CM_RubiliteAurastone,0,CrystalMines
CM_RubiliteFocus,0,CrystalMines
CM_VolatileConstruct,0,CrystalMines
Critter_Chicken,0,Critters
DD_Arbalist,0,DesertDunes
DD_DesertBrute,0,DesertDunes
DD_DesertNomad,0,DesertDunes
DD_DesertWarrior,0,DesertDunes
DD_NightboundMagi,0,DesertDunes
DD_WitheringMagi,0,DesertDunes
DR_BarbedRoot,0,DemonicRitual
DR_BloodfangMauler,0,DemonicRitual
DR_BossCultLeader,0,DemonicRitual
DR_BossDemonPlant,0,DemonicRitual
DR_BossGateWizard,0,DemonicRitual
DR_BossSummonedDemon_Portal,0,DemonicRitual
DR_BurningDemon,0,DemonicRitual
DR_CultistCaster,0,DemonicRitual
DR_CultistInitiate,0,DemonicRitual
DR_CultistMajorCaster,0,DemonicRitual
DR_CultistSickle,0,DemonicRitual
DR_DangerousBrute,0,DemonicRitual
DR_FlyingImp,0,DemonicRitual
DR_HornedDemon,0,DemonicRitual
DR_Mancatcher,0,DemonicRitual
DR_Ritualist,0,DemonicRitual
DR_RuinsLasher,0,DemonicRitual
DR_Slaughtervine,0,DemonicRitual
DR_WaveSummoner,0,DemonicRitual
EM_BossGiantTroll,0,ElfMines
EM_BossVaerith,0,ElfMines
FK_BossElfDragon,0,FrozenKingdom
FK_BossFreezingWaterLord,0,FrozenKingdom
FK_BossMirroredRangerCaptain,0,FrozenKingdom
FK_BossRangerCaptain,0,FrozenKingdom
FK_ElfCleric,0,FrozenKingdom
FK_ElfDuelist,0,FrozenKingdom
FK_ElfGoon,0,FrozenKingdom
FK_ElfGuard,0,FrozenKingdom
FK_ElfIllusionist,0,FrozenKingdom
FK_ElfRanger,0,FrozenKingdom
FK_IceGolem,0,FrozenKingdom
FK_IceShardling,0,FrozenKingdom
FK_IceShardling,1,IceCave
FM_AshenArsonist,0,ForestMeadow
FM_Bear,0,ForestMeadow
FM_BullyBasher,0,ForestMeadow
FM_Facestabber,0,ForestMeadow
FM_FrenziedLooter,0,ForestMeadow
FM_GravesnareKidnapper,0,ForestMeadow
FM_Invoker,0,ForestMeadow
FM_Pillager,0,ForestMeadow
FM_RotheartRecluse,0,ForestMeadow
FM_Shinchopper,0,ForestMeadow
FM_Slaver,0,ForestMeadow
FM_Spiderling,0,ForestMeadow
FM_Stag,0,ForestMeadow
FM_Wolf,0,ForestMeadow
IC_Assassin,0,IceCave
IC_BossMagistrate,0,IceCave
IC_GlacialSprite,0,IceCave
IC_GreaterIceElemental,0,IceCave
IC_Healer,0,IceCave
IC_Lookout,0,IceCave
JS_NPCRime,0,JourneyToStronghold
JS_NPCSylvie,0,JourneyToStronghold
JS_TutorialGoblin,0,JourneyToStronghold
JS_TutorialOrc,0,JourneyToStronghold
JS_TutorialOrcCaster,0,JourneyToStronghold
JS_TutorialSmallGoblin,0,JourneyToStronghold
JS_TutorialTroll,0,JourneyToStronghold
MC_BloodAnimation,0,MoorCastle
MC_BloodCaster,0,MoorCastle
MC_BloodCrystal,0,MoorCastle
MC_BloodGrunt,0,MoorCastle
MC_BloodGuard,0,MoorCastle
MC_BloodHound,0,MoorCastle
MC_BloodSummoner,0,MoorCastle
MC_BossGuardian,0,MoorCastle
MC_WanderingGhostGuard,0,MoorCastle
MC_WanderingGhostPriest,0,MoorCastle
MC_WanderingGhostWarrior,0,MoorCastle
MF_BlightedMorningGlory,0,MythicForest
MF_BossNecrolord,0,MythicForest
MF_BossTotem,0,MythicForest
MF_BossUnicorn,0,MythicForest
MF_DawnstoneGuardian,0,MythicForest
MF_FoulTotemic,0,MythicForest
MF_MangyBrute,0,MythicForest
MF_Skittershard,0,MythicForest
MF_Totem,0,MythicForest
NP_BossHellcaller,0,NightPatrol
NP_BullyBasher,0,NightPatrol
NP_Facestabber,0,NightPatrol
NP_HalfMancatcher,0,NightPatrol
NP_Shinchopper,0,NightPatrol
NP_Stormscreamer,0,NightPatrol
PR_BarbarousLasher,0,PirateRaid
PR_Bilgerat,0,PirateRaid
PR_BlunderbussPirate,0,PirateRaid
PR_BossAnchor,0,PirateRaid
PR_BossPirateCaptain,0,PirateRaid
PR_BossTreasureDemon,0,PirateRaid
PR_CannonPirate,0,PirateRaid
PR_GoldenConstructVolatile,0,PirateRaid
PR_PirateGrunt,0,PirateRaid
PR_PossessedArmor,0,PirateRaid
PR_Scallywag,0,PirateRaid
PR_Shark,0,PirateRaid
PR_ShipRat,0,PirateRaid
PR_SpectralSwab,0,PirateRaid
PR_Swashbuckler,0,PirateRaid
PR_TigerCat,0,PirateRaid
PR_WaterCaster,0,PirateRaid
SG_BossSiren,0,ShipGraveyard
SG_CoralLasher,0,ShipGraveyard
SG_DrownedSailor,0,ShipGraveyard
SG_EchoingSpirit,0,ShipGraveyard
SG_EchoingSpiritGhost,0,ShipGraveyard
SG_GhostCorpse,0,ShipGraveyard
SG_GhostEruptor,0,ShipGraveyard
SG_GhostFerventSoldier,0,ShipGraveyard
SG_GhostOrc,0,ShipGraveyard
SG_WaterElemental,0,ShipGraveyard
SH_BossSpider,0,SilkenHollow
SH_CarrionHorror,0,SilkenHollow
SH_Eggbearer,0,SilkenHollow
SH_GravesnareKidnapper,0,SilkenHollow
SH_QuiveringEggSac,0,SilkenHollow
SH_RotheartRecluse,0,SilkenHollow
SH_Spiderling,0,SilkenHollow
SH_Venomdrinker,0,SilkenHollow
SP_BossMarcass,0,SnowPeak
SP_FrostWolf,0,SnowPeak
SP_PolarBear,0,SnowPeak
ST_BigBloodElemental,0,SandTomb
ST_BloodBrute,0,SandTomb
ST_BloodCreation,0,SandTomb
ST_BloodCreationBig,0,SandTomb
ST_BloodOrb,0,SandTomb
ST_BossArbiter,0,SandTomb
ST_BossArbiterIllusion,0,SandTomb
ST_BossDefenseEye,0,SandTomb
ST_BossGateKeeper,0,SandTomb
ST_SanguineCrusher,0,SandTomb
ST_SmallBloodElemental,0,SandTomb
Shared_PolymorphChickenLarge,0,Critters
Shared_PolymorphChickenMedium,0,Critters
Shared_PolymorphChickenSmall,0,Critters
UB_BossLifebringer,0,UndeadBattlefield
UB_BossLifebringerCaster,0,UndeadBattlefield
UB_BossLifebringerLunatic,0,UndeadBattlefield
UB_BossLifebringerWarrior,0,UndeadBattlefield
UB_BossMarcassCreeMinion,0,UndeadBattlefield
UB_BossOperator,0,UndeadBattlefield
UB_BossSiegeGraveyard,0,UndeadBattlefield
UB_BossWarMachine,0,UndeadBattlefield
UB_DefendingArcher,0,UndeadBattlefield
UB_DefendingCleric,0,UndeadBattlefield
UB_DefendingKnight,0,UndeadBattlefield
UB_FallenCleric,0,UndeadBattlefield
UB_FerventSoldier,0,UndeadBattlefield
UB_MinionRepairBot,0,UndeadBattlefield
UB_NecroticMass,0,UndeadBattlefield
UB_RaisedKnight,0,UndeadBattlefield
UB_ReanimatedArcher,0,UndeadBattlefield
UB_SoulstainedShambler,0,UndeadBattlefield
UC_BossArchbishop,0,UndeadBattlefield
UC_EvilSpirit,0,UndeadCathedral
UC_RottenWretchHands,0,UndeadCathedral
UM_BossDrazhulTheFleshbroker,0,UrrakMarkets
UM_BossSladetraderBrull,0,UrrakMarkets
UM_Desecrater,0,UrrakMarkets
UM_GorestainedButcher,0,UrrakMarkets
UM_HornedSeer,0,UrrakMarkets
UM_Outrunner,0,UrrakMarkets
UM_SlaveCage,0,UrrakMarkets
UM_UrrakSlaver,0,UrrakMarkets
UM_UrrakWitch,0,UrrakMarkets
VV_BlackburnMystic,0,VikingVillage
VV_BlackburnSlaver,0,VikingVillage
VV_BlackmistCutthroat,0,VikingVillage
VV_BlackmistShadow,0,VikingVillage
VV_BlackmistShadowMinion,0,VikingVillage
VV_BlackmistWhisperer,0,VikingVillage
VV_BossChilgar,0,VikingVillage
VV_BossChilgarLargeOrb,0,VikingVillage
VV_BossFrostTroll,0,VikingVillage
VV_BossFrostTroll_IceBlock,0,VikingVillage
VV_BossKaldursonFire,0,VikingVillage
VV_BossKaldursonIce,0,VikingVillage
VV_BossVikingMystic,0,VikingVillage
VV_BossVikingMystic_RuneMinion1,0,VikingVillage
VV_ChilgarSpike,0,VikingVillage
VV_ColdbrineFiend,0,VikingVillage
VV_CravenHiisi,0,VikingVillage
VV_FrenziedLooter,0,VikingVillage
VV_IcebitePillager,0,VikingVillage
VV_IcebiteReaver,0,VikingVillage
VV_SootstainedArsonist,0,VikingVillage
