id,ordinal,value
SetA_Percentage_DH,0,Intellect
SetA_Percentage_T,0,Strength
SetA_Percentage_T,1,Agility
SetA_Percentage_T,2,Intellect
SetA_Proc_Agility,0,Agility
SetA_Proc_Intellect,0,Intellect
SetA_Proc_Strength,0,Strength
SetB_Percentage_HDT,0,Strength
SetB_Percentage_HDT,1,Agility
SetB_Percentage_HDT,2,Intellect
SetB_Proc_HDT,0,Strength
SetB_Proc_HDT,1,Agility
SetB_Proc_HDT,2,Intellect
SetC_Percentage_D,0,Strength
SetC_Percentage_D,1,Agility
SetC_Percentage_D,2,Intellect
SetC_Percentage_H,0,Strength
SetC_Percentage_H,1,Agility
SetC_Percentage_H,2,Intellect
SetC_Percentage_T,0,Strength
SetC_Percentage_T,1,Agility
SetC_Percentage_T,2,Intellect
SetC_Proc_Agility,0,Agility
SetC_Proc_Intellect,0,Intellect
SetC_Proc_Strength,0,Strength
SetD_Percentage_D,0,Strength
SetD_Percentage_D,1,Agility
SetD_Percentage_D,2,Intellect
SetD_Percentage_H,0,Strength
SetD_Percentage_H,1,Agility
SetD_Percentage_H,2,Intellect
SetD_Percentage_T,0,Strength
SetD_Percentage_T,1,Agility
SetD_Percentage_T,2,Intellect
SetD_Proc_Agility,0,Agility
SetD_Proc_Intellect,0,Intellect
SetD_Proc_Strength,0,Strength
SetE_Percentage_HDT,0,Strength
SetE_Percentage_HDT,1,Agility
SetE_Percentage_HDT,2,Intellect
