id,namespace,tag,numeric_id,provenance_origin,provenance_dev_name,provenance_source,provenance_source_authority
CRAICharacter/BP_BossTest,CRAICharacter,BP_BossTest,2,datamine,,,legacy_unbound
CRAICharacter/BP_Debug_NPC_AoeActorSpawner,CRAICharacter,BP_Debug_NPC_AoeActorSpawner,238,datamine,,,legacy_unbound
CRAICharacter/BP_Debug_NPC_NoAggro,CRAICharacter,BP_Debug_NPC_NoAggro,236,datamine,,,legacy_unbound
CRAICharacter/BP_DungeonModifier_AnomalousOrbs_Orb,CRAICharacter,BP_DungeonModifier_AnomalousOrbs_Orb,286,datamine,,,legacy_unbound
CRAICharacter/BP_FM_BigSpider,CRAICharacter,BP_FM_BigSpider,309,datamine,,,legacy_unbound
CRAICharacter/BP_FM_Chicken,CRAICharacter,BP_FM_Chicken,307,datamine,,,legacy_unbound
CRAICharacter/BP_FriendTest,CRAICharacter,BP_FriendTest,1,datamine,,,legacy_unbound
CRAICharacter/BP_Hero_Meiko_TauntTotem,CRAICharacter,BP_Hero_Meiko_TauntTotem,260,datamine,,,legacy_unbound
CRAICharacter/BP_NPC_AnimDebug_Cadavrian_Caster,CRAICharacter,BP_NPC_AnimDebug_Cadavrian_Caster,239,datamine,,,legacy_unbound
CRAICharacter/BP_NPC_Beastkin_Prototype,CRAICharacter,BP_NPC_Beastkin_Prototype,106,datamine,,,legacy_unbound
CRAICharacter/BP_NPC_CM_BlackburnMantrader,CRAICharacter,BP_NPC_CM_BlackburnMantrader,259,datamine,,,legacy_unbound
CRAICharacter/BP_NPC_CM_BossTroll,CRAICharacter,BP_NPC_CM_BossTroll,258,datamine,,,legacy_unbound
CRAICharacter/BP_NPC_CM_BossTroll_renaed,CRAICharacter,BP_NPC_CM_BossTroll_renaed,289,datamine,,,legacy_unbound
CRAICharacter/BP_NPC_CM_BossTwins_Aina,CRAICharacter,BP_NPC_CM_BossTwins_Aina,257,datamine,,,legacy_unbound
CRAICharacter/BP_NPC_CM_BossTwins_Yrsa,CRAICharacter,BP_NPC_CM_BossTwins_Yrsa,256,datamine,,,legacy_unbound
CRAICharacter/BP_NPC_CM_BossWhisperingCore,CRAICharacter,BP_NPC_CM_BossWhisperingCore,255,datamine,,,legacy_unbound
