id,hero,numeric_id,name,description,tier_row,unlock_level,point_cost,icon_id,icon_kind,icon_width,icon_height,provenance_origin,provenance_dev_name,provenance_source
Talent.ID.Talent1,Bowguy,1,Repeating Stars,"Your <rt.absorb>Multishot</> reduces the cooldown of your <rt.absorb>Starfall Volley</> by <rt.bold>1.5 seconds</>.

<rt.effect>Empowered Multishot</> reduces the cooldown by <rt.bold>3.0 seconds</>.",3,0,2,Bowguy_Rain,TalentIcon,256,256,datamine,,
Talent.ID.Talent10,Bowguy,10,Lunarlight Affinity,"Your <rt.absorb>Starfall Volley</> no longer consumes <rt.absorb>Lunarlight Mark</> stacks when triggering <rt.effect>Lunarlight Salvo</>.

Additionally, your <rt.effect>Lunarlight Salvo</> has <rt.warning>+20% increased critical strike chance</>.",4,0,1,T_Icon_Energy_108,TalentIcon,256,256,datamine,,
Talent.ID.Talent11,Bowguy,11,Striker's Aim,"Your <rt.absorb>Highwind Arrow</> grants you 1 stack of <rt.effect>Striker's Aim</> for every <rt.effect>Ricochet</> that does not find its target, granting you <rt.warning>+2% Expertise</> per stack.

Every <rt.bold>2 seconds</> 1 stack of <rt.effect>Striker's Aim</> is removed.

<rt.effect>Striker's Aim</> is only reapplied if missing <rt.effect>Ricochets</> exceed the current effect stack count.",4,0,1,T_Nhance_RPG_Icons_MagicShot,TalentIcon,256,256,datamine,,
Talent.ID.Talent12,Bowguy,12,Swift Reload,The cooldown of your <rt.absorb>Highwind Arrow</> is reduced by <rt.bold>0.5 seconds</> each time it deals damage.,6,0,1,Tex_SpellBook01_16,TalentIcon,256,256,datamine,,
Talent.ID.Talent13,Bowguy,13,Fervent Supremacy,"Your <rt.absorb>Skystrider's Supremacy's</> cooldown is reduced by <rt.bold>10 seconds</> and grants <rt.bold>4 charges</> of <rt.effect>Empowered Multishot</> that lasts for up to <rt.bold>15 seconds</>.

While <rt.effect>Fervant Supremacy</> is active, your <rt.absorb>Multishot</> deals <rt.warning>50% more damage</>.",5,0,3,Bowguy_Supremacy,TalentIcon,256,256,datamine,,
Talent.ID.Talent14,Bowguy,14,Impending Heartseeker,"When your <rt.absorb>Celestial Shot</> consumes <rt.effect>Celestial Impetus</> the cooldown of your <rt.absorb>Heartseeker Barrage</> is reset and you gain <rt.effect>Impending Heartseeker</>.

<rt.effect>IMPENDING HEARTSEEKER</>
Your <rt.absorb>Heartseeker Barrage</> deals <rt.warning>+10% increased damage</> with each arrow during its channel.",5,0,3,Bowguy_Spray,TalentIcon,256,256,datamine,,
Talent.ID.Talent15,Bowguy,15,Final Crescendo,Every <rt.bold>3</> <rt.absorb>Highwind Arrow</> casts deals <rt.warning>+100% increased damage</> and <rt.effect>Ricochets</> up to <rt.bold>9 times</>.,5,0,3,Bowguy_Ricochet,TalentIcon,256,256,datamine,,
Talent.ID.Talent16,Bowguy,16,Last Lights,Your attacks and abilities have <rt.warning>+20% additional critical strike chance</> when striking targets <rt.bold>below 30% health</>.,6,0,1,T_NatureArrow,TalentIcon,256,256,datamine,,
Talent.ID.Talent17,Bowguy,17,Deadly Focus,Your <rt.absorb>Focused Shot</> and <rt.absorb>Celestial Shot</> deal <rt.warning>100% more damage</> but <rt.absorb>Focused Shot</> generates 50% less <rt.mana>Focus</>.,2,0,1,Bowguy_FocusShot,TalentIcon,256,256,datamine,,
Talent.ID.Talent18,Bowguy,18,Lunar Fury,"Your <rt.absorb>Heartseeker Barrage</> hits have twice the chance to trigger <rt.effect>Lunarlight Salvo</> when dealing damage to enemies with <rt.absorb>Lunarlight Mark</> active.

Additionally, your <rt.effect>Lunarlight Salvo</> deals <rt.warning>+30% increased damage</>.",3,0,2,Bowguy_Mark,TalentIcon,512,512,datamine,,
Talent.ID.Talent2,Bowguy,2,Piercing Seekers,Your <rt.absorb>Heartseeker Barrage</> arrows ricochet to 1 additional nearby enemy. Ricochets have <rt.warning>70% of the power of the initial hit</>.,1,0,2,T_Nhance_RPG_Icons_SoulArrow,TalentIcon,256,256,datamine,,
Talent.ID.Talent3,Bowguy,3,Resurgent Winds,"Your <rt.bold>Offensive Abilities</> have a <rt.bold>5% chance</> to grant you <rt.effect>Resurgent Winds</>. 

Your <rt.absorb>Lunarlight Mark</> ability has a <rt.bold>100% chance</> to grant you <rt.effect>Resurgent Winds</>.

When you gain <rt.effect>Resurgent Winds</>, you instantly gain 1 charge of <rt.absorb>Highwind Arrow</> and your next <rt.absorb>Highwind Arrow</> is <rt.bold>Instant Cast</>, <rt.mana>costs no Focus</>, and deals <rt.warning>50% more damage</>.

<rt.effect>Resurgent Winds</> lasts for 15 seconds and stacks up to 2 times.",1,0,2,T_Icon_Tech_40,TalentIcon,256,256,datamine,,
Talent.ID.Talent4,Bowguy,4,Skylit Grace,"While <rt.absorb>Starfall Volley</> is active, your <rt.absorb>Skystrider's Grace</> gains <rt.meikoability2>+120% Cooldown Acceleration</>.",6,0,1,Tex_b_03,TalentIcon,256,256,datamine,,
Talent.ID.Talent5,Bowguy,5,Fusillade,Your <rt.absorb>Heartseeker Barrage</> channel time is increased by 0.5 seconds and its <rt.warning>critical strike chance is increased by +20%</>.,2,0,1,T_Icon_Energy_106,TalentIcon,256,256,datamine,,
Talent.ID.Talent6,Bowguy,6,Lethal Shots,"Your <rt.absorb>Highwind Arrow</> has a <rt.bold>40% chance</> to have <rt.warning>+100% increased critical strike chance</>.

<rt.warning>GRIEVOUS CRITICAL STRIKE</>
Any critical strike chance you have beyond 100% causes a <rt.warning>grievous critical strike</>. <rt.warning>Grievous critical strikes</> increase the base damage of the hit by an amount equal to the overflowing critical strike chance.",3,0,2,Tex_arrow,TalentIcon,256,256,datamine,,
Talent.ID.Talent7,Bowguy,7,Focused Expanse,"Your <rt.absorb>Focused Shot</> has a 20% chance to grant you <rt.bold>1 charge</> of <rt.effect>Empowered Multishot</>.

All your <rt.effect>Empowered Multishots</> deal <rt.warning>20% more damage</>.

<rt.effect>EMPOWERED MULTISHOT</>
Your next <rt.absorb>Multishot</> has <rt.mana>50% reduced Focus cost</> and always fires at least 3 arrow regardless of how many targets are in range.",1,0,2,Bowguy_Multishot,TalentIcon,512,512,datamine,,
Talent.ID.Talent8,Bowguy,8,Rising Moon,The cooldown of <rt.absorb>Lunarlight Mark</> is <rt.bold>reduced by 2 seconds</> each time you cast <rt.absorb>Highwind Arrow</>.,4,0,1,T_Nhance_RPG_Energy_17,TalentIcon,256,256,datamine,,
Talent.ID.Talent9,Bowguy,9,Skyward Munitions,Each time you cast <rt.absorb>Celestial Shot</> or <rt.absorb>Multishot</> the cooldown of <rt.absorb>Highwind Arrow</> & <rt.absorb>Heartseeker Barrage</> is reduced by 1 second.,2,0,1,Bowguy_Shot,TalentIcon,256,256,datamine,,
Talent.ID.Talent94,Bowguy,27,The Weight of Gravity (old),"Your <rt.absorb>Grappling Arrow</> now has 2 charges, but its recharge time is increased to 120 seconds.

<rt.absorb>Grappling Arrow</> gains <rt.meikoability2>Cooldown Acceleration</> equal to your Haste.",6,0,1,Bowguy_GrappleShot,TalentIcon,256,256,datamine,,
Talent.ID.Talent95,Bowguy,26,Spirited Fortitude (old),You take 10% less <bold>Area of Effect damage</>.,6,0,1,Barbarian3,TalentIcon,256,256,datamine,,
Talent.ID.Talent96,Bowguy,22,Magic Ward (old),You take 10% less <bold>Magic damage</>.,4,0,1,T_Arcane_Scroll,TalentIcon,256,256,datamine,,
Talent.ID.Talent97,Bowguy,23,Path of Twilight (old),The duration of <rt.absorb>Pathfinder's Resilience</> is <rt.bold>increased to 8 seconds</> and all <rt.effect>dispellable harmful magic effects</> are instantly removed from you and again upon expiration.,4,0,1,Bowguy_Abilityicon_Defensive,TalentIcon,512,512,datamine,,
