hero,id,ordinal,value
Bowguy,Talent.ID.Talent16,0,GE_Bowguy_Talent_IncreasedCritChanceAtLowHealth
Bowguy,Talent.ID.Talent95,0,GE_Bowguy_Talent_IncomingAoeDamageReduction
Bowguy,Talent.ID.Talent96,0,GE_Bowguy_Talent_ReducedIncomingMagicDamage
Bowguy,Talent.ID.Talent98,0,GE_Bowguy_Talent_IncreasedMovementSpeed
Firemage,Talent.ID.Talent93,0,GE_Firemage_Talent_ReducedAoeDamage
Firemage,Talent.ID.Talent94,0,GE_Firemage_Talent_ReducedMagicDamage
Gunde,Talent.ID.Talent14,0,GE_Gunde_HeavyMeleeDotBased_IncreasedCritChance
Gunde,Talent.ID.Talent15,0,GE_Gunde_Talent_TargetedAoeProjectile_DamageCooldownReduction_IncreasedDamage
Gunde,Talent.ID.Talent6,0,GE_Gunde_Talent_HeavyMeleeDotBased_IncreasedDamageLowHealthTarget
Gunde,Talent.ID.Talent96,0,GE_Gunde_HeavyMeleeDotBased_IncreasedCritChance
Gunde,Talent.ID.Talent98,0,GE_Gunde_Talent_InstantAoeDot_IncreasedCritChance
Ink,Talent.ID.Talent6,0,GE_Ink_Talent_IncreasedMovementSpeed
Ink,Talent.ID.Talent7,0,GE_Ink_Talent_ChargedBuff_AddedHasteBuff
Ink,Talent.ID.Talent93,0,GE_Ink_Talent_IncreasedAttackSpeed
Ink,Talent.ID.Talent94,0,GE_Ink_Talent_AutoAttackBuff_CritStrikePowerIncrease
Ink,Talent.ID.Talent96,0,GE_Ink_Talent_IncreasedAttackSpeed
Ink,Talent.ID.Talent99,0,GE_Ink_Talent_IncreasedMovementSpeed
Lisa,Talent.ID.Talent90,0,GE_Lisa_Talent_DecreasedIncomingMagicDamage
Mara,Talent.ID.Talent93,0,GE_Mara_Talent_IncomingAoeDamageReduction
Mara,Talent.ID.Talent94,0,GE_Mara_Talent_ReducedIncomingMagicDamage
Mara,Talent.ID.Talent99,0,GE_Mara_Talent_IncreasedMovementSpeed
Meiko,Talent.ID.Talent11,0,GE_Meiko_Talent_TauntTotem_IncreasedHealthAndDuration
Meiko,Talent.ID.Talent12,0,GE_Meiko_Talent_TauntTotem_DamageReductionWhileCooldown_Buff
Meiko,Talent.ID.Talent14,0,GE_Meiko_Talent_Earth_IncreasedDamage
Meiko,Talent.ID.Talent15,0,GE_Meiko_Talent_DurationalAoeDamageBuff_IncreasedDamage
Meiko,Talent.ID.Talent18,0,GE_Meiko_Talent_Finishers_IncreasedDamage
Meiko,Talent.ID.Talent97,0,GE_Meiko_Talent_HighDamageCleave_IncreasedCriticalChance
Meiko,Talent.ID.Talent98,0,GE_Meiko_Talent_ReducedIncomingMagicDamage
Meiko,Talent.ID.Talent99,0,GE_Meiko_Talent_IncreasedMovementSpeed
Mosse,Talent.ID.Talent14,0,GE_Mosse_Talent_PinkButterfly_Simple_IncreasedTickSpeed
Mosse,Talent.ID.Talent6,0,GE_Mosse_Talent_PinkButterfly_Double_IncreasedHotDuration
Mosse,Talent.ID.Talent90,0,GE_Mosse_Talent_ReducedIncomingAoeDamage
Mosse,Talent.ID.Talent91,0,GE_Mosse_Talent_IncreasedHealOnLowHealthTarget
Mosse,Talent.ID.Talent92,0,GE_Mosse_Talent_MagicDamageReduction
Mosse,Talent.ID.Talent94,0,GE_Mosse_Talent_IncreasedMovementSpeed
Mosse,Talent.ID.Talent96,0,GE_Mosse_Talent_ExplosiveMinion_IncreasedDamage
Rime,Talent.ID.Talent16,0,GE_Rime_Talent_CriticalStrikePower
Rime,Talent.ID.Talent50,0,GE_Rime_Talent_MagicDamageReduction
Rime,Talent.ID.Talent88,0,GE_Rime_Talent_IncomingAoeDamageReduction
Rime,Talent.ID.Talent96,0,GE_Rime_Talent_IncreasedMovementSpeed
Sune,Talent.ID.Talent13,0,GE_Sune_Talent_IncreasedParryChance_Buff
Vigor,Talent.ID.Talent13,0,GE_Vigor_Talent_Runes_IncreasedDuration
Vigor,Talent.ID.Talent18,0,GE_Vigor_Talent_CastedSingleTargetHeal_ReducedCastTime
Vigor,Talent.ID.Talent84,0,GE_Vigor_Talent_SkillshotAoeProjectile_IncreasedCriticalStrikeChance
Vigor,Talent.ID.Talent88,0,GE_Vigor_Talent_ReducedIncomingAoeDamage
Vigor,Talent.ID.Talent91,0,GE_Vigor_Talent_ReducedIncomingMagicDamage
Vigor,Talent.ID.Talent93,0,GE_Vigor_Talent_IncreasedMaxMana
Vigor,Talent.ID.Talent95,0,GE_Vigor_Talent_InstantFrontalConeDamageHeal_IncreasedHeal
Vigor,Talent.ID.Talent98,0,GE_Vigor_Talent_SingleTargetDot_IncreasedDamage
Vigor,Talent.ID.Talent99,0,GE_Vigor_Talent_InstantAoeHeal_ReducedCost
Warmaster,Talent.ID.Talent15,0,GE_Warmaster_Talent_IncreasedSpirit
Warmaster,Talent.ID.Talent5,0,GE_Warmaster_Talent_IncreasedBlockChance
Warmaster,Talent.ID.Talent9,0,GE_Warmaster_Talent_BouncyProjectile_IncreasedCritChance
Warmaster,Talent.ID.Talent90,0,GE_Warmaster_Talent_IncreasedArmor
Warmaster,Talent.ID.Talent94,0,GE_Warmaster_Talent_IncreasedMeleeCleaveAndHeavyMeleeDamage
Warmaster,Talent.ID.Talent95,0,GE_Warmaster_Talent_IncreasedBlockChance
Warmaster,Talent.ID.Talent98,0,GE_Warmaster_Talent_ReducedMagicDamageTaken
