hero,id,ordinal,value
Bowguy,Talent.ID.Talent1,0,GA_Bowguy_Passive_Talent_AoeProjectileDamage_CooldownReduction_C
Bowguy,Talent.ID.Talent15,0,GA_Bowguy_Passive_Talent_CastedProjectileHeavyDamage_StacksMoreDamageAndBounces_C
Bowguy,Talent.ID.Talent18,0,GA_Bowguy_Passive_Talent_SingleProjectileDamage_ChanceInstantMarkTarget_C
Bowguy,Talent.ID.Talent3,0,GA_Bowguy_Talent_CastedProjectileHeavyDamage_InstantNoCooldownProc_Monitor_C
Bowguy,Talent.ID.Talent7,0,GA_Bowguy_Passive_Talent_CastedProjectileDamage_AoeProjectileDamageEmpowered_C
Bowguy,Talent.ID.Talent8,0,GA_Bowguy_Passive_Talent_InstantMarkTarget_CooldownReducedOnHeavyProjectileCast_C
Bowguy,Talent.ID.Talent9,0,GA_Bowguy_Passive_Talent_SingleProjectileDamage_CooldownReduction_C
Bowguy,Talent.ID.Talent97,0,GA_Bowguy_Passive_Talent_SelfDefenceBuff_IncreasedDurationAndDispel_C
Firemage,Talent.ID.Talent1,0,GA_Firemage_Passive_Talent_FireFrogOnDotCrit_Monitor_C
Firemage,Talent.ID.Talent13,0,GA_Firemage_Talent_Passive_CastedDotBoostProjectile_CritsApplyDot_DamageMonitor_C
Firemage,Talent.ID.Talent14,0,GA_Firemage_Passive_Talent_CastedDotDetonate_FreeProc_C
Firemage,Talent.ID.Talent15,0,GA_Firemage_Talent_ExtraResourcesAtStart_C
Firemage,Talent.ID.Talent17,0,GA_Firemage_Passive_CastedDotBoostProjectile_Talent_DamageSpreadToCastedSingleDot_Monitor_C
Firemage,Talent.ID.Talent18,0,GA_Firemage_Passive_PlacedProjectileAoeDamageMonitor_Dot_C
Firemage,Talent.ID.Talent5,0,GA_Firemage_Passive_Talent_CastedDotBoostProjectile_IncreasedCritChance_C
Firemage,Talent.ID.Talent7,0,GA_Firemage_Passive_Talent_InstantDoubleDot_CastedSingleDotReducesCooldown_C
Firemage,Talent.ID.Talent8,0,GA_Firemage_Passive_Talent_CastedSingleHeavyDot_InstantSingleDotReducesCooldown_C
Firemage,Talent.ID.Talent8,1,GA_Firemage_Passive_Talent_CastedSingleHeavyDot_CastedDotBoostProjectileReducesCooldown_C
Firemage,Talent.ID.Talent9,0,GA_Firemage_Passive_Talent_DotDoubleDamageAndHeal_DotTickMonitor_C
Firemage,Talent.ID.Talent97,0,GA_Firemage_Passive_CastedDotBoostProjectile_Talent_DamageSpreadToCastedSingleDot_Monitor_C
Gunde,Talent.ID.Talent1,0,GA_Gunde_Passive_Talent_InstantWhirlwindAoe_ChanceCooldownReset_C
Gunde,Talent.ID.Talent10,0,GA_Gunde_Passive_Talent_HeavyMeleeDotBoost_ReducedCooldownPerOrb_C
Gunde,Talent.ID.Talent13,0,GA_Gunde_Passive_Talent_DotTransfer_AoeBasedOnStacks_C
Gunde,Talent.ID.Talent14,0,GA_Gunde_Passive_Talent_HeavyMeleeDotBased_CritToAoe_C
Gunde,Talent.ID.Talent17,0,GA_Gunde_Passive_Talent_AbilityToBuffChance_C
Gunde,Talent.ID.Talent18,0,GA_Gunde_Passive_Talent_HeavyMeleeDotBased_CooldownAcceleration_C
Gunde,Talent.ID.Talent2,0,GA_Gunde_Passive_Talent_InstantWhirlwindAoe_GatherOrbs_C
Gunde,Talent.ID.Talent2,1,GA_Gunde_Passive_Talent_DotTransfer_ExplosionOnPickup_C
Gunde,Talent.ID.Talent3,0,GA_Gunde_Passive_Talent_TargetedAoeProjectile_Empowered_C
Gunde,Talent.ID.Talent4,0,GA_Gunde_Passive_Talent_DotTransfer_IncreasedDamageOnSelf_C
Gunde,Talent.ID.Talent5,0,GA_Gunde_Passive_Talent_DashAttack_EmpoweredAbilities_C
Gunde,Talent.ID.Talent8,0,GA_Gunde_Passive_Talent_HeavyMeleeDotBoost_GuaranteedSpiritProcBuff_C
Gunde,Talent.ID.Talent9,0,GA_Gunde_Passive_Talent_InstantAoeDot_StacksToHaste_C
Gunde,Talent.ID.Talent95,0,GA_Gunde_Passive_Talent_DotTransfer_IncreasedDamageOnSelf_C
Gunde,Talent.ID.Talent96,0,GA_Gunde_Passive_Talent_HeavyMeleeDotBased_CritToAoe_Old_C
Gunde,Talent.ID.Talent99,0,GA_Gunde_Passive_Talent_HeavyMeleeDotBoost_IncreasedDotDamage_C
Ink,Talent.ID.Talent11,0,GA_Ink_Talent_Passive_AutoAttackBuff_AlwaysHitWindowBuff_Monitor_C
Ink,Talent.ID.Talent13,0,GA_Ink_Talent_ExtraResourcesAtStart_C
Ink,Talent.ID.Talent15,0,GA_Ink_Passive_Talent_BouncyProjectile_FreeCastFromAoeAttack_C
Ink,Talent.ID.Talent18,0,GA_Ink_Talent_Passive_AutoAttackBuff_StackingBuffConsumedBySpender_Monitor_C
Ink,Talent.ID.Talent3,0,GA_Ink_Passive_Talent_BouncyProjectile_FreeCastFromAttack_C
Ink,Talent.ID.Talent4,0,GA_Ink_Talent_Passive_HeavySingleTargetAttack_AoE_Monitor_C
Ink,Talent.ID.Talent6,0,GA_Ink_Passive_Talent_PassiveFuryGeneration_Applier_C
Ink,Talent.ID.Talent9,0,GA_Ink_Passive_Talent_ChanceIncreasedSpenderDamage_C
Ink,Talent.ID.Talent97,0,GA_Ink_Passive_Talent_AutoAttackBuff_GainToIncreasedDamage_C
Ink,Talent.ID.Talent98,0,GA_Ink_Talent_Passive_HeavySingleTargetAttack_AoE_Monitor_C
Lisa,Talent.ID.Talent11,0,GA_Lisa_Talent_Passive_InstantSelfBuff_DetonateAllActiveDots_Monitor_C
Lisa,Talent.ID.Talent12,0,GA_Lisa_Passive_Talent_StaggerOverhealToStackingHeal_C
Lisa,Talent.ID.Talent14,0,GA_Lisa_Passive_Talent_InstantDamageSpender_Absorb_C
Lisa,Talent.ID.Talent15,0,GA_Lisa_Passive_Talent_CastedProjectileDamageIncreaseDebuff_DamageAbilityBuff_C
Lisa,Talent.ID.Talent16,0,GA_Lisa_Passive_Talent_ResourceThresholdBuffs_C
Lisa,Talent.ID.Talent2,0,GA_Lisa_Passive_Talent_InstantToDamageSpender_DamageToDot_C
Lisa,Talent.ID.Talent4,0,GA_Lisa_Passive_Talent_SpendersToManaRegen_C
Lisa,Talent.ID.Talent5,0,GA_Lisa_Passive_Talent_CastedSingleTargetProjectile_CastedHealFromPreviousDamageProc_C
Lisa,Talent.ID.Talent6,0,GA_Lisa_Talent_Passive_ResourceToFreeSpender_C
Lisa,Talent.ID.Talent7,0,GA_Lisa_Passive_Talent_CastedProjectileDamageIncreaseDebuff_InstigatorBuff_C
Lisa,Talent.ID.Talent89,0,GA_Lisa_Passive_Talent_IncreasedHealingToSelf_C
Lisa,Talent.ID.Talent95,0,GA_Lisa_Passive_Talent_ChanneledHealOrDamageProjectilesSpender_OverhealAbsorb_C
Lisa,Talent.ID.Talent97,0,GA_Lisa_Passive_Talent_TeleportForward_DamageReduction_C
Mara,Talent.ID.Talent1,0,GA_Mara_Passive_Talent_BleedAttackSpender_HasteIncrease_C
Mara,Talent.ID.Talent11,0,GA_Mara_Passive_Talent_StrongerBehindAttackBuilder_PoisonChance_C
Mara,Talent.ID.Talent12,0,GA_Mara_Passive_Talent_ResetCooldownRefillResouces_ComboPointToCooldownReduction_C
Mara,Talent.ID.Talent13,0,GA_Mara_Passive_Talent_Stealth_SpenderIncreasedDamage_C
Mara,Talent.ID.Talent14,0,GA_Mara_Passive_Talent_BleedAttackSpender_ExplosivePoison_C
Mara,Talent.ID.Talent15,0,GA_Mara_Passive_Talent_AoeAttackBuilder_HeavyAttackSpenderDamageIncrease_C
Mara,Talent.ID.Talent16,0,GA_Mara_Passive_Talent_ChargedResourceRefillSelfBuff_BleedAttackSpenderBleedAoe_C
Mara,Talent.ID.Talent19,0,GA_Mara_Passive_Talent_BleedAttackSpender_IncreasedTickRateWhileSingle_C
Mara,Talent.ID.Talent3,0,GA_Mara_Passive_Talent_ResourceAttackSpenderCritChance_C
Mara,Talent.ID.Talent4,0,GA_Mara_Passive_Talent_ComboPointsChanceAoeDamage_C
Mara,Talent.ID.Talent5,0,GA_Mara_Passive_PosionDamage_Monitor_C
Mara,Talent.ID.Talent6,0,GA_Mara_Passive_Talent_ComboPointsRefundEnergy_C
Mara,Talent.ID.Talent96,0,GA_Mara_Passive_Talent_ChargedTeleportBehindTarget_IncreasedDamageOrMovementSpeed_C
Mara,Talent.ID.Talent98,0,GA_Mara_Passive_Talent_ChargedDoubleAttackBuilder_ResourceIncreaseOT_C
Meiko,Talent.ID.Talent1,0,GA_Meiko_Passive_Talent_ChanneledHeavyDamage_InstantSelfDefensiveCharge_C
Meiko,Talent.ID.Talent13,0,GA_Meiko_Passive_Talent_SelfHealToStoneHealth_C
