hero,id,ordinal,value
Bowguy,Talent.ID.Talent10,0,Talents.Bowguy.TargetedAoeDamage.IncreasedInstantMarkTriggerChance
Bowguy,Talent.ID.Talent11,0,Talents.Bowguy.CastedProjectileHeavyDamage.NoBounceBuff
Bowguy,Talent.ID.Talent12,0,Talents.Bowguy.CastedProjectileHeavyDamage.HitReducesCooldown
Bowguy,Talent.ID.Talent13,0,Talents.Bowguy.SelfBuffForAoeProjectile.ChargesCooldownAndDuration
Bowguy,Talent.ID.Talent14,0,Talents.Bowguy.ChanneledMultiProjectileDebuff.ResetCooldownAndBuff
Bowguy,Talent.ID.Talent17,0,Talents.Bowguy.CastedProjectileDamage.Enhanced
Bowguy,Talent.ID.Talent18,0,Talents.Bowguy.InstantMarkTarget.IncreasedDamage
Bowguy,Talent.ID.Talent18,1,Talents.Bowguy.ChanneledMultiProjectileDebuff.IncreasedInstantMarkTriggerChance
Bowguy,Talent.ID.Talent2,0,Talents.Bowguy.ChanneledMultiProjectileDebuff.Riccochet
Bowguy,Talent.ID.Talent3,0,Talents.Bowguy.CastedProjectileHeavyDamage.InstantNoCooldownProc
Bowguy,Talent.ID.Talent4,0,Talents.Bowguy.ProcHasteBuff.CooldownRecoveryBuff
Bowguy,Talent.ID.Talent5,0,Talents.Bowguy.ChanneledMultiProjectileDebuff.IncreasedTicks
Bowguy,Talent.ID.Talent6,0,Talents.Bowguy.CastedProjectileHeavyDamage.ChanceToHaveIncreasedCritChance
Bowguy,Talent.ID.Talent7,0,Talents.Bowguy.CastedProjectileDamage.AoeProjectileDamageEmpowered
Bowguy,Talent.ID.Talent94,0,Talents.Bowguy.TargetedAoePull.ChargedLongerCooldown
Bowguy,Talent.ID.Talent97,0,Talents.Bowguy.SelfDefenceBuff.IncreasedDurationAndDispel
Bowguy,Talent.ID.Talent99,0,Talents.Bowguy.ChanneledMultiProjectileDebuff.IncomingDamage
Firemage,Talent.ID.Talent10,0,Talents.Firemage.CastedDotDetonate.ExtendsInstantSingleTargetDot
Firemage,Talent.ID.Talent11,0,Talents.Firemage.IncreasedDotCritChance
Firemage,Talent.ID.Talent12,0,Talents.Firemage.CastedSingleDot.ExtendedDuration
Firemage,Talent.ID.Talent13,0,Talents.Firemage.CastedDotBoostProjectile.IncreasedCritChance
Firemage,Talent.ID.Talent14,0,Talents.Firemage.CastedPlacedAoe.ReducedCastTime
Firemage,Talent.ID.Talent16,0,Talents.Firemage.PlacedProjectileAoe.PlacedProjectileAoeDamageBonus
