hero,id,numeric_params_ordinal,kind,value
Firemage,Talent.ID.Talent10,0,object,
Firemage,Talent.ID.Talent10,1,number,1.5
Firemage,Talent.ID.Talent11,0,object,
Firemage,Talent.ID.Talent11,1,number,0.2
Firemage,Talent.ID.Talent12,0,object,
Firemage,Talent.ID.Talent12,1,number,3.0
Firemage,Talent.ID.Talent13,0,object,
Firemage,Talent.ID.Talent13,1,number,1.0
Firemage,Talent.ID.Talent13,2,number,12.0
Firemage,Talent.ID.Talent13,3,number,2.0
Firemage,Talent.ID.Talent13,4,number,4.0
Firemage,Talent.ID.Talent13,5,number,0.2
Firemage,Talent.ID.Talent14,0,object,
Firemage,Talent.ID.Talent14,1,number,1.5
Firemage,Talent.ID.Talent14,2,number,0.5
Firemage,Talent.ID.Talent16,0,object,
Firemage,Talent.ID.Talent16,1,number,0.1
Firemage,Talent.ID.Talent16,2,number,1.5
Firemage,Talent.ID.Talent2,0,object,
Firemage,Talent.ID.Talent2,1,object,
Firemage,Talent.ID.Talent2,2,number,12.0
Firemage,Talent.ID.Talent2,3,number,2.0
Firemage,Talent.ID.Talent2,4,number,1.5
Firemage,Talent.ID.Talent2,5,number,2.0
Firemage,Talent.ID.Talent3,0,object,
Firemage,Talent.ID.Talent3,1,number,0.04
Firemage,Talent.ID.Talent3,2,number,1.0
Firemage,Talent.ID.Talent4,0,object,
Firemage,Talent.ID.Talent4,1,number,2.2
Firemage,Talent.ID.Talent4,2,number,0.15
Firemage,Talent.ID.Talent6,0,object,
Firemage,Talent.ID.Talent6,1,number,1.2
Firemage,Talent.ID.Talent6,2,object,
Firemage,Talent.ID.Talent6,3,number,1.0
Firemage,Talent.ID.Talent6,4,number,2.0
Firemage,Talent.ID.Talent9,0,object,
Firemage,Talent.ID.Talent9,1,number,1.0
Firemage,Talent.ID.Talent9,2,number,12.0
Firemage,Talent.ID.Talent9,3,number,2.0
Firemage,Talent.ID.Talent9,4,number,4.0
Firemage,Talent.ID.Talent9,5,number,0.2
Firemage,Talent.ID.Talent92,0,object,
Firemage,Talent.ID.Talent92,1,number,6.0
Firemage,Talent.ID.Talent92,2,number,0.3
Firemage,Talent.ID.Talent92,3,object,
Firemage,Talent.ID.Talent92,4,number,2.0
Firemage,Talent.ID.Talent95,0,object,
Firemage,Talent.ID.Talent95,1,number,1.25
Firemage,Talent.ID.Talent96,0,object,
Firemage,Talent.ID.Talent96,1,number,1.2
Firemage,Talent.ID.Talent98,0,object,
Firemage,Talent.ID.Talent98,1,number,1.5
Firemage,Talent.ID.Talent98,2,number,0.5
Mosse,Talent.ID.Talent11,0,object,
Mosse,Talent.ID.Talent11,1,object,
Mosse,Talent.ID.Talent11,2,number,2.31
Mosse,Talent.ID.Talent11,3,number,5.0
Mosse,Talent.ID.Talent12,0,object,
Mosse,Talent.ID.Talent12,1,number,1.5
Mosse,Talent.ID.Talent12,2,number,4.0
Mosse,Talent.ID.Talent13,0,object,
Mosse,Talent.ID.Talent13,1,number,0.5
Mosse,Talent.ID.Talent13,2,number,18.0
Mosse,Talent.ID.Talent13,3,number,17.55
Mosse,Talent.ID.Talent15,0,object,
Mosse,Talent.ID.Talent15,1,number,0.08
Mosse,Talent.ID.Talent15,2,number,2.0
Mosse,Talent.ID.Talent17,0,object,
Mosse,Talent.ID.Talent17,1,number,1.25
Mosse,Talent.ID.Talent18,0,object,
Mosse,Talent.ID.Talent18,1,number,0.12
Mosse,Talent.ID.Talent2,0,object,
Mosse,Talent.ID.Talent2,1,number,1.2
Mosse,Talent.ID.Talent2,2,number,2.0
Mosse,Talent.ID.Talent2,3,number,4.0
Mosse,Talent.ID.Talent2,4,number,4000.0
Mosse,Talent.ID.Talent3,0,object,
Mosse,Talent.ID.Talent3,1,number,0.5
Mosse,Talent.ID.Talent89,0,object,
Mosse,Talent.ID.Talent89,1,number,0.8
Mosse,Talent.ID.Talent9,0,object,
Mosse,Talent.ID.Talent9,1,number,1.5
Mosse,Talent.ID.Talent9,2,number,1.5
Mosse,Talent.ID.Talent9,3,number,700.0
Mosse,Talent.ID.Talent93,0,object,
Mosse,Talent.ID.Talent93,1,number,0.12
Mosse,Talent.ID.Talent97,0,object,
Mosse,Talent.ID.Talent97,1,number,0.75
Mosse,Talent.ID.Talent98,0,object,
Mosse,Talent.ID.Talent98,1,number,1.2
Rime,Talent.ID.Talent1,0,object,
Rime,Talent.ID.Talent1,1,number,1.4
Rime,Talent.ID.Talent1,2,object,
Rime,Talent.ID.Talent1,3,number,0.3
Rime,Talent.ID.Talent1,4,number,500.0
Rime,Talent.ID.Talent1,5,number,40.0
Rime,Talent.ID.Talent1,6,number,700.0
Rime,Talent.ID.Talent1,7,number,12.0
Rime,Talent.ID.Talent1,8,number,4.0
Rime,Talent.ID.Talent1,9,number,1.2
Rime,Talent.ID.Talent10,0,object,
Rime,Talent.ID.Talent10,1,number,2.0
Rime,Talent.ID.Talent12,0,object,
Rime,Talent.ID.Talent12,1,number,19.0
Rime,Talent.ID.Talent12,2,number,500.0
Rime,Talent.ID.Talent12,3,number,2.0
Rime,Talent.ID.Talent12,4,number,1.2
Rime,Talent.ID.Talent12,5,object,
Rime,Talent.ID.Talent12,6,number,0.8
Rime,Talent.ID.Talent14,0,object,
Rime,Talent.ID.Talent14,1,number,0.0
Rime,Talent.ID.Talent14,2,object,
Rime,Talent.ID.Talent14,3,number,1.4
Rime,Talent.ID.Talent14,4,number,0.5
Rime,Talent.ID.Talent2,0,object,
Rime,Talent.ID.Talent2,1,number,1.05
Rime,Talent.ID.Talent4,0,object,
Rime,Talent.ID.Talent4,1,number,0.2
Rime,Talent.ID.Talent52,0,object,
Rime,Talent.ID.Talent52,1,number,0.2
Rime,Talent.ID.Talent52,2,number,1.2
Rime,Talent.ID.Talent6,0,object,
Rime,Talent.ID.Talent6,1,number,0.09
Rime,Talent.ID.Talent6,2,number,0.18
Rime,Talent.ID.Talent90,0,object,
Rime,Talent.ID.Talent90,1,number,0.15
Rime,Talent.ID.Talent90,2,number,1.0
Rime,Talent.ID.Talent92,0,object,
Rime,Talent.ID.Talent92,1,number,0.2
Rime,Talent.ID.Talent92,2,number,1.2
Rime,Talent.ID.Talent94,0,object,
Rime,Talent.ID.Talent94,1,number,1.0
Rime,Talent.ID.Talent94,2,number,0.2
Rime,Talent.ID.Talent95,0,object,
Rime,Talent.ID.Talent95,1,number,0.2
Rime,Talent.ID.Talent97,0,object,
Rime,Talent.ID.Talent97,1,number,19.0
Rime,Talent.ID.Talent97,2,number,500.0
Rime,Talent.ID.Talent97,3,number,2.0
Rime,Talent.ID.Talent97,4,number,1.2
