hero,id,numeric_params_ordinal,ordinal,value
Firemage,Talent.ID.Talent10,0,0,ExtendsInstantSingleTargetDot
Firemage,Talent.ID.Talent10,1,0,ExtendsInstantSingleTargetDot
Firemage,Talent.ID.Talent10,1,1,DurationExtension
Firemage,Talent.ID.Talent11,0,0,IncreasedDotCritChance
Firemage,Talent.ID.Talent11,1,0,IncreasedDotCritChance
Firemage,Talent.ID.Talent11,1,1,CritChanceIncrease
Firemage,Talent.ID.Talent12,0,0,ExtendedDuration
Firemage,Talent.ID.Talent12,1,0,ExtendedDuration
Firemage,Talent.ID.Talent12,1,1,DurationIncrease
Firemage,Talent.ID.Talent13,0,0,IncreasedCritChance
Firemage,Talent.ID.Talent13,1,0,IncreasedCritChance
Firemage,Talent.ID.Talent13,1,1,AdditionalCritChance
Firemage,Talent.ID.Talent13,2,0,IncreasedCritChance
Firemage,Talent.ID.Talent13,2,1,MaxStacks
Firemage,Talent.ID.Talent13,3,0,IncreasedCritChance
Firemage,Talent.ID.Talent13,3,1,ResourceMultiplier
Firemage,Talent.ID.Talent13,4,0,IncreasedCritChance
Firemage,Talent.ID.Talent13,4,1,StacksThreshold
Firemage,Talent.ID.Talent13,5,0,IncreasedCritChance
Firemage,Talent.ID.Talent13,5,1,_value
Firemage,Talent.ID.Talent14,0,0,ReducedCastTime
Firemage,Talent.ID.Talent14,1,0,ReducedCastTime
Firemage,Talent.ID.Talent14,1,1,CastTimeReductionInSeconds
Firemage,Talent.ID.Talent14,2,0,ReducedCastTime
Firemage,Talent.ID.Talent14,2,1,Reduction
Firemage,Talent.ID.Talent16,0,0,PlacedProjectileAoeDamageBonus
Firemage,Talent.ID.Talent16,1,0,PlacedProjectileAoeDamageBonus
Firemage,Talent.ID.Talent16,1,1,DamageToDotTransferIncrease
Firemage,Talent.ID.Talent16,2,0,PlacedProjectileAoeDamageBonus
Firemage,Talent.ID.Talent16,2,1,DirectDamageScale
Firemage,Talent.ID.Talent2,0,0,PlacedProjectileAoeHasCharges
Firemage,Talent.ID.Talent2,1,0,PlacedProjectileAoeHasCharges
Firemage,Talent.ID.Talent2,1,1,CastedDotDetonateChargeRecoveryProc
Firemage,Talent.ID.Talent2,2,0,PlacedProjectileAoeHasCharges
Firemage,Talent.ID.Talent2,2,1,CastedDotDetonateChargeRecoveryProc
Firemage,Talent.ID.Talent2,2,2,BuffDuration
Firemage,Talent.ID.Talent2,3,0,PlacedProjectileAoeHasCharges
Firemage,Talent.ID.Talent2,3,1,CastedDotDetonateChargeRecoveryProc
Firemage,Talent.ID.Talent2,3,2,CritChanceIncrease
Firemage,Talent.ID.Talent2,4,0,PlacedProjectileAoeHasCharges
Firemage,Talent.ID.Talent2,4,1,CastedDotDetonateChargeRecoveryProc
Firemage,Talent.ID.Talent2,4,2,PPM
Firemage,Talent.ID.Talent2,5,0,PlacedProjectileAoeHasCharges
Firemage,Talent.ID.Talent2,5,1,NumCharges
Firemage,Talent.ID.Talent3,0,0,StackingBoost
Firemage,Talent.ID.Talent3,1,0,StackingBoost
Firemage,Talent.ID.Talent3,1,1,PerStackDamageIncrease
Firemage,Talent.ID.Talent3,2,0,StackingBoost
Firemage,Talent.ID.Talent3,2,1,StackGainPeriod
Firemage,Talent.ID.Talent4,0,0,DamageIncreaseFromDots
Firemage,Talent.ID.Talent4,1,0,DamageIncreaseFromDots
Firemage,Talent.ID.Talent4,1,1,DamageIncreaseMax
Firemage,Talent.ID.Talent4,2,0,DamageIncreaseFromDots
Firemage,Talent.ID.Talent4,2,1,DamageIncreasePerDot
Firemage,Talent.ID.Talent6,0,0,DirectDamageIncrease
Firemage,Talent.ID.Talent6,1,0,DirectDamageIncrease
Firemage,Talent.ID.Talent6,1,1,DamageScale
Firemage,Talent.ID.Talent6,2,0,ExtraFrogs
Firemage,Talent.ID.Talent6,3,0,ExtraFrogs
Firemage,Talent.ID.Talent6,3,1,NumExtraFrogLeaps
Firemage,Talent.ID.Talent6,4,0,ExtraFrogs
Firemage,Talent.ID.Talent6,4,1,NumExtraFrogs
Firemage,Talent.ID.Talent9,0,0,IncreasedCritChance
Firemage,Talent.ID.Talent9,1,0,IncreasedCritChance
Firemage,Talent.ID.Talent9,1,1,AdditionalCritChance
Firemage,Talent.ID.Talent9,2,0,IncreasedCritChance
Firemage,Talent.ID.Talent9,2,1,MaxStacks
Firemage,Talent.ID.Talent9,3,0,IncreasedCritChance
Firemage,Talent.ID.Talent9,3,1,ResourceMultiplier
Firemage,Talent.ID.Talent9,4,0,IncreasedCritChance
Firemage,Talent.ID.Talent9,4,1,StacksThreshold
Firemage,Talent.ID.Talent9,5,0,IncreasedCritChance
Firemage,Talent.ID.Talent9,5,1,_value
Firemage,Talent.ID.Talent92,0,0,AbsorbFromSelfDefenceBuff
Firemage,Talent.ID.Talent92,1,0,AbsorbFromSelfDefenceBuff
Firemage,Talent.ID.Talent92,1,1,AbsorbDuration
Firemage,Talent.ID.Talent92,2,0,AbsorbFromSelfDefenceBuff
Firemage,Talent.ID.Talent92,2,1,AbsorbMaxHealthFraction
Firemage,Talent.ID.Talent92,3,0,AdditionalDuration
Firemage,Talent.ID.Talent92,4,0,AdditionalDuration
Firemage,Talent.ID.Talent92,4,1,AddedDurationInSeconds
Firemage,Talent.ID.Talent95,0,0,AdditionalResourceGenerationChance
Firemage,Talent.ID.Talent95,1,0,AdditionalResourceGenerationChance
Firemage,Talent.ID.Talent95,1,1,Increase
Firemage,Talent.ID.Talent96,0,0,BonusDotDamage
Firemage,Talent.ID.Talent96,1,0,BonusDotDamage
Firemage,Talent.ID.Talent96,1,1,DamageScale
Firemage,Talent.ID.Talent98,0,0,ReducedCastTime
Firemage,Talent.ID.Talent98,1,0,ReducedCastTime
Firemage,Talent.ID.Talent98,1,1,CastTimeReductionInSeconds
Firemage,Talent.ID.Talent98,2,0,ReducedCastTime
Firemage,Talent.ID.Talent98,2,1,Reduction
Mosse,Talent.ID.Talent11,0,0,AllyTargetHeal
Mosse,Talent.ID.Talent11,1,0,AllyTargetHeal
Mosse,Talent.ID.Talent11,1,1,Heal
Mosse,Talent.ID.Talent11,2,0,AllyTargetHeal
Mosse,Talent.ID.Talent11,2,1,Heal
Mosse,Talent.ID.Talent11,2,2,IntellectCoefficient
Mosse,Talent.ID.Talent11,3,0,AllyTargetHeal
Mosse,Talent.ID.Talent11,3,1,MaxNumOfMinionsToAlly
Mosse,Talent.ID.Talent12,0,0,IncreasedEarlyPulses
Mosse,Talent.ID.Talent12,1,0,IncreasedEarlyPulses
Mosse,Talent.ID.Talent12,1,1,HealScale
Mosse,Talent.ID.Talent12,2,0,IncreasedEarlyPulses
Mosse,Talent.ID.Talent12,2,1,NumberOfPulses
