id,trait_id,numeric_id,name,description,max_rank,random_chance,icon_id,icon_kind,icon_width,icon_height,provenance_origin,provenance_dev_name,provenance_source
AbilityToIncreasedMainStat,ItemTrait.ID.AbilityToIncreasedMainStat,1,Hidden Power,"Your <rt.warning>abilities</> have a <rt.bold>chance</> to grant you 1 stack of <rt.bold>Hidden Power</> for <rt.bold>60 seconds</>. When you have <rt.bold>5 stacks</>, <rt.warning>Hidden Power is consumed</> and <rt.bold>Power Revealed</> is granted to you for <rt.bold>15 seconds</>, increasing your <rt.warning>Main Stat</> by <rt.effect>7.2%</> / <rt.effect>12.8%</> / <rt.effect>18.4%</> / <rt.effect>24%</>.

You can not gain <rt.bold>Hidden Power</> stacks while <rt.bold>Power Revealed</> is active on you.

<rt.bold>(2.6 PPM)</>",4,2,Tex_SpellBook01_89,Other,256,256,datamine,,
AgainstAllOdds,ItemTrait.ID.BigBlowMitigation,52,The Beetle,"When you take damage equal to <bold>40% of your max health or more in a single hit</>, the damage is <bold>reduced by 30%</>.

This can only occur once every 20 seconds.",1,0,Tex_WitchCraftIcons_75_b,Other,256,256,datamine,,
Basilisk,ItemTrait.ID.Basilisk,54,The Shadow,Your <bold>Magic Damage Reduction</> is increased by <bold>10%</>.,1,0,T_Icon_Shadow_119,Other,256,256,datamine,,
Bat,ItemTrait.ID.Bat,55,The Dune,,1,0,T_Perk_Dune,Other,512,512,datamine,,
Bull,ItemTrait.ID.Bull,56,The Lake,You take <bold>20% reduced Area of Effect damage</>.,1,0,T_Perk_River,Other,512,512,datamine,,
CommitToHasteRatingAndWeaponCooldown,ItemTrait.ID.CommitToHasteRatingAndWeaponCooldown,2,Inspired Allegiance,"Your <rt.warning>abilities</> have a <rt.bold>chance</> to reduce the <rt.bold>Cooldown</> of your <rt.absorb>Weapon Ability</> by <rt.effect>1.5</> / <rt.effect>4</> / <rt.effect>6</> / <rt.effect>8</> seconds and grant you and <rt.effect>1</> / <rt.effect>2</> / <rt.effect>3</> / <rt.effect>3</> allies <rt.effect>6</> / <rt.effect>10</> / <rt.effect>13</> / <rt.effect>17</> <rt.warning>Haste</> rating for <rt.bold>8 seconds</>.

<rt.bold>(1.2 PPM)</>",4,2,Tex_b_26_layered,Other,512,512,datamine,,
CooldownRecoveryOnWeaponAbility,ItemTrait.ID.CooldownRecoveryOnWeaponAbility,3,Inspired Arms,"Upon using your Weapon Ability, you gain 10% Cooldown Acceleration for a duration equal to 10% / 12% / 14% / 16% of your Weapon Ability's default cooldown duration.",4,0,Tex_SpellBook06_93,Other,256,256,datamine,,
CritsToIncreasedCritRating,ItemTrait.ID.CritsToIncreasedCritRating,4,Seized Opportunity,"<rt.warning>Every 20 Critical Strikes</> you gain <rt.effect>21</> / <rt.effect>39</> / <rt.effect>57</> / <rt.effect>75</> <rt.warning>Critical Strike</> rating for <rt.bold>12 seconds</>.

You can not gain stacks while <rt.bold>Seized Opportunity</> is active on you.",4,2,Tex_violet_27,Other,256,256,datamine,,
CritsToIncreasedPrimaryStatBuff,ItemTrait.ID.CritsToIncreasedPrimaryStatBuff,5,Vengeful Soul,"Your <rt.warning>critical strikes</> have a <rt.bold>chance</> to increase your <rt.warning>Main Stat</> by <rt.effect>3.0%</> / <rt.effect>5.1%</> / <rt.effect>7.2%</> / <rt.effect>9.3%</> for <rt.bold>8 seconds</>.

<rt.warning>If you are below 50% health</> when <rt.bold>Vengeful Soul</> triggers, you are also <rt.heal>healed</> for an amount equal to <rt.effect>370%</> / <rt.effect>630%</> / <rt.effect>890%</> / <rt.effect>1150%</> of your <rt.heal>Main Stat</> over <rt.bold>6 seconds</>.

<rt.bold>(3.0 PPM)</>",4,2,Berserker16,Other,256,256,datamine,,
DamageReductionWhenHealthy,ItemTrait.ID.DamageReductionWhenHealthy,6,King of the Hill,You take <rt.effect>3%</> / <rt.effect>6%</> / <rt.effect>9%</> / <rt.effect>12%</> <rt.bold>Reduced Damage</> while you are above <rt.bold>80% health</>.,4,3,Geomancer5,Other,256,256,datamine,,
DeathPreventionWithImmunity,ItemTrait.ID.DeathPreventionWithImmunity,53,The Mountain,"When you take damage that would kill you, your health is set to <bold>1</> and you are <bold>Immune to damage for 3 seconds</>.

This effect can only happen once every 480 seconds.",1,0,Tex_artifact_14_b,Other,256,256,datamine,,
Drake,ItemTrait.ID.Drake,57,The Viper,,1,0,T_Nhance_RPG_Icons_NatureVision,Other,256,256,datamine,,
ExtraDotHotOnEffectApplicationProc,ItemTrait.ID.ExtraDotHotOnEffectApplicationProc,28,Kindling,"Your <rt.warning>Damage Effects</> have a chance <rt.bold>(2.1 PPM)</> to burn the target, dealing <rt.effect>483%</> / <rt.effect>882%</> / <rt.effect>1281%</> / <rt.effect>1680%</> of your <rt.warning>Main Stat</> in fire damage to them <rt.bold>over 9 seconds</>.

Your <rt.heal>Healing Effects</> have a chance <rt.bold>(2.1 PPM)</> to cauterize the target, healing them for <rt.effect>483%</> / <rt.effect>882%</> / <rt.effect>1281%</> / <rt.effect>1680%</> of your <rt.warning>Main Stat</> over <rt.bold>9 seconds</>.",4,2,T_Nhance_RPG_Gold_10,Other,256,256,datamine,,
FirstIncomingHitToReducedIncomingDamageBuff,ItemTrait.ID.FirstIncomingHitToReducedIncomingDamageBuff,29,First Man Standing,"<rt.warning>Each time an enemy deals damage to you for the first time</>, you gain <rt.bold>First Man Standing</>, <rt.bold>reducing all damage</> you take by <rt.effect>3.0%</> / <rt.effect>5.2%</> / <rt.effect>7.4%</> / <rt.effect>9.6%</> for <rt.bold>20 seconds</>.",4,3,T_Nhance_RPG_Elements_24,Other,256,256,datamine,,
Fox,ItemTrait.ID.Fox,58,The Stag,,1,0,T_Perk_stag,Other,256,256,datamine,,
GemCooldownRecoveryOnAbilityProc,ItemTrait.ID.GemCooldownRecoveryOnAbilityProc,30,Topaz Winds,"Your abilities have a chance to increase your Cooldown Recovery by 30% / 36% / 42% / 48% for 15 seconds.

(1.0 PPM)",4,0,Tex_y_12_layered,Other,512,512,datamine,,
GemDotHotOnCrit,ItemTrait.ID.GemDotHotOnCrit,31,Amethyst Splinters,"When you deal <rt.warning>Critical Damage to an enemy</>, you deal an additional <rt.effect>4%</> / <rt.effect>6%</> / <rt.effect>8%</> / <rt.effect>11%</> of that damage to them over <rt.bold>8 seconds</>.

When you <rt.heal>Critically Heal an ally</>, they are healed for an additional <rt.effect>4%</> / <rt.effect>6%</> / <rt.effect>8%</> / <rt.effect>11%</> of that amount over <rt.bold>8 seconds</>.

<rt.bold>Amethyst Splinters</> can not critically strike.",4,1,Tex_SpellBook07_83,Other,256,256,datamine,,
GemPulsatingOnAbilityTotemProc,ItemTrait.ID.GemPulsatingOnAbilityTotemProc,32,Sapphire Aurastone,"Your <rt.absorb>Spirit Ability</> causes you to conjure a <rt.bold>Sapphire Aurastone</> near you or your selected target on activation. The Sapphire Aurastone lasts as long as the <rt.effect>Spirit of Heroism</> effect from your <rt.absorb>Spirit Ability</> is active on you.

While active, <rt.effect>3.4%</> / <rt.effect>6.3%</> / <rt.effect>9.1%</> / <rt.effect>12%</> of <rt.warning>all damage you deal is accumulated</> into the <rt.bold>Sapphire Aurastone</> and released in a <rt.warning>pulse of damage</>, evenly split between nearby enemies every <rt.bold>3 seconds</>.

While active, <rt.effect>4.6%</> / <rt.effect>8.4%</> / <rt.effect>12%</> / <rt.effect>16%</> of <rt.heal>all healing you do is accumulated</> into the <rt.bold>Sapphire Aurastone</> and released in a <rt.heal>pulse of healing</>, evenly split between nearby allies every <rt.bold>3 seconds</>.

Each pulse empties the accumulated <rt.warning>Damage</> or <rt.heal>Healing</> stored within it.",4,1,T_Nhance_RPG_Frost_27,Other,256,256,datamine,,
GemSingleTargetProcOnDamageHeal,ItemTrait.ID.GemSingleTargetProcOnDamageHeal,33,Diamond Strike,"Your <rt.warning>Damage</> has a <rt.bold>chance (6.7 PPM)</> to conjure a Spectral Beam from above, dealing <rt.effect>72%</> / <rt.effect>127%</> / <rt.effect>182%</> / <rt.effect>237%</> <rt.warning>Main Stat</> damage to them.

Your <rt.heal>Heals</> have a <rt.bold>chance (6.7 PPM)</> to conjure a Spectral Beam from above, healing them for an additional <rt.effect>72%</> / <rt.effect>127%</> / <rt.effect>182%</> / <rt.effect>237%</> of your <rt.heal>Main Stat</>.

<rt.bold>Diamond Strike</> applies an amplifying effect for <rt.bold>20 seconds</> on targets it strikes, increasing its <rt.warning>Damage</> and <rt.heal>Healing</> to that target by <rt.bold>40%</>, <rt.bold>stacking up to 5 times</>.

<rt.bold>Diamond Strike</> gains an additional <rt.bold>+35%</> increased <rt.warning>Damage</> and <rt.heal>Healing</> for every stack of <rt.MeikoAbility3>Harmonious Soul</> you have active <rt.MeikoAbility3>(Diamond Gem Power)</>.",4,1,T_Nhance_RPG_Arcane_27,Other,256,256,datamine,,
GemTargetedSpikeProc,ItemTrait.ID.GemTargetedSpikeProc,34,Emerald Judgement,"Each time you <rt.warning>deal damage to an enemy</>, you have a <rt.bold>chance</> <rt.bold>(</><rt.effect>0.8 PPM</> / <rt.effect>1.30 PPM</> / <rt.effect>1.80 PPM</> / <rt.effect>2.30 PPM</><rt.bold>)</> to conjure an Emerald Spike out of the ground, <rt.bold>knocking that enemy into the air</> and dealing  <rt.warning>800% Main Stat damage</> to them.

<rt.bold>Emerald Judgement</> triggers your current rank of <rt.MeikoAbility3>First Strike (Emerald Gem Power)</>.",4,1,T_Nhance_RPG_Icons_NatureStaff,Other,256,256,datamine,,
GemWhirlwindProc,ItemTrait.ID.GemWhirlwindProc,35,Ruby Storm,"Your targeted, offensive abilities have a chance to spawn a <rt.bold>Ruby Storm</> that travels forward, <rt.warning>dealing damage to all enemies it touches</> equal to <rt.effect>2.4%</> / <rt.effect>4.0%</> / <rt.effect>5.4%</> / <rt.effect>7.0%</> of your <rt.bold>Current Health</>.

<rt.bold>(1.3 PPM)</>",4,1,T_Nhance_RPG_Fire_57,Other,256,256,datamine,,
Gorilla,ItemTrait.ID.Gorilla,59,The Tower,,1,0,Tex_mage_tower,Other,256,256,datamine,,
IncomingDamageToDefenceAndDamage,ItemTrait.ID.IncomingDamageToDefenceAndDamage,36,Iron Spikes,"<rt.warning>Taking damage</> has a <rt.bold>chance</> to increase your <rt.bold>Armor</> by <rt.effect>10%</> / <rt.effect>17%</> / <rt.effect>24%</> / <rt.effect>32%</> for <rt.bold>10 seconds</>. While this is active, you deal <rt.effect>16%</> / <rt.effect>29%</> / <rt.effect>42%</> / <rt.effect>55%</> <rt.warning>Main Stat physical damage</> to enemies who deal damage to you.

<rt.bold>(1.5 PPM)</>",4,3,T_Nhance_RPG_Fire_19,Other,256,256,datamine,,
