id,ordinal,value
AbilityToIncreasedMainStat,0,Heroic
AgainstAllOdds,0,Necklace
Basilisk,0,Necklace
Bat,0,Necklace
Bull,0,Necklace
CommitToHasteRatingAndWeaponCooldown,0,Heroic
CritsToIncreasedCritRating,0,Heroic
CritsToIncreasedPrimaryStatBuff,0,Heroic
DamageReductionWhenHealthy,0,Defensive
DeathPreventionWithImmunity,0,Necklace
Drake,0,Necklace
ExtraDotHotOnEffectApplicationProc,0,Heroic
FirstIncomingHitToReducedIncomingDamageBuff,0,Defensive
Fox,0,Necklace
GemDotHotOnCrit,0,Major
GemPulsatingOnAbilityTotemProc,0,Major
GemSingleTargetProcOnDamageHeal,0,Major
GemTargetedSpikeProc,0,Major
GemWhirlwindProc,0,Major
Gorilla,0,Necklace
IncomingDamageToDefenceAndDamage,0,Defensive
IncomingDamageToHotAndAbsorb,0,Defensive
IncomingHealToStackingHealWithThreshold,0,Defensive
IncreasedMainStatAndSpiritRating,0,Heroic
IncreasedStaminaToHealthConversion,0,Defensive
NoDamageToDamageReduction,0,Defensive
OffensiveAbilityHasteRatingStacking,0,Heroic
OffensiveAbilityToHighestStattBuff,0,Heroic
RelicToDamageReduction,0,Defensive
Salamander,0,Necklace
StandingStillHealStacking,0,Defensive
StandingStillStaminaExpertiseRatingIncrease,0,Heroic
Turtoise,0,Necklace
WeaponAndSpiritPoints,0,Major
WeaponCritChanceCooldownReduction,0,Major
WeaponDamageReductionPrimaryStatIncrease,0,Major
WeaponHealDamageIncrease,0,Major
Wolf,0,Necklace
